checkpoint_step,scenario,episodes,success_rate,collision_rate,near_miss_rate,no_response_rate,reaction_time_eval_style,reaction_time_nan_style,conditional_reaction_time,nan_reaction_rate,mean_min_distance,episode_min_distance,min_distance_after_threat,collision_or_near_miss_rate,mean_time,progress,planned_cpa,planned_ttc,replacement_count,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,threat_valid_rate,nan_or_crash
250000,eval_flow_high_density,50,0.04,0.96,1.0,0.02,2.3469387755102042,0.31666666666666665,0.31666666666666665,0.04,3.6792671952306764,0.5524440962076187,0.6919531655311585,1.0,10.116,0.4216896581740407,0.5622896827118723,5.383679210400421,21.46,0.2913899799977991,0.19794403784392745,1.0,0
250000,eval_flow_high_speed,50,0.02,0.98,1.0,0.0,0.38,0.38,0.38,0.0,3.3964538206046133,0.5014871102571488,0.5375388503074646,1.0,12.672,0.43537754004723067,0.5635269788566126,3.6972028196965785,31.52,0.3277349555852641,0.19532409798138942,1.0,0
250000,eval_flow_high_threat,50,0.12,0.88,1.0,0.0,0.348,0.348,0.348,0.0,3.660922704028138,0.5887039023637771,0.7372719389200211,1.0,13.464,0.5473392219314636,0.5195751855111715,4.887746820159657,16.78,0.26620182479108356,0.15746045834364816,1.0,0
250000,eval_flow_id,50,0.24,0.76,0.98,0.06,6.112,0.3234042553191489,0.3234042553191489,0.06,3.9789414463844306,0.6469397139549256,0.8001906335353851,0.98,15.58,0.7027927000685475,0.561957101660312,5.774773915145041,25.24,0.22977021756747146,0.13949229717319783,1.0,0
250000,eval_flow_mixed_ood,50,0.08,0.92,1.0,0.0,0.32,0.32,0.32,0.0,3.3707589786983103,0.5369219586253167,0.5741552510857582,1.0,11.636000000000001,0.4585048985741605,0.5426031593751994,4.51880460838229,17.2,0.3039414040609916,0.19143452992259008,1.0,0
250000,eval_flow_sudden_threat,50,0.18,0.82,1.0,0.02,2.344,0.3551020408163265,0.3551020408163265,0.02,3.9312809014486976,0.6130357867479325,0.6859039843082428,1.0,12.824000000000002,0.5402458574316888,0.5269721789779258,5.134251451833865,17.48,0.2557002018750727,0.17414517033318522,1.0,0
500000,eval_flow_high_density,50,0.26,0.74,1.0,0.0,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.0,4.870286727210385,0.6354558688402175,0.9428617990016938,1.0,19.22,0.8912242192633992,0.5446627016341207,5.550093450627964,45.4,0.10912315969151459,0.06132779882364545,1.0,0
500000,eval_flow_high_speed,50,0.24,0.76,1.0,0.0,0.204,0.204,0.204,0.0,4.770424431776632,0.5520025490224362,0.5798775605857373,1.0,20.0,0.9104773782027007,0.6006970403731521,3.570144677232457,56.1,0.10256572144880648,0.06209576085048221,1.0,0
500000,eval_flow_high_threat,50,0.3,0.7,0.98,0.0,0.252,0.252,0.252,0.0,5.365967405343164,0.651967525780201,0.929473691880703,0.98,19.9,0.9193775617410695,0.5294993326489271,4.973024103710203,26.48,0.09466901324130808,0.05576429743385659,1.0,0
500000,eval_flow_id,50,0.36,0.64,0.94,0.0,0.316,0.316,0.316,0.0,5.5000536892279515,0.7234377777576446,0.8328162315487861,0.94,19.572,0.9176681924664709,0.6146953478907756,5.437918416233471,32.42,0.0738311819286143,0.047636314462001075,1.0,0
500000,eval_flow_mixed_ood,50,0.38,0.62,0.96,0.0,0.24,0.24,0.24,0.0,4.975400354429949,0.6929007017612457,0.7991690710186958,0.96,19.248,0.8863801064424633,0.5492570549003556,4.635283971534914,30.1,0.09909222453985742,0.059019968696114866,1.0,0
500000,eval_flow_sudden_threat,50,0.3,0.7,0.98,0.0,0.268,0.268,0.268,0.0,5.258997912781507,0.6764744094014168,0.7861980280280113,0.98,20.112000000000002,0.9320506997388905,0.5323438540393252,5.263232620982634,29.32,0.10054762430903852,0.055732356821727363,1.0,0
750000,eval_flow_high_density,50,0.44,0.56,0.98,0.0,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.0,4.748712790697303,0.6644635078310966,1.0327213177084922,0.98,20.276,0.9279719512518837,0.5603906985246938,5.747955233959903,47.94,0.1146490427710944,0.06644565074155948,1.0,0
750000,eval_flow_high_speed,50,0.44,0.56,0.92,0.0,0.204,0.204,0.204,0.0,5.2633478221758,0.761391781270504,0.8045341804623604,0.92,22.324,0.9486484512848548,0.6320497103179312,3.759875909938152,59.46,0.06741910197661738,0.03691956618832568,1.0,0
750000,eval_flow_high_threat,50,0.66,0.34,0.92,0.0,0.252,0.252,0.252,0.0,5.2994365510408095,0.8834080541133881,0.9646896612644196,0.92,21.4,0.9635441392680458,0.5422945649385678,4.411529321335941,29.08,0.08118501136293967,0.03970247273907243,1.0,0
750000,eval_flow_id,50,0.64,0.36,0.94,0.0,0.368,0.368,0.368,0.0,5.312801920028446,0.8656510287523269,1.0685277205705643,0.94,20.656,0.9617787792704191,0.6283732713969372,5.861489312834111,34.56,0.07936457552239984,0.044171523049794305,1.0,0
750000,eval_flow_mixed_ood,50,0.48,0.52,1.0,0.0,0.24,0.24,0.24,0.0,5.092150232335346,0.7362732116878032,0.9000001290440559,1.0,20.996,0.9324520678630194,0.6016640641676291,3.9960896083761748,33.32,0.09306524977476528,0.050323827162313935,1.0,0
750000,eval_flow_sudden_threat,50,0.48,0.52,0.98,0.0,0.268,0.268,0.268,0.0,5.253399892678058,0.732892404794693,1.0105271697044373,0.98,20.92,0.9490487028255611,0.5449717030766589,4.933133593044056,30.16,0.08201516179899848,0.0456528346420421,1.0,0
1000000,eval_flow_high_density,50,0.3,0.7,1.0,0.0,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.0,4.742348436486873,0.5968819741904735,0.8338147531449794,1.0,21.22,0.9313330166698013,0.5888913808780527,4.670921035806124,48.98,0.1339089473641829,0.07379169457527307,1.0,0
1000000,eval_flow_high_speed,50,0.44,0.56,0.96,0.0,0.204,0.204,0.204,0.0,4.966501846989414,0.7658096572756767,0.7785378482937813,0.96,22.56,0.9477462656597768,0.5626451904191561,3.3250753244015345,62.08,0.0741999051337489,0.041893292462453234,1.0,0
1000000,eval_flow_high_threat,50,0.64,0.36,0.92,0.0,0.252,0.252,0.252,0.0,5.333117358636496,0.9091702485084534,0.9868869006633758,0.92,23.172000000000004,0.9699165524177559,0.532553483857963,4.249343322618574,30.06,0.0941321088386951,0.04567451194580133,1.0,0
1000000,eval_flow_id,50,0.56,0.44,0.96,0.0,0.368,0.368,0.368,0.0,5.433700306352101,0.737575632929802,1.103369955420494,0.96,21.36,0.962381121106514,0.6233889740454878,5.310355206011385,36.1,0.0988854746890061,0.05845198737116363,1.0,0
1000000,eval_flow_mixed_ood,50,0.54,0.46,0.84,0.0,0.24,0.24,0.24,0.0,5.00700035527796,0.8954338139295578,1.0519921422004699,0.84,22.055999999999997,0.942454634364479,0.6118461388444558,4.9639852453051825,34.68,0.09317517557570675,0.04965858850583437,1.0,0
1000000,eval_flow_sudden_threat,50,0.6,0.4,0.94,0.0,0.268,0.268,0.268,0.0,5.237055361009704,0.8505388337373734,0.9104967397451401,0.94,22.744,0.9687007918124145,0.5521444561209964,3.5579268524417116,32.96,0.09428581996208274,0.05251744645018024,1.0,0
1250000,eval_flow_high_density,50,0.4,0.6,1.0,0.0,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.0,3.907596263741366,0.702423347234726,0.9468120330572128,1.0,20.624000000000002,0.9087165005721616,0.5203640805531884,5.437499751668888,47.36,0.17965833987675217,0.08513556126569748,1.0,0
1250000,eval_flow_high_speed,50,0.3,0.7,0.98,0.0,0.204,0.204,0.204,0.0,4.140240110399663,0.6381814861297608,0.6418631672859192,0.98,21.04,0.9016017518468531,0.5715448638677733,3.644548387679021,58.1,0.12307421825020119,0.0636671499962696,1.0,0
1250000,eval_flow_high_threat,50,0.42,0.58,0.98,0.0,0.252,0.252,0.252,0.0,4.303756213552561,0.6756322968006134,0.6965146803855896,0.98,20.584,0.9235701994112753,0.5262371401960079,4.429343298121646,27.24,0.1429883477910706,0.07474994157913835,1.0,0
1250000,eval_flow_id,50,0.5,0.5,0.94,0.0,0.368,0.368,0.368,0.0,4.636381124395305,0.7583686685562134,0.9822718065977096,0.94,20.316000000000003,0.9193835950087533,0.6924272402784216,6.293231288612247,33.36,0.12516212320031014,0.06689672646644178,1.0,0
1250000,eval_flow_mixed_ood,50,0.46,0.54,0.94,0.0,0.24,0.24,0.24,0.0,4.178647789273998,0.7714639204740524,0.8602012687921524,0.94,20.664,0.906486892029518,0.5577060977312156,4.264162923879481,31.68,0.13757206287201312,0.0654008504738518,1.0,0
1250000,eval_flow_sudden_threat,50,0.48,0.52,0.96,0.0,0.268,0.268,0.268,0.0,4.45679627257239,0.7557985264062882,0.863604918718338,0.96,20.476000000000003,0.9087967670783059,0.5123347188303559,4.617787226842967,29.96,0.14192419044401153,0.06957677137505333,1.0,0
1500000,eval_flow_high_density,50,0.64,0.36,0.96,0.0,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.0,4.6374729447248075,0.8225048023462296,1.1384801495075225,0.96,22.3,0.9425467540493233,0.6167239994793667,4.955208650643697,50.86,0.14425244884178895,0.056760713629759846,1.0,0
1500000,eval_flow_high_speed,50,0.54,0.46,1.0,0.0,0.204,0.204,0.204,0.0,4.461542829295176,0.7254288952052593,0.757379987090826,1.0,22.272000000000002,0.9577705475963839,0.6159702510700711,3.1566990113024196,60.18,0.12502339629889406,0.05209129286786845,1.0,0
1500000,eval_flow_high_threat,50,0.62,0.38,0.96,0.0,0.252,0.252,0.252,0.0,4.931150739451462,0.8570077282190323,0.9171138739585877,0.96,22.468000000000004,0.9686721024780387,0.5497588090719087,4.4962847025222485,29.44,0.1318879261719866,0.05155145170723397,1.0,0
1500000,eval_flow_id,50,0.58,0.42,0.92,0.0,0.368,0.368,0.368,0.0,5.371075515532408,0.8378773894906044,1.000360635817051,0.92,21.375999999999998,0.9633676170801111,0.7055578932733519,5.146461979820791,35.98,0.10719223800640043,0.04847516178974638,1.0,0
1500000,eval_flow_mixed_ood,50,0.54,0.46,0.98,0.0,0.24,0.24,0.24,0.0,4.8153337649816255,0.771695716381073,0.8786722552776337,0.98,21.348000000000003,0.940270728452252,0.6346600833970883,4.170166736284903,34.0,0.12324365184371702,0.05407935441034204,1.0,0
1500000,eval_flow_sudden_threat,50,0.74,0.26,0.98,0.0,0.268,0.268,0.268,0.0,4.963086190034131,0.8633657366037368,0.9208285301923752,0.98,22.744,0.9706955151270755,0.4924914735985943,4.21962441870842,33.44,0.1452010495934646,0.057117320382623564,1.0,0
