checkpoint_step,scenario,episodes,reaction_time_eval_style,reaction_time_nan_style,conditional_reaction_time,nan_reaction_rate,no_response_rate,min_distance_after_threat
250000,eval_flow_high_density,50,2.3469387755102042,0.31666666666666665,0.31666666666666665,0.04,0.02,0.6919531655311585
250000,eval_flow_high_speed,50,0.38,0.38,0.38,0.0,0.0,0.5375388503074646
250000,eval_flow_high_threat,50,0.348,0.348,0.348,0.0,0.0,0.7372719389200211
250000,eval_flow_id,50,6.112,0.3234042553191489,0.3234042553191489,0.06,0.06,0.8001906335353851
250000,eval_flow_mixed_ood,50,0.32,0.32,0.32,0.0,0.0,0.5741552510857582
250000,eval_flow_sudden_threat,50,2.344,0.3551020408163265,0.3551020408163265,0.02,0.02,0.6859039843082428
500000,eval_flow_high_density,50,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.0,0.0,0.9428617990016938
500000,eval_flow_high_speed,50,0.204,0.204,0.204,0.0,0.0,0.5798775605857373
500000,eval_flow_high_threat,50,0.252,0.252,0.252,0.0,0.0,0.929473691880703
500000,eval_flow_id,50,0.316,0.316,0.316,0.0,0.0,0.8328162315487861
500000,eval_flow_mixed_ood,50,0.24,0.24,0.24,0.0,0.0,0.7991690710186958
500000,eval_flow_sudden_threat,50,0.268,0.268,0.268,0.0,0.0,0.7861980280280113
750000,eval_flow_high_density,50,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.0,0.0,1.0327213177084922
750000,eval_flow_high_speed,50,0.204,0.204,0.204,0.0,0.0,0.8045341804623604
750000,eval_flow_high_threat,50,0.252,0.252,0.252,0.0,0.0,0.9646896612644196
750000,eval_flow_id,50,0.368,0.368,0.368,0.0,0.0,1.0685277205705643
750000,eval_flow_mixed_ood,50,0.24,0.24,0.24,0.0,0.0,0.9000001290440559
750000,eval_flow_sudden_threat,50,0.268,0.268,0.268,0.0,0.0,1.0105271697044373
1000000,eval_flow_high_density,50,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.0,0.0,0.8338147531449794
1000000,eval_flow_high_speed,50,0.204,0.204,0.204,0.0,0.0,0.7785378482937813
1000000,eval_flow_high_threat,50,0.252,0.252,0.252,0.0,0.0,0.9868869006633758
1000000,eval_flow_id,50,0.368,0.368,0.368,0.0,0.0,1.103369955420494
1000000,eval_flow_mixed_ood,50,0.24,0.24,0.24,0.0,0.0,1.0519921422004699
1000000,eval_flow_sudden_threat,50,0.268,0.268,0.268,0.0,0.0,0.9104967397451401
1250000,eval_flow_high_density,50,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.0,0.0,0.9468120330572128
1250000,eval_flow_high_speed,50,0.204,0.204,0.204,0.0,0.0,0.6418631672859192
1250000,eval_flow_high_threat,50,0.252,0.252,0.252,0.0,0.0,0.6965146803855896
1250000,eval_flow_id,50,0.368,0.368,0.368,0.0,0.0,0.9822718065977096
1250000,eval_flow_mixed_ood,50,0.24,0.24,0.24,0.0,0.0,0.8602012687921524
1250000,eval_flow_sudden_threat,50,0.268,0.268,0.268,0.0,0.0,0.863604918718338
1500000,eval_flow_high_density,50,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.0,0.0,1.1384801495075225
1500000,eval_flow_high_speed,50,0.204,0.204,0.204,0.0,0.0,0.757379987090826
1500000,eval_flow_high_threat,50,0.252,0.252,0.252,0.0,0.0,0.9171138739585877
1500000,eval_flow_id,50,0.368,0.368,0.368,0.0,0.0,1.000360635817051
1500000,eval_flow_mixed_ood,50,0.24,0.24,0.24,0.0,0.0,0.8786722552776337
1500000,eval_flow_sudden_threat,50,0.268,0.268,0.268,0.0,0.0,0.9208285301923752
