method,policy_name,scenario,checkpoint_step,episode_id,success,collision,near_miss,progress,mean_time,mean_min_distance,min_distance_after_threat,no_response_rate,reaction_time_eval_style,conditional_reaction_time,planned_cpa,planned_ttc,threat_class,motion_mode,replacement_count,active_obstacle_count
random,random,eval_flow_id,sanity,0,0,0,0,0.1383111282747305,100.0,8.49449838256836,,,,,0.590271750014508,8.104257514417494,high,sinusoidal_lateral,68,5.0
random,random,eval_flow_id,sanity,1,0,0,0,0.2476727261509468,100.0,7.866084933280945,,,,,0.3680226802563242,6.875174607978688,high,ar1_velocity,118,8.0
random,random,eval_flow_id,sanity,2,0,0,0,0.0991549826836713,100.0,8.01044937992096,,,,,0.4891154611013826,7.112765673214163,high,accel_decel,102,7.0
random,random,eval_flow_id,sanity,3,0,0,0,0.1070594436982098,100.0,8.076912587165832,,,,,0.6791450970720674,6.239778063086693,high,sinusoidal_lateral,112,8.0
random,random,eval_flow_id,sanity,4,0,0,0,0.1594080412019817,100.0,8.409431580543519,,,,,0.3797397690097083,4.183133512134327,high,sinusoidal_lateral,121,8.0
random,random,eval_flow_id,sanity,5,0,0,0,0.2017316331661504,100.0,8.478041358947754,,,,,0.5511836965573078,8.570154064427946,high,sinusoidal_lateral,80,6.0
random,random,eval_flow_id,sanity,6,0,0,0,0.1790692734839164,100.0,8.323560916900634,,,,,0.4555570582614115,7.540965708122109,high,accel_decel,73,6.0
random,random,eval_flow_id,sanity,7,0,0,0,0.1095550750453456,100.0,9.731435611724851,,,,,0.7351452166184702,8.563359343512893,high,crossing_or_sudden_threat,85,5.0
random,random,eval_flow_id,sanity,8,0,0,0,0.1261449522763137,100.0,8.22190278816223,,,,,0.9873356761645786,8.028606418711203,high,sinusoidal_lateral,67,5.0
random,random,eval_flow_id,sanity,9,0,0,0,0.0571276617818264,100.0,9.364111771583556,,,,,0.4907542743271427,7.240300795412024,high,crossing_or_sudden_threat,102,7.0
random,random,eval_flow_id,sanity,10,0,0,0,0.0571178909328001,100.0,8.341437695503235,,,,,0.4032437424820246,3.916948008353155,high,ar1_velocity,83,5.0
random,random,eval_flow_id,sanity,11,0,0,0,0.0209700626222071,100.0,9.128003125190736,,,,,1.0653707256996676,3.2411492222353098,high,ar1_velocity,100,7.0
random,random,eval_flow_id,sanity,12,0,0,0,0.202167969624244,100.0,8.146111062049865,,,,,0.6606423021781005,7.285034865162161,high,sinusoidal_lateral,63,6.0
random,random,eval_flow_id,sanity,13,0,0,0,0.0037510234115242,100.0,8.693287649154662,,,,,0.3681544595475547,3.9762122767558994,high,ar1_velocity,95,8.0
random,random,eval_flow_id,sanity,14,0,0,0,0.0,100.0,8.498390357017517,,,,,0.5742099564123082,8.06134755114632,high,linear,73,5.0
random,random,eval_flow_id,sanity,15,0,0,0,0.0943309148427434,100.0,7.530500473976136,,,,,0.5329064404863538,7.852446956976111,high,accel_decel,93,6.0
random,random,eval_flow_id,sanity,16,0,0,0,0.0599141727697693,100.0,7.339748302459717,,,,,0.4030186185944991,3.2730313965138604,high,linear,96,6.0
random,random,eval_flow_id,sanity,17,0,0,0,0.1370860703030694,100.0,8.713027556419373,,,,,0.3529525250007115,5.314905952555776,high,ar1_velocity,56,5.0
random,random,eval_flow_id,sanity,18,0,0,0,0.0048594929294357,100.0,7.849051245689392,,,,,0.3666058785321898,7.897065658618265,high,sinusoidal_lateral,95,8.0
random,random,eval_flow_id,sanity,19,0,0,0,0.1172908621457429,100.0,8.155037070274354,,,,,0.6537061664079644,6.054492163377297,high,linear,128,7.0
random,random,eval_flow_id,sanity,20,0,0,0,0.1821670593085972,100.0,7.810388449192047,,,,,0.4183350012467608,4.138337144561415,high,sinusoidal_lateral,114,8.0
random,random,eval_flow_id,sanity,21,0,0,0,0.1066197939914452,100.0,8.943727862358093,,,,,0.8601193323137365,5.948331872022209,high,ar1_velocity,90,5.0
random,random,eval_flow_id,sanity,22,0,0,0,0.3574265793187943,100.0,7.11740103340149,,,,,0.7321625872900263,5.3149442479046485,high,accel_decel,74,5.0
random,random,eval_flow_id,sanity,23,0,0,0,0.0640256254204062,100.0,8.002796255111694,,,,,0.4995848890965805,6.4869706011291175,high,accel_decel,77,6.0
random,random,eval_flow_id,sanity,24,0,0,0,0.0,100.0,8.364008629798889,,,,,0.4469206858587887,4.159837884388713,high,accel_decel,90,7.0
random,random,eval_flow_id,sanity,25,0,0,0,0.0307830267090508,100.0,7.388655138969422,,,,,0.6241640944327949,7.661107651894493,high,linear,80,7.0
random,random,eval_flow_id,sanity,26,0,0,0,0.0465744797928818,100.0,7.639849514007568,,,,,0.4301166336249066,8.597674838022364,high,crossing_or_sudden_threat,115,8.0
random,random,eval_flow_id,sanity,27,0,0,0,0.0557884607595612,100.0,8.432426893234252,,,,,0.6912299462879881,6.53804007983638,high,ar1_velocity,94,6.0
random,random,eval_flow_id,sanity,28,0,0,0,0.1224229584321081,100.0,7.469703938007354,,,,,1.1122327321391197,4.306589250360691,high,sinusoidal_lateral,103,6.0
random,random,eval_flow_id,sanity,29,0,0,0,0.0892982949584394,100.0,7.842004927635193,,,,,0.4570958187790894,7.6573971459667325,high,accel_decel,118,8.0
random,random,eval_flow_id,sanity,30,0,0,0,0.0405937005891026,100.0,8.331507638931274,,,,,1.7068435173009742,5.691700060235965,medium,linear,68,5.0
random,random,eval_flow_id,sanity,31,0,0,0,0.0,100.0,8.005672046661378,,,,,1.8993925830603768,6.58569266769958,medium,accel_decel,113,8.0
random,random,eval_flow_id,sanity,32,0,0,0,0.0295460897175366,100.0,8.330190363883972,,,,,0.5328192907992879,4.790279162044135,high,linear,95,7.0
random,random,eval_flow_id,sanity,33,0,0,0,0.0,100.0,8.242634950637818,,,,,1.040206819144679,3.825199476549602,high,linear,70,5.0
random,random,eval_flow_id,sanity,34,0,0,0,0.1489835510535578,100.0,6.890566414356232,,,,,0.7896844702432013,7.968177493510169,high,linear,113,8.0
random,random,eval_flow_id,sanity,35,0,0,0,0.2519333787814862,100.0,7.828658133029938,,,,,0.5855250054939564,8.565370729805096,high,ar1_velocity,100,6.0
random,random,eval_flow_id,sanity,36,0,0,0,0.1105925405726713,100.0,12.5015725812912,,,,,0.5448148360087943,7.904720767672069,high,sinusoidal_lateral,64,5.0
random,random,eval_flow_id,sanity,37,0,0,0,0.0157140212053521,100.0,7.930878125190735,,,,,0.4141781086048747,8.86128696063216,high,sinusoidal_lateral,83,6.0
random,random,eval_flow_id,sanity,38,0,0,0,0.2610221562267546,100.0,7.977109758377075,,,,,0.9743413952933988,8.83596661813072,high,sinusoidal_lateral,92,7.0
