scenario,baseline_name,config_name,baseline_category,episodes,success_rate,collision_rate,timeout_rate,near_miss_rate,progress_mean,final_goal_distance_mean,episode_return_mean,episode_length_steps_mean,mean_time,episode_min_distance_mean,mean_min_distance,min_distance_after_threat_mean,replacement_count_mean,active_obstacle_count_mean,mean_action_norm,mean_action_delta,max_action_delta,filter_used,filter_trigger_rate,mean_filter_delta_norm,max_filter_delta_norm,nan_or_crash
eval_flow_high_density,attention_full_1500k,attention_full_1500k,reference,50,0.64,0.36,0.0,0.6,0.9425467540493233,2.135733646154404,33.909596199490004,111.5,22.3,0.8225048023462296,4.6374729447248075,1.1384801495075225,50.86,8.88,1.4682134505846087,0.1232506860726703,0.9446674919128418,0,0.0,0.0,0.0,0
eval_flow_high_density,cpa_reactive_sweep,cpa_reactive_cpa30,cpa_reactive_sweep,50,0.0,0.0,1.0,0.04,0.890650401218387,4.127432994842529,3.7824649986208594,500.0,100.0,2.1719073820114136,3.770956957654953,2.1840627145767213,151.84,8.88,0.9999999841141701,1.367566261146221,1.9999952912330627,0,0.0,0.0,0.0,0
eval_flow_high_density,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,50,0.0,0.0,1.0,0.06,0.865958317167083,4.787668490409851,8.794735312105502,500.0,100.0,2.2836275339126586,4.080337513475418,2.326572530269623,145.44,8.88,0.9999999830150604,1.0767685703927512,1.9999884557724,0,0.0,0.0,0.0,0
eval_flow_high_density,cpa_reactive_sweep,cpa_reactive_w28,cpa_reactive_sweep,50,0.0,0.0,1.0,0.08,0.893069748179848,4.3379794788360595,6.2371668349340545,500.0,100.0,2.1854162466526033,3.7469316936731336,2.1973169481754304,151.94,8.88,0.9999999839472771,1.2326783356352902,1.999989092350006,0,0.0,0.0,0.0,0
eval_flow_high_density,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,50,0.72,0.28,0.0,0.72,0.8990554675548976,3.6787425363063813,33.30824000079897,104.9,20.98,0.8333643579483032,2.4601099821655983,0.8413455843925476,49.92,8.88,0.9999999834048325,0.32420079536101215,1.866144152879715,0,0.0,0.0,0.0,0
eval_flow_high_density,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,50,0.76,0.24,0.0,0.76,0.9555210724529991,1.780180773139,35.52920161829682,118.82,23.764,0.8291742902994156,2.4301620502687205,0.8436858910322189,53.16,8.88,0.9999999839761005,0.38454171411398674,1.9022221434116364,0,0.0,0.0,0.0,0
eval_flow_high_density,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",50,0.0,0.0,1.0,0.08,0.8909995769473986,3.964115538597107,5.8328053102295,500.0,100.0,1.9675605964660645,3.5425641226053237,1.9949003148078919,149.78,8.88,0.9999999835324287,1.273060125724391,1.9999949765205383,0,0.0,0.0,0.0,0
eval_flow_high_density,random,random,reference,50,0.0,0.0,1.0,0.02,0.06631354707548066,32.15538429260254,-14.08213026005004,500.0,100.0,3.6808255875110625,7.049345870847702,3.70411159992218,113.12,8.88,0.771891248003915,1.053644460898811,2.4052082681655884,0,0.0,0.0,0.0,0
eval_flow_high_density,straight_line,straight_line,reference,50,0.02,0.98,0.0,0.02,0.33858972697181433,22.49143649339676,1.7456139371156671,29.6,5.92,0.4748968853801489,3.697409122167808,0.5585338785499334,14.96,8.88,0.9999999783583543,3.408957128687074e-08,9.898336003288933e-08,0,0.0,0.0,0.0,0
eval_flow_high_density,vo_like_filter,vo_like_filter_h45_cpa1p2_h16,safety_filter,50,0.84,0.16,0.0,0.78,0.9866095400565124,0.673457869887352,38.80764937962273,158.68,31.736,1.1574777972698211,4.1964053754522705,1.1935942304134368,67.96,8.88,1.305931707862181,0.21820068963205652,1.4421930718421936,1,0.43309472859240167,0.30987682263527616,1.4993197321891785,0
