schema,field,source,phase_b_status
episode_metrics,method,phase_a,preserved
episode_metrics,policy_name,phase_a,preserved
episode_metrics,scenario,phase_a,preserved
episode_metrics,checkpoint_step,phase_a,preserved
episode_metrics,episode_id,phase_a,preserved
episode_metrics,episode_seed,phase_a,preserved
episode_metrics,success,phase_a,preserved
episode_metrics,collision,phase_a,preserved
episode_metrics,timeout,phase_a,preserved
episode_metrics,truncated,phase_a,preserved
episode_metrics,out_of_bounds,phase_a,preserved
episode_metrics,near_miss,phase_a,preserved
episode_metrics,progress,phase_a,preserved
episode_metrics,final_goal_distance,phase_a,preserved
episode_metrics,mean_time,phase_a,preserved
episode_metrics,episode_length_steps,phase_a,preserved
episode_metrics,episode_return,phase_a,preserved
episode_metrics,mean_min_distance,phase_a,preserved
episode_metrics,episode_min_distance,phase_a,preserved
episode_metrics,min_distance_after_threat,phase_a,preserved
episode_metrics,no_response,phase_a,preserved
episode_metrics,no_response_rate,phase_a,preserved
episode_metrics,reaction_time_eval_style,phase_a,preserved
episode_metrics,conditional_reaction_time,phase_a,preserved
episode_metrics,planned_cpa,phase_a,preserved
episode_metrics,planned_ttc,phase_a,preserved
episode_metrics,threat_class,phase_a,preserved
episode_metrics,motion_mode,phase_a,preserved
episode_metrics,replacement_count,phase_a,preserved
episode_metrics,active_obstacle_count,phase_a,preserved
episode_metrics,mean_action_norm,phase_a,preserved
episode_metrics,mean_action_delta,phase_a,preserved
episode_metrics,max_action_delta,phase_a,preserved
episode_metrics,filter_used,phase_a,preserved
episode_metrics,filter_trigger_count,phase_a,preserved
episode_metrics,filter_trigger_rate,phase_a,preserved
episode_metrics,mean_filter_delta_norm,phase_a,preserved
episode_metrics,max_filter_delta_norm,phase_a,preserved
episode_metrics,stage,phase_b,added
episode_metrics,baseline_name,phase_b,added
episode_metrics,config_name,phase_b,added
episode_metrics,baseline_category,phase_b,added
episode_metrics,config_params,phase_b,added
episode_metrics,episode_filter_triggered,phase_b,added
episode_metrics,mean_min_predicted_cpa_raw,phase_b,added
episode_metrics,mean_min_predicted_cpa_filtered,phase_b,added
episode_metrics,min_min_predicted_cpa_raw,phase_b,added
episode_metrics,min_min_predicted_cpa_filtered,phase_b,added
episode_metrics,mean_min_ttc_raw,phase_b,added
episode_metrics,mean_min_ttc_filtered,phase_b,added
episode_metrics,min_min_ttc_raw,phase_b,added
episode_metrics,min_min_ttc_filtered,phase_b,added
episode_metrics,failure_type,phase_b,added
episode_metrics,nan_or_crash,phase_b,added
trace,checkpoint_step,phase_a,preserved
trace,method,phase_a,preserved
trace,policy_name,phase_a,preserved
trace,scenario,phase_a,preserved
trace,episode_id,phase_a,preserved
trace,episode_seed,phase_a,preserved
trace,step,phase_a,preserved
trace,time,phase_a,preserved
trace,done,phase_a,preserved
trace,terminated,phase_a,preserved
trace,truncated,phase_a,preserved
trace,uav_pos_x,phase_a,preserved
trace,uav_pos_y,phase_a,preserved
trace,uav_pos_z,phase_a,preserved
trace,uav_vel_x,phase_a,preserved
trace,uav_vel_y,phase_a,preserved
trace,uav_vel_z,phase_a,preserved
trace,goal_pos_x,phase_a,preserved
trace,goal_pos_y,phase_a,preserved
trace,goal_pos_z,phase_a,preserved
trace,goal_dist,phase_a,preserved
trace,action_raw_x,phase_a,preserved
trace,action_raw_y,phase_a,preserved
trace,action_raw_z,phase_a,preserved
trace,action_filtered_x,phase_a,preserved
trace,action_filtered_y,phase_a,preserved
trace,action_filtered_z,phase_a,preserved
trace,action_executed_x,phase_a,preserved
trace,action_executed_y,phase_a,preserved
trace,action_executed_z,phase_a,preserved
trace,filter_used,phase_a,preserved
trace,filter_triggered,phase_a,preserved
trace,filter_reason,phase_a,preserved
trace,filter_delta_norm,phase_a,preserved
trace,min_distance,phase_a,preserved
trace,nearest_obstacle_id,phase_a,preserved
trace,nearest_obstacle_distance,phase_a,preserved
trace,threat_obstacle_id,phase_a,preserved
trace,threat_obstacle_index,phase_a,preserved
trace,threat_class,phase_a,preserved
trace,planned_cpa,phase_a,preserved
trace,planned_ttc,phase_a,preserved
trace,planned_ttc_remaining,phase_a,preserved
trace,lateral_deviation,phase_a,preserved
trace,away_from_threat_velocity,phase_a,preserved
trace,goal_directed_velocity,phase_a,preserved
trace,reaction_flag,phase_a,preserved
trace,no_response_flag,phase_a,preserved
trace,attention_entropy,phase_a,preserved
trace,threat_obstacle_attention_weight,phase_a,preserved
trace,threat_obstacle_attention_rank,phase_a,preserved
trace,min_predicted_cpa_raw,phase_a,preserved
trace,min_predicted_cpa_filtered,phase_a,preserved
trace,min_ttc_raw,phase_a,preserved
trace,min_ttc_filtered,phase_a,preserved
trace,unsafe_obstacle_id,phase_a,preserved
trace,unsafe_obstacle_distance,phase_a,preserved
trace,unsafe_obstacle_tcpa,phase_a,preserved
trace,unsafe_obstacle_cpa,phase_a,preserved
step_obstacles,method,phase_a,preserved
step_obstacles,policy_name,phase_a,preserved
step_obstacles,scenario,phase_a,preserved
step_obstacles,episode_id,phase_a,preserved
step_obstacles,episode_seed,phase_a,preserved
step_obstacles,step,phase_a,preserved
step_obstacles,time,phase_a,preserved
step_obstacles,obstacle_slot,phase_a,preserved
step_obstacles,obstacle_id,phase_a,preserved
step_obstacles,active,phase_a,preserved
step_obstacles,pos_x,phase_a,preserved
step_obstacles,pos_y,phase_a,preserved
step_obstacles,pos_z,phase_a,preserved
step_obstacles,vel_x,phase_a,preserved
step_obstacles,vel_y,phase_a,preserved
step_obstacles,vel_z,phase_a,preserved
step_obstacles,distance,phase_a,preserved
step_obstacles,closing,phase_a,preserved
step_obstacles,planned_cpa,phase_a,preserved
step_obstacles,planned_ttc,phase_a,preserved
step_obstacles,threat_class,phase_a,preserved
step_obstacles,motion_mode,phase_a,preserved
step_obstacles,risk_value,phase_a,preserved
