stage,baseline_name,config_name,scenario,episode_id,episode_seed,failure_type,success,collision,near_miss,progress,episode_min_distance,min_distance_after_threat,threat_class,motion_mode,planned_cpa,planned_ttc,filter_used,filter_trigger_rate,mean_filter_delta_norm
b2_formal,straight_line,straight_line,eval_flow_high_speed,0,1000,collision,0,1,0,0.155106206065831,0.1412393450736999,0.1412393450736999,high,accel_decel,0.4687952004202452,3.576438068816352,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_id,0,1000,collision,0,1,0,0.9565094852870146,0.3546175956726074,0.3546175956726074,high,ar1_velocity,1.1327958661632034,4.032381249587004,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_mixed_ood,0,1000,collision,0,1,0,0.5551056338620758,0.3726754188537597,0.3726754188537597,high,ar1_velocity,0.363823115690584,4.836008764064575,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_density,0,1000,collision,0,1,0,0.2845177146989832,0.4124829173088074,0.4124829173088074,high,accel_decel,0.4687952004202452,4.984813556373226,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_high_threat,0,1000,collision,0,1,0,0.2492236260911,0.5290582776069641,0.5290582776069641,high,accel_decel,0.4687952004202452,4.564657103224528,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_id,0,1000,collision,0,1,0,0.3080470977545042,0.5950876474380493,0.5950876474380493,high,accel_decel,0.4687952004202452,5.636907428262444,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_cpa18,eval_flow_mixed_ood,0,1000,collision,0,1,0,1.0,0.6338518857955933,0.6338518857955933,medium,crossing_or_sudden_threat,1.7218852679590535,3.890061567373457,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_mixed_ood,0,1000,near_miss,1,0,1,0.9883976151893844,0.6861291527748108,0.6861291527748108,high,sinusoidal_lateral,0.4648112068395866,6.469669813443802,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_sudden_threat,0,1000,near_miss,1,0,1,0.978916423358524,0.7459959387779236,1.089444875717163,high,ar1_velocity,0.363823115690584,5.336008764064575,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,eval_flow_high_threat,0,1000,near_miss,1,0,1,0.984041798250156,0.8052891492843628,0.8052891492843628,high,crossing_or_sudden_threat,0.5774141440175047,0.8,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa2_h16,eval_flow_high_threat,0,1000,near_miss,1,0,1,0.9893160583149676,0.8379886746406555,0.8379886746406555,high,accel_decel,0.7853805854462301,0.8,1,0.7058823529411765,0.5199774452662386
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,eval_flow_high_density,0,1000,near_miss,1,0,1,0.9821101056905216,0.8399795889854431,0.8399795889854431,high,ar1_velocity,0.5892462925583233,7.062598935363918,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_speed,0,1000,near_miss,1,0,1,0.9862522998944564,0.8410778045654297,0.8410778045654297,high,linear,0.3536006348233396,4.426670437422058,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,eval_flow_high_density,0,1000,near_miss,1,0,1,0.9803278592881404,0.8599960803985596,0.8599960803985596,high,crossing_or_sudden_threat,0.5774141440175047,6.371562086575862,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa2_h16,eval_flow_id,0,1000,near_miss,1,0,1,1.0,0.8807231187820435,0.8807231187820435,high,accel_decel,0.4843447850365843,5.297455402785641,1,0.4406779661016949,0.3241625362533634
b2_formal,current_cpa_reactive,cpa_reactive_current,eval_flow_high_threat,0,1000,timeout,0,0,1,1.0,0.9150139689445496,0.9150139689445496,high,ar1_velocity,0.3706139305552809,0.8,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_density,0,1000,near_miss,1,0,1,0.9806280979644244,0.9604619145393372,1.2758362293243408,high,accel_decel,0.9215277809848418,6.756446072656294,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,eval_flow_high_speed,0,1000,near_miss,1,0,1,0.9882888964758868,0.9710485339164734,0.9710485339164734,high,ar1_velocity,0.6098858276217167,4.175001981706854,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,eval_flow_mixed_ood,0,1000,near_miss,1,0,1,0.9875474999239866,1.01780366897583,1.01780366897583,high,sinusoidal_lateral,0.4648112068395866,0.8,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,eval_flow_mixed_ood,0,1000,near_miss,1,0,1,0.9799511023841936,1.0223029851913452,1.0223029851913452,high,sinusoidal_lateral,0.4879835925681184,0.8,0,0.0,0.0
b2_formal,current_cpa_reactive,cpa_reactive_current,eval_flow_sudden_threat,0,1000,timeout,0,0,1,1.0,1.0325318574905396,1.0325318574905396,high,crossing_or_sudden_threat,0.8305772585228195,0.8,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,eval_flow_high_speed,0,1000,near_miss,1,0,1,0.9785572813544938,1.0409682989120483,1.0409682989120483,high,ar1_velocity,0.6098858276217167,4.175001981706854,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,eval_flow_high_threat,0,1000,near_miss,1,0,1,0.98319785380957,1.0503627061843872,1.0503627061843872,high,ar1_velocity,1.0248325602430317,3.431303810199781,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,eval_flow_high_density,0,1000,near_miss,1,0,1,0.987266334706211,1.058456540107727,1.058456540107727,high,ar1_velocity,0.4533816915998914,7.677655209563479,1,0.6790697674418604,0.5296916925803173
b2_formal,cpa_reactive_sweep,cpa_reactive_d3,eval_flow_mixed_ood,0,1000,near_miss,1,0,1,0.99393553776887,1.082905411720276,1.082905411720276,high,sinusoidal_lateral,0.7654529578820302,5.026567284287737,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,eval_flow_high_speed,0,1000,near_miss,1,0,1,0.980001254360389,1.1726481914520264,1.1726481914520264,high,sinusoidal_lateral,0.5000271933954522,4.3458728696249285,1,0.2517006802721088,0.1562256946855661
b2_formal,cpa_reactive_sweep,cpa_reactive_cpa18,eval_flow_high_threat,0,1000,near_miss,1,0,1,0.9909387608467674,1.1825212240219116,1.1825212240219116,high,accel_decel,0.6853824746382349,0.8,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,eval_flow_id,0,1000,near_miss,1,0,1,1.0,1.2058254480361938,1.2058254480361938,high,sinusoidal_lateral,0.8880360324767439,4.415644843437618,0,0.0,0.0
b2_formal,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,eval_flow_high_threat,0,1000,near_miss,1,0,1,1.0,1.2437591552734375,1.2437591552734375,high,linear,0.6645721646526888,5.3240982148516345,1,0.3361344537815126,0.2762538101993689
b2_formal,current_cpa_reactive,cpa_reactive_current,eval_flow_id,0,1000,timeout,0,0,1,0.8937029425522015,1.258082389831543,1.258082389831543,high,ar1_velocity,0.4739508546910605,6.156437810958149,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_d3,eval_flow_high_threat,0,1000,timeout,0,0,1,1.0,1.2962743043899536,1.2962743043899536,high,ar1_velocity,0.4278395675300069,0.8,0,0.0,0.0
b2_formal,current_cpa_reactive,cpa_reactive_current,eval_flow_high_speed,0,1000,near_miss,1,0,1,0.978687654053239,1.2985349893569946,1.2985349893569946,high,linear,1.0238853538151973,0.8,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,eval_flow_id,0,1000,near_miss,1,0,1,0.9878055525979228,1.2986133098602295,1.2986133098602295,medium,linear,1.692559171632485,0.8,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_d5,eval_flow_id,0,1000,timeout,0,0,1,0.8536110376533632,1.3703985214233398,1.3703985214233398,high,ar1_velocity,0.4927748949914827,7.925144687869201,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_d3,eval_flow_sudden_threat,0,1000,near_miss,1,0,1,0.9805740190997124,1.394153356552124,1.394153356552124,high,crossing_or_sudden_threat,1.1190151410506717,0.8,0,0.0,0.0
b2_formal,attention_full_1500k,attention_full_1500k,eval_flow_high_threat,0,1000,near_miss,1,0,1,0.982698465787096,1.3954709768295288,1.3954709768295288,high,sinusoidal_lateral,0.7506123938488154,5.01125539687517,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_d3,eval_flow_id,0,1000,timeout,0,0,1,1.0,1.4168267250061035,1.4168267250061035,high,crossing_or_sudden_threat,0.3500666190399366,0.8,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,eval_flow_sudden_threat,0,1000,near_miss,1,0,1,0.9884377816490666,1.4226115942001345,1.4226115942001345,high,ar1_velocity,0.363823115690584,5.336008764064575,0,0.0,0.0
b2_formal,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,eval_flow_sudden_threat,0,1000,near_miss,1,0,1,0.9878683828141857,1.4302382469177246,1.4302382469177246,high,ar1_velocity,0.363823115690584,5.336008764064575,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_cpa18,eval_flow_high_density,0,1000,timeout,0,0,1,0.9095724527199818,1.4571982622146606,1.4594427347183228,high,ar1_velocity,0.4839581073566602,2.9132524504326764,0,0.0,0.0
b2_formal,current_cpa_reactive,cpa_reactive_current,eval_flow_mixed_ood,0,1000,timeout,0,0,1,1.0,1.4823191165924072,1.4823191165924072,high,crossing_or_sudden_threat,0.674128801114383,0.8,0,0.0,0.0
b2_formal,straight_line,straight_line,eval_flow_sudden_threat,0,1000,near_miss,1,0,1,0.97863458495986,1.490048050880432,1.490048050880432,high,ar1_velocity,0.363823115690584,5.336008764064575,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_cpa18,eval_flow_high_speed,0,1000,timeout,0,0,0,0.9343619462512184,1.5273032188415527,1.5273032188415527,medium,linear,1.8178084968275203,3.703000468993123,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_d5,eval_flow_mixed_ood,0,1000,timeout,0,0,0,0.8565154204985151,1.6701830625534058,2.042069911956787,high,sinusoidal_lateral,0.7577845256493998,6.157396501169124,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_d3,eval_flow_high_speed,0,1000,timeout,0,0,0,0.9391809116417548,1.6793358325958252,1.6793358325958252,medium,linear,1.635906728572955,0.8,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_d3,eval_flow_high_density,0,1000,timeout,0,0,0,0.9110168184147286,1.7192109823226929,1.7192109823226929,high,linear,0.9012208104662156,0.8,0,0.0,0.0
b2_formal,random,random,eval_flow_mixed_ood,0,1000,timeout,0,0,0,0.0,1.7881311178207395,1.7881311178207395,high,ar1_velocity,0.7510067362965598,6.501511679349459,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_d5,eval_flow_high_density,0,1000,timeout,0,0,0,0.8621047853175657,1.9328263998031616,1.9328263998031616,high,accel_decel,0.7623501832801596,5.286245756551261,0,0.0,0.0
b2_formal,cpa_reactive_sweep,cpa_reactive_d5,eval_flow_high_speed,0,1000,timeout,0,0,0,0.8762039980437364,2.003170251846313,2.003170251846313,high,sinusoidal_lateral,0.3692204603344788,5.147700171670582,0,0.0,0.0
b2_formal,current_cpa_reactive,cpa_reactive_current,eval_flow_high_density,0,1000,timeout,0,0,0,0.8823737008871065,2.0279347896575928,2.0279347896575928,high,linear,0.3656510990310068,4.839709114770317,0,0.0,0.0
b2_formal,random,random,eval_flow_high_density,0,1000,timeout,0,0,0,0.0869940091949777,2.54091477394104,2.54091477394104,high,sinusoidal_lateral,0.4493122273592679,7.042839559114788,0,0.0,0.0
b2_formal,random,random,eval_flow_high_speed,0,1000,timeout,0,0,0,0.0599352649623147,3.2809112071990967,3.2809112071990967,high,linear,0.8035441513351966,2.46995607546776,0,0.0,0.0
b2_formal,random,random,eval_flow_high_threat,0,1000,timeout,0,0,0,0.06564496086519,3.3915669918060303,3.466219186782837,high,crossing_or_sudden_threat,0.3726829726462446,5.03619347843145,0,0.0,0.0
b2_formal,random,random,eval_flow_id,0,1000,timeout,0,0,0,0.1383111282747305,4.195568084716797,4.195568084716797,high,sinusoidal_lateral,0.590271750014508,8.104257514417494,0,0.0,0.0
b2_formal,random,random,eval_flow_sudden_threat,0,1000,timeout,0,0,0,0.1646460908554098,4.761629104614258,4.761629104614258,high,sinusoidal_lateral,0.6035116085054811,5.751117185642972,0,0.0,0.0
