stage,baseline_name,config_name,baseline_category,config_params,episode_filter_triggered,mean_min_predicted_cpa_raw,mean_min_predicted_cpa_filtered,min_min_predicted_cpa_raw,min_min_predicted_cpa_filtered,mean_min_ttc_raw,mean_min_ttc_filtered,min_min_ttc_raw,min_min_ttc_filtered,failure_type,nan_or_crash,method,policy_name,scenario,checkpoint_step,episode_id,episode_seed,success,collision,timeout,truncated,out_of_bounds,near_miss,progress,final_goal_distance,mean_time,episode_length_steps,episode_return,mean_min_distance,episode_min_distance,min_distance_after_threat,no_response,no_response_rate,reaction_time_eval_style,conditional_reaction_time,planned_cpa,planned_ttc,threat_class,motion_mode,replacement_count,active_obstacle_count,mean_action_norm,mean_action_delta,max_action_delta,filter_used,filter_trigger_count,filter_trigger_rate,mean_filter_delta_norm,max_filter_delta_norm
b0_smoke,random,random,reference,{},0,6.735436849042773,6.735436849042773,0.10470638424158096,0.10470638424158096,1.9906929874569177,1.9906929874569177,0.0,0.0,timeout,0,random,random,eval_flow_id,-1,0,1000,0,0,1,1,0,0,0.1383111282747305,29.53985595703125,100.0,500,-11.715717230252928,8.49449838256836,4.195568084716797,4.195568084716797,0,0.0022471910112359553,0.19999999999999996,0.19999999999999996,0.590271750014508,8.104257514417494,high,sinusoidal_lateral,68,5,0.7590327571481467,1.0738632396789256,2.3918912410736084,0,0,0.0,0.0,0.0
b0_smoke,straight_line,straight_line,reference,{},0,0.571241418796557,0.571241418796557,0.04344745725393295,0.04344745725393295,2.893436790616424,2.893436790616424,0.40770718455314636,0.40770718455314636,collision,0,straight_line,straight_line,eval_flow_id,-1,0,1000,0,1,0,0,0,0,0.3080470977545042,23.526432037353516,5.4,27,0.3186175513267475,6.3698509754957975,0.5950876474380493,0.5950876474380493,1,1.0,98.2,nan,0.46879520042024525,5.636907428262444,high,accel_decel,4,5,0.999999980131785,3.6751583383402945e-08,1.192095169244567e-07,0,0,0.0,0.0,0.0
b0_smoke,attention_full_1500k,attention_full_1500k,reference,{},0,3.2198142313909734,3.2198142313909734,0.01469131838530302,0.01469131838530302,2.333012294206841,2.333012294206841,0.0,0.0,collision,0,attention_full_1500k,attention_full_1500k,eval_flow_id,1500000,0,1000,0,1,0,0,0,0,0.9565094852870146,1.479152798652649,20.400000000000002,102,21.907167629083638,5.891641700384664,0.3546175956726074,0.3546175956726074,0,0.012345679012345678,0.19999999999999996,0.19999999999999996,1.1327958661632034,4.0323812495870035,high,ar1_velocity,28,5,1.5355688947088577,0.09081526208982461,0.7885153293609619,0,0,0.0,0.0,0.0
b0_smoke,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep","{""avoid_weight"":2.1,""cpa_trigger"":2.4,""d_reactive"":4.0,""horizon"":4.5}",0,2.0156742418389766,2.0156742418389766,0.005676514469087124,0.005676514469087124,1.5073238291439484,1.5073238291439484,0.0,0.0,timeout,0,current_cpa_reactive,cpa_reactive_current,eval_flow_id,-1,0,1000,0,0,1,1,0,1,0.8937029425522015,3.87960147857666,100.0,500,8.409592738859093,3.5655122530460357,1.258082389831543,1.258082389831543,0,0.05995203836930456,5.000000000000001,5.000000000000001,0.4739508546910605,6.156437810958149,high,ar1_velocity,88,5,0.9999999827146531,1.1562357554338925,1.9999990463256836,0,0,0.0,0.0,0.0
b0_smoke,naive_apf,naive_apf_d3_w0p6,apf,"{""d0"":3.0,""w_goal"":1.0,""w_rep"":0.6}",0,1.0529193637762653,1.0529193637762653,0.042683109641075134,0.042683109641075134,2.0101720214236614,2.0101720214236614,0.0,0.0,near_miss,0,naive_apf,naive_apf_d3_w0p6,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.985843342504675,0.5002734661102295,17.2,86,43.02614683593099,3.935169999682626,0.7013912200927734,0.7013912200927734,0,0.34545454545454546,3.8000000000000007,3.8000000000000007,0.6242884549570918,0.8,high,ar1_velocity,21,5,0.9999999902969183,0.035418258175042516,0.8078809380531311,0,0,0.0,0.0,0.0
b0_smoke,naive_apf,naive_apf_d3_w1,apf,"{""d0"":3.0,""w_goal"":1.0,""w_rep"":1.0}",0,1.0269336928721777,1.0269336928721777,0.038784898817539215,0.038784898817539215,2.0036157109709674,2.0036157109709674,0.0,0.0,near_miss,0,naive_apf,naive_apf_d3_w1,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9795747942675057,0.7316360473632812,17.2,86,42.79241594290975,3.9577235482459843,0.7847169041633606,0.7847169041633606,0,0.34545454545454546,3.8000000000000007,3.8000000000000007,0.8880360324767439,4.415644843437618,high,sinusoidal_lateral,21,5,0.9999999909899956,0.04387242378693974,0.6510406136512756,0,0,0.0,0.0,0.0
b0_smoke,naive_apf,naive_apf_d3_w1p6,apf,"{""d0"":3.0,""w_goal"":1.0,""w_rep"":1.6}",0,1.1251979475275855,1.1251979475275855,0.028156094253063202,0.028156094253063202,2.1762658705872098,2.1762658705872098,0.0,0.0,near_miss,0,naive_apf,naive_apf_d3_w1p6,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9889643213007111,0.3752140700817108,17.8,89,43.12153989973608,3.898949873581361,0.8933544754981995,0.8933544754981995,0,0.3157894736842105,3.6000000000000005,3.6000000000000005,0.7021331629199377,7.379048973012056,high,accel_decel,30,5,0.9999999906239885,0.06874806339412455,0.7020047307014465,0,0,0.0,0.0,0.0
b0_smoke,naive_apf,naive_apf_d4_w0p6,apf,"{""d0"":4.0,""w_goal"":1.0,""w_rep"":0.6}",0,1.0541528922527335,1.0541528922527335,0.04344745725393295,0.04344745725393295,2.0098809539232145,2.0098809539232145,0.0,0.0,near_miss,0,naive_apf,naive_apf_d4_w0p6,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9861882355132314,0.49575990438461304,17.2,86,43.03347574555806,3.946563254262126,0.73175448179245,0.73175448179245,0,0.34545454545454546,3.8000000000000007,3.8000000000000007,0.6242884549570918,0.8,high,ar1_velocity,21,5,0.9999999854453775,0.03546510612320483,0.7260062098503113,0,0,0.0,0.0,0.0
b0_smoke,naive_apf,naive_apf_d4_w1,apf,"{""d0"":4.0,""w_goal"":1.0,""w_rep"":1.0}",0,1.0347554967630395,1.0347554967630395,0.02021552436053753,0.02021552436053753,2.0042152896870014,2.0042152896870014,0.0,0.0,near_miss,0,naive_apf,naive_apf_d4_w1,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9798988186685178,0.7341127991676331,17.2,86,42.793631126657544,3.9788860297480295,0.8292787671089172,0.8292787671089172,0,0.32727272727272727,3.6000000000000005,3.6000000000000005,0.8880360324767439,4.415644843437618,high,sinusoidal_lateral,21,5,0.9999999882176865,0.043576603612534785,0.5372920036315918,0,0,0.0,0.0,0.0
b0_smoke,naive_apf,naive_apf_d4_w1p6,apf,"{""d0"":4.0,""w_goal"":1.0,""w_rep"":1.6}",0,0.7250242714324723,0.7250242714324723,0.01768682524561882,0.01768682524561882,1.9657099990417128,1.9657099990417128,0.0,0.0,near_miss,0,naive_apf,naive_apf_d4_w1p6,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.984375022789978,0.5475823879241943,18.400000000000002,92,42.9098029275989,3.487947188641714,0.8451829552650452,0.8451829552650452,0,0.26865671641791045,3.6000000000000005,3.6000000000000005,0.6242884549570918,6.396643995731862,high,ar1_velocity,24,5,0.9999999831552091,0.0942638575881579,0.9261930584907532,0,0,0.0,0.0,0.0
b0_smoke,naive_apf,naive_apf_d5_w0p6,apf,"{""d0"":5.0,""w_goal"":1.0,""w_rep"":0.6}",0,1.0538605834075878,1.0538605834075878,0.03443257883191109,0.03443257883191109,2.009688467133877,2.009688467133877,0.0,0.0,near_miss,0,naive_apf,naive_apf_d5_w0p6,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9863840189549786,0.4939953684806824,17.2,86,43.036878718900056,3.9538897546224816,0.7504093647003174,0.7504093647003174,0,0.34545454545454546,3.8000000000000007,3.8000000000000007,0.6242884549570918,0.8,high,ar1_velocity,21,5,0.9999999882176865,0.03537970194841578,0.6776174306869507,0,0,0.0,0.0,0.0
b0_smoke,naive_apf,naive_apf_d5_w1,apf,"{""d0"":5.0,""w_goal"":1.0,""w_rep"":1.0}",0,1.037218975796646,1.037218975796646,0.004323302302509546,0.004323302302509546,2.004678918351961,2.004678918351961,0.0,0.0,near_miss,0,naive_apf,naive_apf_d5_w1,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.980043776953181,0.7385455965995789,17.2,86,42.791257973793066,3.992336497057316,0.8571105599403381,0.8571105599403381,0,0.32727272727272727,3.6000000000000005,3.6000000000000005,0.8880360324767439,4.415644843437618,high,sinusoidal_lateral,21,5,0.9999999847523001,0.04331356211856099,0.4801158010959625,0,0,0.0,0.0,0.0
b0_smoke,naive_apf,naive_apf_d5_w1p6,apf,"{""d0"":5.0,""w_goal"":1.0,""w_rep"":1.6}",0,1.1129392126805326,1.1129392126805326,0.04344745725393295,0.04344745725393295,1.940938075690457,1.940938075690457,0.0,0.0,near_miss,0,naive_apf,naive_apf_d5_w1p6,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9794231041739572,0.7006708979606628,17.8,89,42.73090777585473,3.6967835051290105,0.9893897771835327,0.9893897771835327,0,0.34615384615384615,3.6000000000000005,3.6000000000000005,0.420087430554887,7.60705610597605,high,sinusoidal_lateral,24,5,0.999999981917692,0.08396039347575558,1.7291868925094604,0,0,0.0,0.0,0.0
b0_smoke,velocity_aware_apf,velocity_aware_apf_alpha0p5,apf,"{""alpha_closing"":0.5,""d0"":4.0,""w_goal"":1.0,""w_rep"":1.0}",0,1.0476426670549783,1.0476426670549783,0.0016901076305657625,0.0016901076305657625,2.0133977671002232,2.0133977671002232,0.0,0.0,near_miss,0,velocity_aware_apf,velocity_aware_apf_alpha0p5,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9809196974859723,0.7287416458129883,17.2,86,42.80146322746864,3.9926282146642373,0.9253371357917786,0.9253371357917786,0,0.32727272727272727,3.6000000000000005,3.6000000000000005,0.6242884549570918,0.8,high,ar1_velocity,21,5,0.999999986831532,0.04140700180057726,0.5805078148841858,0,0,0.0,0.0,0.0
b0_smoke,velocity_aware_apf,velocity_aware_apf_alpha1,apf,"{""alpha_closing"":1.0,""d0"":4.0,""w_goal"":1.0,""w_rep"":1.0}",0,1.0637000813690383,1.0637000813690383,0.023195898160338402,0.023195898160338402,2.0126013884017633,2.0126013884017633,0.0,0.0,near_miss,0,velocity_aware_apf,velocity_aware_apf_alpha1,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9815275798283142,0.7370331883430481,17.2,86,42.79472022233756,4.003276578908743,0.9968379139900208,0.9968379139900208,0,0.32727272727272727,3.6000000000000005,3.6000000000000005,0.6242884549570918,0.8,high,ar1_velocity,21,5,0.9999999854453775,0.03963246837024064,0.5637952089309692,0,0,0.0,0.0,0.0
b0_smoke,velocity_aware_apf,velocity_aware_apf_alpha2,apf,"{""alpha_closing"":2.0,""d0"":4.0,""w_goal"":1.0,""w_rep"":1.0}",0,1.0895365174303109,1.0895365174303109,0.04344745725393295,0.04344745725393295,2.001207677968617,2.001207677968617,0.0,0.0,near_miss,0,velocity_aware_apf,velocity_aware_apf_alpha2,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9931353500860381,0.6032978892326355,17.400000000000002,87,42.91346378539193,3.986452575387626,1.0336154699325562,1.0336154699325562,0,0.30357142857142855,3.4000000000000004,3.4000000000000004,0.8880360324767439,4.415644843437618,high,sinusoidal_lateral,21,5,0.9999999869828937,0.04884278023842948,0.830397367477417,0,0,0.0,0.0,0.0
b0_smoke,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha1,apf,"{""alpha_closing"":1.0,""alpha_cpa"":1.0,""cpa_threshold"":2.4,""d0"":4.0,""horizon"":4.5,""w_goal"":1.0,""w_rep"":1.0}",0,1.0868810859339482,1.0868810859339482,0.01704229786992073,0.01704229786992073,1.955819514472916,1.955819514472916,0.0,0.0,near_miss,0,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha1,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9983722486115364,0.7273123860359192,17.6,88,42.7875981041553,3.979557450522076,1.1278079748153687,1.1278079748153687,0,0.2982456140350877,3.4000000000000004,3.4000000000000004,0.8880360324767439,4.415644843437618,high,sinusoidal_lateral,21,5,0.9999999905174429,0.053360308933884756,0.5171912312507629,0,0,0.0,0.0,0.0
b0_smoke,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,"{""alpha_closing"":1.0,""alpha_cpa"":2.0,""cpa_threshold"":2.4,""d0"":4.0,""horizon"":4.5,""w_goal"":1.0,""w_rep"":1.0}",0,1.1067368351341633,1.1067368351341633,0.04344745725393295,0.04344745725393295,1.9348238702403027,1.9348238702403027,0.0,0.0,near_miss,0,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,eval_flow_id,-1,0,1000,1,0,0,0,0,1,1.0,0.6733993887901306,17.8,89,42.82752158467771,3.985864712950889,1.2058254480361938,1.2058254480361938,0,0.29310344827586204,3.4000000000000004,3.4000000000000004,0.8880360324767439,4.415644843437618,high,sinusoidal_lateral,21,5,0.9999999899542733,0.05946078882269035,0.768568754196167,0,0,0.0,0.0,0.0
b0_smoke,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,"{""alpha_closing"":1.0,""alpha_cpa"":3.0,""cpa_threshold"":2.4,""d0"":4.0,""horizon"":4.5,""w_goal"":1.0,""w_rep"":1.0}",0,1.2843429212426316,1.2843429212426316,0.04344745725393295,0.04344745725393295,2.208255810127861,2.208255810127861,0.0,0.0,near_miss,0,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,eval_flow_id,-1,0,1000,1,0,0,0,0,1,0.9878055525979229,0.41464465856552124,17.400000000000002,87,43.11845344965643,4.223530381575398,1.2986133098602295,1.2986133098602295,0,0.3148148148148148,3.4000000000000004,3.4000000000000004,1.692559171632485,0.8,medium,linear,23,5,0.9999999869828937,0.034626716041628265,0.5199632048606873,0,0,0.0,0.0,0.0
b0_smoke,cpa_reactive_sweep,cpa_reactive_d3,cpa_reactive_sweep,"{""avoid_weight"":2.1,""cpa_trigger"":2.4,""d_reactive"":3.0,""horizon"":4.5}",0,2.4393741467166694,2.4393741467166694,0.011726902797818184,0.011726902797818184,1.3611927434206008,1.3611927434206008,0.0,0.0,timeout,0,cpa_reactive_sweep,cpa_reactive_d3,eval_flow_id,-1,0,1000,0,0,1,1,0,1,1.0,5.565498352050781,100.0,500,6.439493040355147,4.079450062036514,1.4168267250061035,1.4168267250061035,0,0.05979381443298969,5.800000000000001,5.800000000000001,0.35006661903993663,0.8,high,crossing_or_sudden_threat,163,5,0.999999987244606,1.2088894734888547,1.999996542930603,0,0,0.0,0.0,0.0
b0_smoke,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,"{""avoid_weight"":2.1,""cpa_trigger"":2.4,""d_reactive"":5.0,""horizon"":4.5}",0,2.4669893137305046,2.4669893137305046,0.0010528992861509323,0.0010528992861509323,1.4537540531633422,1.4537540531633422,0.0,0.0,timeout,0,cpa_reactive_sweep,cpa_reactive_d5,eval_flow_id,-1,0,1000,0,0,1,1,0,1,0.8536110376533632,4.982855796813965,100.0,500,10.596337112324406,3.8636145293712616,1.3703985214233398,1.3703985214233398,0,0.05134474327628362,4.2,4.2,0.49277489499148275,7.925144687869201,high,ar1_velocity,81,5,0.9999999799728394,0.9988382210923997,1.9999839067459106,0,0,0.0,0.0,0.0
b0_smoke,cpa_reactive_sweep,cpa_reactive_cpa18,cpa_reactive_sweep,"{""avoid_weight"":2.1,""cpa_trigger"":1.8,""d_reactive"":4.0,""horizon"":4.5}",0,2.1017807562781785,2.1017807562781785,0.00426973681896925,0.00426973681896925,1.5260764170849983,1.5260764170849983,0.0,0.0,none,0,cpa_reactive_sweep,cpa_reactive_cpa18,eval_flow_id,-1,0,1000,1,0,0,0,0,0,0.9837954140449543,0.5734955072402954,41.6,208,36.48928315519797,3.8775915623857427,1.935394048690796,1.935394048690796,0,0.1568627450980392,4.800000000000001,4.800000000000001,0.6739711741689806,7.860293065849762,high,crossing_or_sudden_threat,57,5,0.9999999859585211,0.9150143266241638,1.998788833618164,0,0,0.0,0.0,0.0
b0_smoke,cpa_reactive_sweep,cpa_reactive_cpa30,cpa_reactive_sweep,"{""avoid_weight"":2.1,""cpa_trigger"":3.0,""d_reactive"":4.0,""horizon"":4.5}",0,2.516854640003294,2.516854640003294,0.0050371671095490456,0.0050371671095490456,1.4783169540055097,1.4783169540055097,0.0,0.0,timeout,0,cpa_reactive_sweep,cpa_reactive_cpa30,eval_flow_id,-1,0,1000,0,0,1,1,0,0,1.0,6.397075176239014,100.0,500,5.580352817471443,3.993359174013138,1.5428309440612793,1.5428309440612793,0,0.0021691973969631237,0.19999999999999996,0.19999999999999996,1.9136568044543534,0.8,medium,ar1_velocity,132,5,0.9999999848604202,1.1712494239614128,1.999997615814209,0,0,0.0,0.0,0.0
b0_smoke,cpa_reactive_sweep,cpa_reactive_h3,cpa_reactive_sweep,"{""avoid_weight"":2.1,""cpa_trigger"":2.4,""d_reactive"":4.0,""horizon"":3.0}",0,1.8061979288743302,1.8061979288743302,0.01472831703722477,0.01472831703722477,1.1972321976503038,1.1972321976503038,0.0,0.0,collision,0,cpa_reactive_sweep,cpa_reactive_h3,eval_flow_id,-1,0,1000,0,1,0,0,0,0,1.0,1.0115163326263428,99.0,495,5.372348067778487,3.010110070609083,0.46479249000549316,0.46479249000549316,0,0.039301310043668124,3.6000000000000005,3.6000000000000005,0.6593664962480833,0.8,high,ar1_velocity,96,5,0.999999981817573,0.9616578149900094,1.9999926090240479,0,0,0.0,0.0,0.0
