tau,motion_mode,valid_count,mean_delta_norm,median_delta_norm
1.0,accel_decel,510,0.3078719442929159,0.16980723675865414
1.0,ar1_velocity,557,0.26287130208331416,0.23485155017128947
1.0,crossing_or_sudden_threat,536,0.06394955621794059,6.286806794920262e-07
1.0,linear,477,7.97254479783073e-07,9.261299452355336e-07
1.0,sinusoidal_lateral,704,0.3521930330435349,0.31991708288387044
2.0,accel_decel,445,1.0038448886364506,0.7402962595166435
2.0,ar1_velocity,492,0.6230251434398989,0.5471464461956674
2.0,crossing_or_sudden_threat,483,0.2021173668557808,1.1396185490898095e-06
2.0,linear,422,1.5266694242305333e-06,1.2824190919740999e-06
2.0,sinusoidal_lateral,644,1.0581024171272475,0.9628039939422652
4.0,accel_decel,318,2.3372650102943684,2.1318532816329334
4.0,ar1_velocity,362,1.324446317659929,1.1929404643353356
4.0,crossing_or_sudden_threat,397,0.6238362215939214,2.270012184854394e-06
4.0,linear,329,2.866271425591681e-06,2.1068157299140126e-06
4.0,sinusoidal_lateral,533,1.938216809405612,1.881345964230885
