scenario,episode_id,obstacle_id,first_step,last_step,num_records,unique_slots_seen,slot_change_count_for_same_id,slot_reuse_after_this_id_count,duplicate_same_step,reappears_after_gap,max_gap_steps,status,rule
eval_flow_id,0,0,0,49,50,0,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,1,0,80,81,1,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,2,0,72,73,2,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,3,0,45,46,3,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,4,0,0,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,5,1,1,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,6,2,2,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,7,3,6,4,4,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,8,7,41,35,4,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,9,42,42,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,10,43,67,25,4,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,11,46,46,1,3,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,12,47,47,1,3,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,13,48,80,33,3,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,14,50,80,31,0,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,15,68,80,13,4,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,0,16,73,80,8,2,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,0,0,0,1,0,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,1,0,80,81,1,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,2,0,65,66,2,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,3,0,0,1,3,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,4,0,75,76,4,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,5,0,0,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,6,0,0,1,6,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,7,0,0,1,7,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,9,1,80,80,0,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,11,1,1,1,3,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,12,1,1,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,13,1,34,34,6,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,14,1,38,38,7,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,15,2,58,57,3,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,16,2,2,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,17,3,3,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,18,4,32,29,5,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,19,33,80,48,5,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,20,35,80,46,6,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,21,39,39,1,7,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,22,40,40,1,7,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,23,41,41,1,7,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,24,42,80,39,7,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,25,59,80,22,3,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,26,66,66,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,27,67,67,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,28,68,80,13,2,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,29,76,76,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,30,77,77,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,31,78,78,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,33,79,79,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,1,34,80,80,1,4,0,0,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,0,0,80,81,0,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,1,0,80,81,1,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,3,0,0,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,4,0,62,63,3,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,5,0,0,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,6,0,80,81,5,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,7,0,0,1,6,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,9,1,1,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,10,1,42,42,4,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,11,1,1,1,6,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,12,2,60,59,2,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,13,2,2,1,6,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,14,3,3,1,6,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,15,4,80,77,6,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,16,43,43,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,17,44,80,37,4,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,18,61,61,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,19,62,62,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,20,63,63,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,21,63,63,1,3,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,22,64,80,17,2,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
eval_flow_id,2,23,64,80,17,3,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,0,0,63,64,0,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,1,0,0,1,1,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,2,0,0,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,3,0,39,40,3,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,4,0,46,47,4,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,5,0,0,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,6,1,1,1,1,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,7,1,49,49,2,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,8,1,80,80,5,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,9,2,2,1,1,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,10,3,3,1,1,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,11,4,4,1,1,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,12,5,5,1,1,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,13,6,6,1,1,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,14,7,80,74,1,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,15,40,80,41,3,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,16,47,80,34,4,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,17,50,80,31,2,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,18,64,64,1,0,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,0,19,65,80,16,0,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,0,0,0,1,0,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,1,0,80,81,1,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,2,0,0,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,3,0,65,66,3,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,4,0,0,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,5,0,0,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,6,0,80,81,6,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
