episode_id,episode_seed,split
0,2000,val
1,2001,test
2,2002,train
3,2003,train
4,2004,val
5,2005,train
6,2006,train
7,2007,train
8,2008,val
9,2009,val
10,2010,val
11,2011,train
12,2012,train
13,2013,train
14,2014,train
15,2015,train
16,2016,train
17,2017,train
18,2018,train
19,2019,train
20,2020,train
21,2021,train
22,2022,train
23,2023,train
24,2024,val
25,2025,train
26,2026,train
27,2027,train
28,2028,train
29,2029,val
30,2030,train
31,2031,train
32,2032,train
33,2033,train
34,2034,train
35,2035,train
36,2036,train
37,2037,val
38,2038,train
39,2039,test
40,2040,train
41,2041,test
42,2042,train
43,2043,train
44,2044,val
45,2045,train
46,2046,train
47,2047,test
48,2048,train
49,2049,test
50,2050,train
51,2051,train
52,2052,train
53,2053,train
54,2054,train
55,2055,test
56,2056,val
57,2057,train
58,2058,train
59,2059,train
60,2060,train
61,2061,train
62,2062,test
63,2063,train
64,2064,test
65,2065,train
66,2066,train
67,2067,train
68,2068,val
69,2069,train
70,2070,train
71,2071,train
72,2072,test
73,2073,train
74,2074,test
75,2075,test
76,2076,train
77,2077,train
78,2078,train
79,2079,test
80,2080,train
81,2081,train
82,2082,test
83,2083,train
84,2084,train
85,2085,test
86,2086,train
87,2087,train
88,2088,train
89,2089,val
90,2090,test
91,2091,val
92,2092,train
93,2093,train
94,2094,train
95,2095,val
96,2096,val
97,2097,train
98,2098,train
99,2099,train
