split,horizon_sec,motion_mode_id,motion_mode,count,mean,std,median,p95,max
train,1.0,0,linear,38644,8.0164888248085e-07,5.359724323890222e-07,6.848052294117224e-07,1.925885044329334e-06,2.7079145183961373e-06
train,1.0,1,sinusoidal_lateral,58636,0.4277584142077594,0.3019969281427741,0.3707724064588547,1.0189316868782043,1.777625560760498
train,1.0,2,accel_decel,36257,0.21082220278318867,0.2708307911642933,0.10005377978086472,0.8007388472557063,1.762265682220459
train,1.0,3,ar1_velocity,43021,0.2548147821667192,0.14653731564506606,0.2237413078546524,0.5403474569320679,1.1976009607315063
train,1.0,4,crossing_or_sudden_threat,32458,0.04209619452968199,0.20388764388720076,9.610960205463925e-07,0.27369071096181746,3.0918917655944824
train,2.0,0,linear,36034,1.5513784271410552e-06,1.0537633644708758e-06,1.2502775916800601e-06,3.831424237432657e-06,5.56593795408844e-06
train,2.0,1,sinusoidal_lateral,54710,1.2306671925941082,0.8008780621371877,1.1216577291488647,2.7561965346336366,4.300254821777344
train,2.0,2,accel_decel,32717,0.6957192288980084,0.6499896408147326,0.49833378195762634,2.0285918712615962,3.8058276176452637
train,2.0,3,ar1_velocity,39057,0.6074797826515262,0.349410736951945,0.5330299735069275,1.2924618005752557,2.8810081481933594
train,2.0,4,crossing_or_sudden_threat,30448,0.14557305602180173,0.5283015050818952,1.5497207641601562e-06,1.2440593063831322,6.183783054351807
train,4.0,0,linear,30881,2.879763935638288e-06,2.0554076799082364e-06,2.2992255708231824e-06,7.64428114052862e-06,1.0106810805154964e-05
train,4.0,1,sinusoidal_lateral,46984,2.1494491374546807,1.2535205591713154,2.0981223583221436,4.318078255653381,6.254678726196289
train,4.0,2,accel_decel,25735,1.8626549763810951,1.3400846193297347,1.6125428676605225,4.418357706069945,7.679043769836426
train,4.0,3,ar1_velocity,31366,1.3688348304753006,0.7927259116449782,1.1989109516143799,2.940407633781433,5.821662425994873
