split,episode_id,episode_seed,step,time,obstacle_id,obstacle_slot,motion_mode,threat_class,history_valid_length,replacement_boundary_nearby,future_valid_1s,delta_norm_1s,future_valid_2s,delta_norm_2s,future_valid_4s,delta_norm_4s
train,2,2002,0,0.0,0,0,crossing_or_sudden_threat,medium,1,0,1,1.0662403155947686e-06,1,1.3867343664169312,1,4.1602044105529785
train,2,2002,0,0.0,1,1,sinusoidal_lateral,medium,1,1,0,0.0,0,0.0,0,0.0
train,2,2002,0,0.0,2,2,accel_decel,low,1,1,0,0.0,0,0.0,0,0.0
train,2,2002,0,0.0,3,3,sinusoidal_lateral,low,1,1,0,0.0,0,0.0,0,0.0
train,2,2002,0,0.0,4,4,accel_decel,low,1,1,0,0.0,0,0.0,0,0.0
train,2,2002,0,0.0,5,5,accel_decel,medium,1,1,0,0.0,0,0.0,0,0.0
train,2,2002,1,0.20000000298023224,0,0,crossing_or_sudden_threat,medium,2,0,1,0.27734610438346863,1,1.6640815734863281,1,4.437551975250244
train,2,2002,1,0.20000000298023224,6,1,sinusoidal_lateral,medium,1,1,0,0.0,0,0.0,0,0.0
train,2,2002,1,0.20000000298023224,7,2,crossing_or_sudden_threat,high,1,1,0,0.0,0,0.0,0,0.0
train,2,2002,1,0.20000000298023224,8,3,sinusoidal_lateral,low,1,1,1,0.044649142771959305,1,0.44811946153640747,1,0.6330620646476746
train,2,2002,1,0.20000000298023224,9,4,accel_decel,medium,1,1,0,0.0,0,0.0,0,0.0
train,2,2002,1,0.20000000298023224,10,5,sinusoidal_lateral,medium,1,1,1,0.28676000237464905,1,0.6507852077484131,1,0.19289231300354004
train,2,2002,2,0.4000000059604645,0,0,crossing_or_sudden_threat,medium,3,0,1,0.5546932816505432,1,1.941428780555725,1,4.714899063110352
train,2,2002,2,0.4000000059604645,11,1,crossing_or_sudden_threat,low,1,1,0,0.0,0,0.0,0,0.0
train,2,2002,2,0.4000000059604645,12,2,sinusoidal_lateral,high,1,1,1,0.31914660334587097,1,0.029952390119433403,1,0.15373513102531433
train,2,2002,2,0.4000000059604645,8,3,sinusoidal_lateral,low,2,1,1,0.3966951370239258,1,1.241457223892212,1,1.8305606842041016
train,2,2002,2,0.4000000059604645,13,4,sinusoidal_lateral,high,1,1,0,0.0,0,0.0,0,0.0
train,2,2002,2,0.4000000059604645,10,5,sinusoidal_lateral,medium,2,1,1,0.22852776944637299,1,0.41562435030937195,1,0.3869110643863678
train,2,2002,3,0.6000000238418579,0,0,crossing_or_sudden_threat,medium,4,0,1,0.8320404291152954,1,2.218775987625122,1,4.992246150970459
train,2,2002,3,0.6000000238418579,14,1,sinusoidal_lateral,high,1,1,1,0.6280713081359863,1,1.0092756748199463,1,0.03565847873687744
train,2,2002,3,0.6000000238418579,12,2,sinusoidal_lateral,high,2,1,1,0.2755870819091797,1,1.141556978225708,1,2.1029627323150635
train,2,2002,3,0.6000000238418579,8,3,sinusoidal_lateral,low,3,1,1,0.3970918655395508,1,1.1269360780715942,1,1.250145673751831
train,2,2002,3,0.6000000238418579,15,4,ar1_velocity,low,1,1,1,0.38978439569473267,1,0.9769270420074463,1,1.5105388164520264
train,2,2002,3,0.6000000238418579,10,5,sinusoidal_lateral,medium,3,1,1,0.16999848186969757,1,0.18244732916355133,1,0.8869349956512451
train,2,2002,4,0.800000011920929,0,0,crossing_or_sudden_threat,medium,5,0,1,1.1093876361846924,1,2.4961230754852295,1,5.269593238830566
train,2,2002,4,0.800000011920929,14,1,sinusoidal_lateral,high,2,1,1,0.31031090021133423,1,0.12342461943626404,1,1.626237154006958
val,0,2000,0,0.0,0,0,linear,medium,1,1,0,0.0,0,0.0,0,0.0
val,0,2000,0,0.0,1,1,ar1_velocity,low,1,1,0,0.0,0,0.0,0,0.0
val,0,2000,0,0.0,2,2,sinusoidal_lateral,high,1,1,0,0.0,0,0.0,0,0.0
val,0,2000,0,0.0,3,3,crossing_or_sudden_threat,low,1,0,1,0.0,1,0.36586758494377136,1,2.195204496383667
val,0,2000,0,0.0,4,4,crossing_or_sudden_threat,medium,1,1,0,0.0,0,0.0,0,0.0
val,0,2000,0,0.0,5,5,sinusoidal_lateral,medium,1,0,1,0.43619099259376526,1,0.5850327014923096,1,0.09628687798976898
val,0,2000,1,0.20000000298023224,6,0,crossing_or_sudden_threat,high,1,1,1,1.9660499219753547e-06,1,3.0157830224197824e-06,1,1.9947713613510132
val,0,2000,1,0.20000000298023224,7,1,ar1_velocity,low,1,1,0,0.0,0,0.0,0,0.0
val,0,2000,1,0.20000000298023224,8,2,accel_decel,medium,1,1,1,1.0273933410644531,1,2.2607829570770264,1,2.460606336593628
val,0,2000,1,0.20000000298023224,3,3,crossing_or_sudden_threat,low,2,0,1,0.0,1,0.5488012433052063,1,2.3781380653381348
val,0,2000,1,0.20000000298023224,9,4,ar1_velocity,low,1,1,0,0.0,0,0.0,0,0.0
val,0,2000,1,0.20000000298023224,5,5,sinusoidal_lateral,medium,2,0,1,0.06368140876293182,1,0.2751537561416626,1,1.6540583372116089
val,0,2000,2,0.4000000059604645,6,0,crossing_or_sudden_threat,high,2,1,1,1.9660499219753547e-06,1,2.9802322387695312e-06,1,2.279737949371338
