model,split,horizon_sec,valid_labels,masked_mse,masked_smoothl1,gaussian_nll
zero,train,1.0,209016,0.040621559580968615,0.020047022964325745,0.020310779790484308
zero,train,2.0,192966,0.30391405155149553,0.1188537769665373,0.15195702577574777
zero,train,4.0,161489,1.147971195753724,0.3324558710092627,0.573985597876862
delta_only,train,1.0,209016,0.012137304104633973,0.006052991521819493,-0.030648546036978284
delta_only,train,2.0,192966,0.06093328861546958,0.028854579170228253,0.0976782420962392
delta_only,train,4.0,161489,0.20753425792602298,0.0816442421664208,0.06745062248108091
nll,train,1.0,209016,0.011422216908801857,0.005698327650442051,-2.0995755710847552
nll,train,2.0,192966,0.058878189062262706,0.027955689382840543,-1.7695634486619265
nll,train,4.0,161489,0.2185475426514308,0.08591598689569875,-1.4617805846493939
zero,val,1.0,45257,0.0419283419299165,0.020687102764967075,0.02096417096495825
zero,val,2.0,41720,0.31143969963866497,0.12026305388172666,0.15571984981933248
zero,val,4.0,34748,1.1764038510218442,0.33704617489912414,0.5882019255109221
delta_only,val,1.0,45257,0.013391303733460706,0.006680176807514656,-0.029890876195631227
delta_only,val,2.0,41720,0.07032556913424448,0.033213175670643344,0.1013807806797023
delta_only,val,4.0,34748,0.26551668860933564,0.102551904337428,0.09703499518428817
nll,val,1.0,45257,0.012579794778724802,0.006276966898971474,-2.0684187345060714
nll,val,2.0,41720,0.06670586915342178,0.03161013798351311,-1.705219282094217
nll,val,4.0,34748,0.2612043846571467,0.10059184564352774,-1.3800660732511036
zero,test,1.0,43908,0.04196492830723251,0.0207298239173122,0.020982464153616254
zero,test,2.0,40528,0.3167428669001245,0.12425691782671118,0.15837143345006224
zero,test,4.0,33889,1.1969181577661685,0.34199789548708676,0.5984590788830843
delta_only,test,1.0,43908,0.012755924851551208,0.006353903507119645,-0.031173357581880327
delta_only,test,2.0,40528,0.06707173694122172,0.031419990493739634,0.09812595304060875
delta_only,test,4.0,33889,0.25041361582650307,0.09423594896408084,0.09088456589323761
nll,test,1.0,43908,0.01202174677193043,0.005988974072315663,-2.095141740895982
nll,test,2.0,40528,0.06334757159626202,0.0297131683583898,-1.7618432341879113
nll,test,4.0,33889,0.24534182643537375,0.09248425739886589,-1.4412055830209753
