model,split,motion_mode_id,motion_mode,samples,valid_labels,masked_mse,masked_smoothl1,gaussian_nll
zero,train,0,linear,41786,105559,1.7343672287381615e-12,8.671836143690807e-13,8.671836143690807e-13
zero,train,1,sinusoidal_lateral,63536,160330,0.8834435992325618,0.2720607744468374,0.4417217996162809
zero,train,2,accel_decel,40536,94709,0.5963249269817807,0.1805449194337307,0.2981624634908904
zero,train,3,ar1_velocity,47877,113444,0.2978868501232919,0.12837111087265915,0.14894342506164596
zero,train,4,crossing_or_sudden_threat,35222,89429,0.2304289391594535,0.06185004403281984,0.11521446957972675
delta_only,train,0,linear,41786,105559,0.003859664193839499,0.0018777287014983385,-0.0054897600853521964
delta_only,train,1,sinusoidal_lateral,63536,160330,0.01527005415052757,0.0075746879147392384,-0.006654761490366737
delta_only,train,2,accel_decel,40536,94709,0.28073285790204894,0.10403888803626514,0.1477421832268328
delta_only,train,3,ar1_velocity,47877,113444,0.15436980618505572,0.07340697073143851,0.09630183720309131
delta_only,train,4,crossing_or_sudden_threat,35222,89429,0.009544072922969223,0.004742438261016739,0.0007173085176811517
nll,train,0,linear,41786,105559,0.004039657815358123,0.0019553055174743113,-2.248634323265091
nll,train,1,sinusoidal_lateral,63536,160330,0.010532004999500926,0.005218970965737175,-2.2582324515454255
nll,train,2,accel_decel,40536,94709,0.29260478327107453,0.10878752217806413,-1.3329824263859893
nll,train,3,ar1_velocity,47877,113444,0.16348700477354738,0.07739989596242493,-0.7471160125237739
nll,train,4,crossing_or_sudden_threat,35222,89429,0.007469546187296704,0.003725380713797278,-2.302884878547664
zero,val,0,linear,8981,22671,1.7891723593367958e-12,8.945861796683979e-13,8.945861796683979e-13
zero,val,1,sinusoidal_lateral,13281,33704,0.9054141212630504,0.27675079235625344,0.4527070606315252
zero,val,2,accel_decel,8398,19541,0.6029950370944847,0.18104357649174568,0.3014975185472423
zero,val,3,ar1_velocity,10716,25035,0.303347603680998,0.13118626170118447,0.151673801840499
zero,val,4,crossing_or_sudden_threat,8223,20774,0.28280472869196366,0.07295956520962314,0.14140236434598183
delta_only,val,0,linear,8981,22671,0.004706917823865522,0.0023395838659112907,-0.0059174379325318245
delta_only,val,1,sinusoidal_lateral,13281,33704,0.016516870662925266,0.00819554795050119,-0.005759952737387558
delta_only,val,2,accel_decel,8398,19541,0.33785458297655463,0.12354884172993601,0.17530272976840558
delta_only,val,3,ar1_velocity,10716,25035,0.2092508693959935,0.09497667194226342,0.12379333740442396
delta_only,val,4,crossing_or_sudden_threat,8223,20774,0.012621536972247419,0.0062664710891916905,0.002509754343906572
nll,val,0,linear,8981,22671,0.004757756866308216,0.0023531937187789456,-2.243793392511487
nll,val,1,sinusoidal_lateral,13281,33704,0.011619319639883868,0.005749455623603494,-2.228770684499157
nll,val,2,accel_decel,8398,19541,0.3402952028253476,0.12388038749154034,-1.2017760515414566
nll,val,3,ar1_velocity,10716,25035,0.20079687792576018,0.09212774288055635,-0.6446706176754992
nll,val,4,crossing_or_sudden_threat,8223,20774,0.012153823967834534,0.005965317123179668,-2.267062151784736
zero,test,0,linear,8047,20275,1.7006571930418233e-12,8.503285965209116e-13,8.503285965209116e-13
zero,test,1,sinusoidal_lateral,14852,37734,0.8884759885139448,0.2733844276345033,0.4442379942569724
zero,test,2,accel_decel,7507,17149,0.598585250284292,0.17629898255140133,0.299292625142146
zero,test,3,ar1_velocity,9499,22286,0.30596244697357644,0.13179924587389777,0.15298122348678822
zero,test,4,crossing_or_sudden_threat,8191,20881,0.22184473585468936,0.06031985617101288,0.11092236792734468
delta_only,test,0,linear,8047,20275,0.0040469900036198166,0.0020155875904407693,-0.0058770551858538175
delta_only,test,1,sinusoidal_lateral,14852,37734,0.01698160876475519,0.008428271982324279,-0.005752342710598087
delta_only,test,2,accel_decel,7507,17149,0.361695395608426,0.1267134216727937,0.18693039317941942
delta_only,test,3,ar1_velocity,9499,22286,0.2062322384839706,0.09396269084541191,0.12466588867716841
delta_only,test,4,crossing_or_sudden_threat,8191,20881,0.011637123523048354,0.005745854822078655,0.0019308835650675277
nll,test,0,linear,8047,20275,0.004058121003042615,0.002024309123020165,-2.25138854705755
nll,test,1,sinusoidal_lateral,14852,37734,0.011914259956596335,0.005899932665199728,-2.2342429312526835
nll,test,2,accel_decel,7507,17149,0.35799838799002426,0.12602827076695897,-1.1960516961615812
nll,test,3,ar1_velocity,9499,22286,0.20171793803991006,0.09231492190449765,-0.6434579983936802
nll,test,4,crossing_or_sudden_threat,8191,20881,0.011634451589787466,0.0057046151133628735,-2.271608692508461
