split,horizon_sec,motion_mode_id,motion_mode,axis,count,mean,median,p10,p90,min,max
train,1.0,0,linear,x,38644,-3.144991550882612,-3.1415287256240845,-3.5428008079528808,-2.7621981620788576,-4.255386829376221,-2.5158863067626953
train,1.0,0,linear,y,38644,-3.399897275936183,-3.3898178339004517,-3.7888510704040526,-3.02240355014801,-4.505958557128906,-2.791856050491333
train,1.0,0,linear,z,38644,-4.952960155553396,-5.0,-5.0,-4.790401411056519,-5.0,-4.400115966796875
train,2.0,0,linear,x,36034,-1.695726167155257,-1.6902133226394653,-1.8797554612159728,-1.5212955594062805,-2.1803348064422607,-1.4110956192016602
train,2.0,0,linear,y,36034,-1.3287310021602599,-1.3261598944664001,-1.501115882396698,-1.1650362730026245,-1.7969402074813843,-1.0425083637237549
train,2.0,0,linear,z,36034,-3.303811017043213,-3.2913824319839478,-3.680924677848816,-2.938069653511047,-4.379566192626953,-2.707825183868408
train,4.0,0,linear,x,30881,-1.2126581161227012,-1.2083832025527954,-1.3269867897033691,-1.106974720954895,-1.5248621702194214,-0.9969881772994995
train,4.0,0,linear,y,30881,0.18689650388846554,0.18641036748886108,0.1491793394088745,0.2256169617176056,0.08351460844278336,0.29197946190834045
train,4.0,0,linear,z,30881,-2.6247986648170825,-2.617668628692627,-2.9380147457122803,-2.3277812004089355,-3.4297146797180176,-2.1404056549072266
train,1.0,1,sinusoidal_lateral,x,58636,-3.263015731346787,-3.237183094024658,-3.768067479133606,-2.791368842124939,-5.0,-2.0535976886749268
train,1.0,1,sinusoidal_lateral,y,58636,-3.558627253673649,-3.534746766090393,-4.081792831420898,-3.0590689182281494,-5.0,-2.21571683883667
train,1.0,1,sinusoidal_lateral,z,58636,-4.925544285377382,-5.0,-5.0,-4.6989970207214355,-5.0,-3.1780693531036377
train,2.0,1,sinusoidal_lateral,x,54710,-1.7001643682502345,-1.6590888500213623,-2.1518455028533934,-1.3095394968986511,-3.0779004096984863,-0.7452360987663269
train,2.0,1,sinusoidal_lateral,y,54710,-1.3934990364702065,-1.377367377281189,-1.6400450825691224,-1.1714900255203247,-2.194364547729492,-0.8385950326919556
train,2.0,1,sinusoidal_lateral,z,54710,-3.4291237015193397,-3.4037994146347046,-3.9545578956604004,-2.9280308723449706,-5.0,-2.10884165763855
train,4.0,1,sinusoidal_lateral,x,46984,-1.199233137322953,-1.1656248569488525,-1.7346485376358032,-0.701958107948303,-2.5550522804260254,-0.10465653240680695
train,4.0,1,sinusoidal_lateral,y,46984,0.15310327698536555,0.1661905199289322,-0.28043260872364045,0.5618436217308045,-0.8810035586357117,0.9823650121688843
train,4.0,1,sinusoidal_lateral,z,46984,-2.7068163979942543,-2.6630550622940063,-3.201854634284973,-2.2801403999328613,-4.496066093444824,-1.5012050867080688
train,1.0,2,accel_decel,x,36257,-3.2069219261745685,-3.185603618621826,-3.6134305000305176,-2.8345641136169433,-4.430063724517822,-1.942884922027588
train,1.0,2,accel_decel,y,36257,-3.462828736180691,-3.441845655441284,-3.8682870388031008,-3.0951083183288572,-4.767479419708252,-2.0548901557922363
train,1.0,2,accel_decel,z,36257,-4.969696223356057,-5.0,-5.0,-4.90178279876709,-5.0,-3.1800365447998047
train,2.0,2,accel_decel,x,32717,-1.7131040502768526,-1.7012933492660522,-1.897883653640747,-1.549808883666992,-2.28678297996521,-0.8704509139060974
train,2.0,2,accel_decel,y,32717,-1.3526765618674945,-1.343750238418579,-1.5230068206787108,-1.196019721031189,-1.8525711297988892,-0.7921618819236755
train,2.0,2,accel_decel,z,32717,-3.356725899963386,-3.333883047103882,-3.7515320777893066,-3.001752185821533,-4.7173027992248535,-1.9839751720428467
train,4.0,2,accel_decel,x,25735,-1.2165606357506091,-1.207524299621582,-1.3484707355499268,-1.102428960800171,-1.694951057434082,-0.5929470062255859
train,4.0,2,accel_decel,y,25735,0.18371175120479538,0.1823546588420868,0.12082663029432297,0.2504202783107758,-0.24959567189216614,0.47439512610435486
train,4.0,2,accel_decel,z,25735,-2.6637031344040776,-2.6421165466308594,-2.977509117126465,-2.382829713821411,-3.5757060050964355,-1.5633803606033325
train,1.0,3,ar1_velocity,x,43021,-3.351842342101697,-3.3416130542755127,-3.875303030014038,-2.84452223777771,-5.0,-1.4786158800125122
train,1.0,3,ar1_velocity,y,43021,-3.6093318894419255,-3.6054062843322754,-4.133056163787842,-3.0954878330230713,-5.0,-1.722490668296814
train,1.0,3,ar1_velocity,z,43021,-4.9510315801499845,-5.0,-5.0,-4.89082145690918,-5.0,-2.4253604412078857
train,2.0,3,ar1_velocity,x,39057,-1.743776173930956,-1.7496427297592163,-1.9885044336318969,-1.5052929162979125,-2.9182724952697754,-0.586548388004303
train,2.0,3,ar1_velocity,y,39057,-1.4039867555142536,-1.3970519304275513,-1.6476836442947387,-1.171994137763977,-2.912674903869629,-0.40203389525413513
train,2.0,3,ar1_velocity,z,39057,-3.4777145873603845,-3.4812793731689453,-3.974324607849121,-2.9842081546783445,-5.0,-1.5689502954483032
train,4.0,3,ar1_velocity,x,31366,-1.219738056501613,-1.209983229637146,-1.4869710803031921,-0.968453973531723,-2.5065741539001465,-0.15584757924079895
train,4.0,3,ar1_velocity,y,31366,0.17372756281767027,0.17273320257663727,0.04024752601981163,0.31023988127708435,-0.46496716141700745,0.7301173806190491
train,4.0,3,ar1_velocity,z,31366,-2.754194876828881,-2.7526538372039795,-3.1289093494415283,-2.3820981979370117,-4.488230228424072,-1.3109142780303955
train,1.0,4,crossing_or_sudden_threat,x,32458,-3.1060103225990074,-3.0656960010528564,-3.532194232940674,-2.746411919593811,-4.381683349609375,-2.347635507583618
train,1.0,4,crossing_or_sudden_threat,y,32458,-3.3655834086787952,-3.32616126537323,-3.793516206741333,-3.0006861209869387,-4.50340461730957,-2.5811355113983154
train,1.0,4,crossing_or_sudden_threat,z,32458,-4.939009364633068,-5.0,-5.0,-4.7473834514617925,-5.0,-3.7707579135894775
train,2.0,4,crossing_or_sudden_threat,x,30448,-1.6720154685640234,-1.6516279578208923,-1.879116714000702,-1.493405830860138,-2.5577657222747803,-1.0153917074203491
train,2.0,4,crossing_or_sudden_threat,y,30448,-1.3143113328303497,-1.2969692945480347,-1.4984625220298766,-1.1584472179412841,-1.8434374332427979,-0.9480566382408142
train,2.0,4,crossing_or_sudden_threat,z,30448,-3.2718443739151115,-3.2375117540359497,-3.6889710664749145,-2.9101032972335816,-4.4609761238098145,-2.542855739593506
train,4.0,4,crossing_or_sudden_threat,x,26523,-1.1935676280803074,-1.1788080930709839,-1.3357347249984741,-1.0650527477264404,-2.072244167327881,-0.5680078268051147
train,4.0,4,crossing_or_sudden_threat,y,26523,0.17890057770492301,0.18131187558174133,0.08430484384298326,0.2564302086830139,-0.37751293182373047,0.8016236424446106
