model,split,horizon_sec,valid_labels,masked_mse,masked_smoothl1,gaussian_nll
zero,train,1.0,209016,0.040621559580968615,0.020047022964325745,0.020310779790484308
zero,train,2.0,192966,0.30391405155149553,0.1188537769665373,0.15195702577574777
zero,train,4.0,161489,1.147971195753724,0.3324558710092627,0.573985597876862
delta_only,train,1.0,209016,0.022241152187906475,0.011033753491861666,-0.10907487093206975
delta_only,train,2.0,192966,0.12826304853317194,0.058020019896730474,0.13653376690915936
delta_only,train,4.0,161489,0.49531354775714637,0.16152776997072632,0.2985378092795908
nll,train,1.0,209016,0.021507601972565453,0.010667456280177613,-1.4897049872770933
nll,train,2.0,192966,0.13102708828736642,0.05948488778038749,-0.6483241397419518
nll,train,4.0,161489,0.49901124438484035,0.1629548497675823,-0.10976326560264756
zero,val,1.0,45257,0.0419283419299165,0.020687102764967075,0.02096417096495825
zero,val,2.0,41720,0.31143969963866497,0.12026305388172666,0.15571984981933248
zero,val,4.0,34748,1.1764038510218442,0.33704617489912414,0.5882019255109221
delta_only,val,1.0,45257,0.022915202421769473,0.011350124448844581,-0.109201461134523
delta_only,val,2.0,41720,0.13139359424071392,0.05881763182129401,0.13949227854944338
delta_only,val,4.0,34748,0.5170201673694943,0.16496216954487652,0.31532972218317773
nll,val,1.0,45257,0.022157063724579113,0.010973487819325797,-1.4734918190355168
nll,val,2.0,41720,0.13440773213663415,0.06041471780252889,-0.6340924573596121
nll,val,4.0,34748,0.5215335743539542,0.16672130855351355,-0.08781374190764508
zero,test,1.0,43908,0.04196492830723251,0.0207298239173122,0.020982464153616254
zero,test,2.0,40528,0.3167428669001245,0.12425691782671118,0.15837143345006224
zero,test,4.0,33889,1.1969181577661685,0.34199789548708676,0.5984590788830843
delta_only,test,1.0,43908,0.022134911059822963,0.01098600259272581,-0.10912929580486017
delta_only,test,2.0,40528,0.12573628927511718,0.057044286050813055,0.13535466720536987
delta_only,test,4.0,33889,0.463780308694726,0.1506793796029676,0.2721295777886928
nll,test,1.0,43908,0.021303495192879066,0.010571902371965383,-1.4890228525314984
nll,test,2.0,40528,0.12763074624072138,0.05814713994133507,-0.6519849761133661
nll,test,4.0,33889,0.4691261482195153,0.15289041169837644,-0.1315741775561915
