sample_order,source_index,episode_id,step,obstacle_id,obstacle_slot,motion_mode_id,threat_class_id,history_valid_length,replacement_boundary_nearby
0,40170,91,199,53,1,1,2,3,1
1,4207,4,150,31,1,2,1,20,0
2,41132,91,319,83,3,3,1,11,1
3,42753,95,21,0,0,4,2,20,0
4,26886,44,262,36,2,0,0,20,0
5,45235,95,331,74,2,4,0,1,1
6,41518,91,367,77,5,1,1,20,1
7,27133,44,297,41,4,2,1,20,1
8,9332,8,463,72,3,0,0,1,1
9,42599,95,1,6,6,3,2,2,0
10,20388,29,69,13,3,2,0,13,1
11,16127,24,11,7,7,1,1,12,0
12,20109,29,13,7,4,4,1,13,1
13,11625,9,421,46,1,4,2,20,0
14,44481,95,237,46,0,4,1,16,1
15,19594,24,445,105,2,3,1,13,1
16,7837,8,164,22,3,2,1,20,0
17,21657,29,323,48,2,4,0,20,0
18,31608,68,5,5,5,1,0,6,0
19,8164,8,230,27,0,3,1,20,1
20,9961,9,88,6,2,1,0,20,1
21,44273,95,211,34,0,3,2,20,1
22,42587,95,0,2,2,4,0,1,0
23,21640,29,320,43,0,0,1,20,0
24,22928,37,76,12,3,2,2,18,1
25,42650,95,8,1,1,1,2,9,0
26,17935,24,237,55,7,0,1,20,0
27,11088,9,313,45,4,4,1,5,1
28,12367,10,42,14,7,2,1,20,0
29,28664,56,17,5,5,3,2,18,0
30,35241,68,459,102,6,4,0,20,0
31,45502,95,364,72,5,3,0,20,0
32,43766,95,147,22,5,4,2,20,1
33,18717,24,335,75,5,2,1,20,1
34,42730,95,18,1,1,1,2,19,0
35,2397,0,399,72,3,0,2,20,1
36,37807,89,372,69,4,2,2,20,0
37,31595,68,4,21,0,2,2,1,1
38,16066,24,4,2,2,1,0,5,0
39,42625,95,5,0,0,4,2,6,0
40,12110,10,10,6,6,1,2,11,0
41,21730,29,338,43,0,0,1,20,1
42,34736,68,396,95,5,2,0,20,0
43,13488,10,183,52,0,2,2,20,1
44,28573,56,2,4,4,1,0,3,0
45,2560,0,426,82,4,4,2,9,1
46,1229,0,204,47,5,1,2,8,1
47,16064,24,4,0,0,2,2,5,0
48,49519,96,487,86,4,2,1,20,0
49,18659,24,328,68,3,4,1,20,1
50,35640,89,11,11,3,2,0,10,1
51,3059,4,6,5,5,3,1,7,0
52,43089,95,63,0,0,4,2,20,1
53,26749,44,242,25,5,0,0,20,1
54,39004,91,53,3,3,3,0,20,0
55,38142,89,428,70,3,4,1,20,1
56,24070,37,305,41,0,2,1,20,0
57,19255,24,402,94,7,1,0,20,0
58,27882,44,404,71,4,0,1,3,1
59,34997,68,429,100,2,3,1,20,0
60,36865,89,215,46,4,2,1,4,1
61,41973,91,424,89,4,4,1,20,1
62,12429,10,50,28,5,4,1,1,1
63,27499,44,349,57,6,0,0,20,0
64,1130,0,188,36,2,2,2,20,0
65,47756,96,193,40,5,4,1,11,1
66,12854,10,103,32,6,4,2,20,1
67,14141,10,264,88,5,2,2,20,0
68,48464,96,311,57,5,3,0,20,0
69,12611,10,73,26,3,0,0,20,0
70,24007,37,292,44,2,3,2,6,1
71,25059,44,1,2,2,0,0,2,0
72,4206,4,150,25,0,2,0,20,1
73,40338,91,220,53,1,1,2,20,0
74,35654,89,13,5,5,3,1,14,0
75,41620,91,380,92,3,3,2,14,1
76,20101,29,12,1,1,1,1,13,0
77,16055,24,2,7,7,1,1,3,0
78,10640,9,224,24,1,1,1,20,0
79,34044,68,310,83,1,3,2,7,1
80,47277,96,114,0,0,0,0,20,1
81,22597,37,10,2,2,1,2,11,0
82,20300,29,52,0,0,0,1,20,1
83,16379,24,43,3,3,3,2,20,0
84,19646,24,451,96,6,4,0,20,0
85,25700,44,92,20,6,3,1,3,1
86,35670,89,16,11,3,2,0,15,1
87,4155,4,143,29,5,1,1,20,1
88,46671,96,13,0,0,0,0,14,0
89,44515,95,241,43,2,0,1,20,0
90,16179,24,18,3,3,3,2,19,0
91,10632,9,222,31,3,2,1,13,1
92,23054,37,101,21,4,0,1,3,1
93,42679,95,11,6,6,3,2,12,0
94,22587,37,8,2,2,1,2,9,0
95,1185,0,197,26,3,1,1,20,1
96,18529,24,312,73,1,2,2,20,1
97,6939,4,491,113,5,0,1,20,0
98,13827,10,225,82,3,3,0,18,1
99,3866,4,107,21,4,2,0,19,1
100,9082,8,413,61,3,1,2,20,0
101,34343,68,347,89,4,4,0,18,1
102,43036,95,56,3,3,2,1,20,1
103,46703,96,18,2,2,1,2,19,0
104,28379,44,475,71,4,0,1,20,0
105,30031,56,245,35,4,0,1,20,0
106,47476,96,147,23,1,4,0,20,1
107,15897,10,484,152,1,3,1,19,1
108,16757,24,90,23,5,1,1,20,0
109,6536,4,441,99,2,3,1,20,0
110,25917,44,123,20,6,3,1,20,0
111,11752,9,446,68,3,2,2,1,1
112,38220,89,441,70,3,4,1,20,1
113,46135,95,443,94,6,0,2,20,0
114,29629,56,178,28,4,3,1,20,1
115,21026,29,197,34,1,4,2,18,1
116,35681,89,18,9,2,3,2,18,1
117,36530,89,159,41,5,4,0,9,1
118,1232,0,205,36,2,2,2,20,1
119,42682,95,12,1,1,1,2,13,0
120,17306,24,159,45,2,0,1,18,1
121,4776,4,221,51,2,2,1,20,0
122,40162,91,198,53,1,1,2,2,1
123,24139,37,318,45,4,2,2,20,0
124,15378,10,419,121,2,3,1,20,1
125,48121,96,254,36,4,1,1,20,1
126,46019,95,429,74,2,4,0,20,1
127,21417,29,275,48,2,4,0,3,1
128,8174,8,232,27,0,3,1,20,1
