repair_stage,block,dim,field,status
before_fix,ego_current,0,uav_vel_x/vmax,pass
before_fix,ego_current,1,uav_vel_y/vmax,pass
before_fix,ego_current,2,uav_vel_z/vmax,pass
before_fix,ego_current,3,goal_dir_x,pass
before_fix,ego_current,4,goal_dir_y,pass
before_fix,ego_current,5,goal_dir_z,pass
before_fix,ego_current,6,goal_dist/path_len,pass
before_fix,ego_current,7,last_action_x,pass
before_fix,ego_current,8,last_action_y,pass
before_fix,ego_current,9,last_action_z,pass
before_fix,obs_current,0,rel_pos_x/20,pass
before_fix,obs_current,1,rel_pos_y/20,pass
before_fix,obs_current,2,rel_pos_z/5,pass
before_fix,obs_current,3,rel_vel_x/3,pass
before_fix,obs_current,4,rel_vel_y/3,pass
before_fix,obs_current,5,rel_vel_z/3,pass
before_fix,obs_current,6,planned_cpa/5,pass
before_fix,obs_current,7,planned_ttc_remaining/20,pass
before_fix,obs_current,8,distance/30,pass
before_fix,obs_current,9,closing/3,pass
before_fix,obs_current,10,threat_class_id_scaled,pass
before_fix,obs_current,11,risk_value,pass
before_fix,history_rel_pos,0,x,pass
before_fix,history_rel_vel,0,x,pass
before_fix,history_rel_pos,1,y,pass
before_fix,history_rel_vel,1,y,pass
before_fix,history_rel_pos,2,z,pass
before_fix,history_rel_vel,2,z,pass
after_fix,ego_current,0,uav_vel_x/vmax,pass
after_fix,ego_current,1,uav_vel_y/vmax,pass
after_fix,ego_current,2,uav_vel_z/vmax,pass
after_fix,ego_current,3,goal_dir_x,pass
after_fix,ego_current,4,goal_dir_y,pass
after_fix,ego_current,5,goal_dir_z,pass
after_fix,ego_current,6,goal_dist/path_len,pass
after_fix,ego_current,7,last_action_x,pass
after_fix,ego_current,8,last_action_y,pass
after_fix,ego_current,9,last_action_z,pass
after_fix,obs_current,0,rel_pos_x/20,pass
after_fix,obs_current,1,rel_pos_y/20,pass
after_fix,obs_current,2,rel_pos_z/5,pass
after_fix,obs_current,3,rel_vel_x/3,pass
after_fix,obs_current,4,rel_vel_y/3,pass
after_fix,obs_current,5,rel_vel_z/3,pass
after_fix,obs_current,6,planned_cpa/5,pass
after_fix,obs_current,7,planned_ttc_remaining/20,pass
after_fix,obs_current,8,distance/30,pass
after_fix,obs_current,9,closing/3,pass
after_fix,obs_current,10,threat_class_id_scaled,pass
after_fix,obs_current,11,risk_value,pass
after_fix,history_rel_pos,0,x,pass
after_fix,history_rel_vel,0,x,pass
after_fix,history_rel_pos,1,y,pass
after_fix,history_rel_vel,1,y,pass
after_fix,history_rel_pos,2,z,pass
after_fix,history_rel_vel,2,z,pass
