repair_stage,scenario,episode_id,steps,terminated_or_truncated,policy
before_fix,eval_flow_id,0,84,1,random_or_straight_line
before_fix,eval_flow_id,1,40,1,random_or_straight_line
before_fix,eval_flow_id,2,63,1,random_or_straight_line
before_fix,eval_flow_id,3,26,1,random_or_straight_line
before_fix,eval_flow_id,4,25,1,random_or_straight_line
before_fix,eval_flow_id,5,24,1,random_or_straight_line
before_fix,eval_flow_id,6,25,1,random_or_straight_line
before_fix,eval_flow_id,7,25,1,random_or_straight_line
before_fix,eval_flow_id,8,21,1,random_or_straight_line
before_fix,eval_flow_id,9,75,1,random_or_straight_line
before_fix,eval_flow_high_speed,0,26,1,random_or_straight_line
before_fix,eval_flow_high_speed,1,20,1,random_or_straight_line
before_fix,eval_flow_high_speed,2,13,1,random_or_straight_line
before_fix,eval_flow_high_speed,3,18,1,random_or_straight_line
before_fix,eval_flow_high_speed,4,27,1,random_or_straight_line
before_fix,eval_flow_high_speed,5,16,1,random_or_straight_line
before_fix,eval_flow_high_speed,6,21,1,random_or_straight_line
before_fix,eval_flow_high_speed,7,13,1,random_or_straight_line
before_fix,eval_flow_high_speed,8,16,1,random_or_straight_line
before_fix,eval_flow_high_speed,9,18,1,random_or_straight_line
before_fix,eval_flow_mixed_ood,0,43,1,random_or_straight_line
before_fix,eval_flow_mixed_ood,1,15,1,random_or_straight_line
before_fix,eval_flow_mixed_ood,2,17,1,random_or_straight_line
before_fix,eval_flow_mixed_ood,3,15,1,random_or_straight_line
before_fix,eval_flow_mixed_ood,4,22,1,random_or_straight_line
before_fix,eval_flow_mixed_ood,5,24,1,random_or_straight_line
before_fix,eval_flow_mixed_ood,6,79,1,random_or_straight_line
before_fix,eval_flow_mixed_ood,7,22,1,random_or_straight_line
before_fix,eval_flow_mixed_ood,8,14,1,random_or_straight_line
before_fix,eval_flow_mixed_ood,9,13,1,random_or_straight_line
after_fix,eval_flow_id,0,84,1,random_or_straight_line
after_fix,eval_flow_id,1,40,1,random_or_straight_line
after_fix,eval_flow_id,2,63,1,random_or_straight_line
after_fix,eval_flow_id,3,26,1,random_or_straight_line
after_fix,eval_flow_id,4,25,1,random_or_straight_line
after_fix,eval_flow_id,5,24,1,random_or_straight_line
after_fix,eval_flow_id,6,25,1,random_or_straight_line
after_fix,eval_flow_id,7,25,1,random_or_straight_line
after_fix,eval_flow_id,8,21,1,random_or_straight_line
after_fix,eval_flow_id,9,75,1,random_or_straight_line
after_fix,eval_flow_high_speed,0,26,1,random_or_straight_line
after_fix,eval_flow_high_speed,1,20,1,random_or_straight_line
after_fix,eval_flow_high_speed,2,13,1,random_or_straight_line
after_fix,eval_flow_high_speed,3,18,1,random_or_straight_line
after_fix,eval_flow_high_speed,4,27,1,random_or_straight_line
after_fix,eval_flow_high_speed,5,16,1,random_or_straight_line
after_fix,eval_flow_high_speed,6,21,1,random_or_straight_line
after_fix,eval_flow_high_speed,7,13,1,random_or_straight_line
after_fix,eval_flow_high_speed,8,16,1,random_or_straight_line
after_fix,eval_flow_high_speed,9,18,1,random_or_straight_line
after_fix,eval_flow_mixed_ood,0,43,1,random_or_straight_line
after_fix,eval_flow_mixed_ood,1,15,1,random_or_straight_line
after_fix,eval_flow_mixed_ood,2,17,1,random_or_straight_line
after_fix,eval_flow_mixed_ood,3,15,1,random_or_straight_line
after_fix,eval_flow_mixed_ood,4,22,1,random_or_straight_line
after_fix,eval_flow_mixed_ood,5,24,1,random_or_straight_line
after_fix,eval_flow_mixed_ood,6,79,1,random_or_straight_line
after_fix,eval_flow_mixed_ood,7,22,1,random_or_straight_line
after_fix,eval_flow_mixed_ood,8,14,1,random_or_straight_line
after_fix,eval_flow_mixed_ood,9,13,1,random_or_straight_line
