sample_order,source_index,episode_id,step,obstacle_id,obstacle_slot,motion_mode_id,threat_class_id,history_valid_length,replacement_boundary_nearby
0,18583,24,318,78,7,3,2,18,1
1,21071,29,206,34,1,4,2,20,0
2,42890,95,38,1,1,1,2,20,1
3,23847,37,260,40,2,3,2,18,1
4,46683,96,15,0,0,0,0,16,0
5,46203,95,452,98,2,4,1,14,1
6,47092,96,83,23,1,4,0,5,1
7,10233,9,142,20,4,2,2,20,0
8,46503,95,489,94,6,0,2,20,1
9,38598,91,2,5,5,2,2,3,0
10,27386,44,333,49,5,3,2,20,0
11,35623,89,8,4,4,2,2,9,0
12,44900,95,289,53,3,2,1,20,0
13,25038,37,498,67,3,3,2,20,0
14,19189,24,394,92,5,2,1,20,1
15,26323,44,181,20,6,3,1,20,1
16,16047,24,1,7,7,1,1,2,0
17,22627,37,16,2,2,1,2,17,0
18,4216,4,151,33,2,3,0,19,1
19,40243,91,208,55,2,2,0,7,1
20,3041,4,4,12,3,1,0,4,1
21,22932,37,77,14,2,1,1,16,1
22,3695,4,86,10,1,4,1,20,1
23,42595,95,1,2,2,4,0,2,0
24,23727,37,236,32,2,2,1,20,1
25,13980,10,244,86,4,3,0,13,1
26,37792,89,370,74,1,0,1,1,1
27,17006,24,121,35,6,1,2,20,0
28,20748,29,141,25,3,4,2,20,0
29,22997,37,90,14,2,1,1,20,0
30,28431,44,483,76,0,3,1,20,1
31,3139,4,16,5,5,3,1,17,0
32,8623,8,321,44,4,4,1,20,1
33,36707,89,189,26,2,4,2,20,0
34,48482,96,314,57,5,3,0,20,0
35,25176,44,18,0,0,1,2,19,0
36,30980,56,403,46,5,4,0,20,1
37,16091,24,7,3,3,3,2,8,0
38,40147,91,196,46,2,2,1,20,1
39,40621,91,255,59,4,0,1,20,1
40,13152,10,141,35,0,2,0,20,1
41,31011,56,409,48,0,1,1,20,1
42,19913,24,485,106,1,1,0,20,0
43,14594,10,321,120,2,3,2,6,1
44,42675,95,11,2,2,4,0,12,0
45,7844,8,166,27,0,3,1,11,1
46,550,0,91,16,4,1,1,20,0
47,25320,44,38,4,4,3,2,20,1
48,12870,10,105,32,6,4,2,20,1
49,12086,10,7,6,6,1,2,8,0
50,38710,91,16,5,5,2,2,17,0
51,20393,29,70,13,3,2,0,14,1
52,24090,37,309,41,0,2,1,20,0
53,31674,68,13,7,7,4,1,14,0
54,9593,9,14,4,4,1,1,15,0
55,22570,37,5,9,0,1,1,3,1
56,16168,24,17,0,0,2,2,18,0
57,34231,68,333,89,4,4,0,4,1
58,11394,9,375,54,0,4,0,20,0
59,45788,95,400,66,3,0,0,20,0
60,37149,89,263,57,0,2,2,10,1
61,14712,10,336,94,0,0,1,20,1
62,11573,9,410,59,4,1,2,3,1
63,14538,10,314,85,2,1,1,20,1
64,2208,0,368,68,0,0,1,20,0
65,12027,10,0,3,3,3,2,1,0
66,23663,37,223,25,3,4,0,20,1
67,46593,96,0,0,0,0,0,1,0
68,14993,10,371,117,1,4,1,20,1
69,41736,91,394,98,7,0,0,3,1
70,22054,29,402,52,4,1,2,20,1
71,6719,4,464,103,1,1,0,20,0
72,21795,29,351,43,0,0,1,20,1
73,30368,56,301,46,5,4,0,18,1
74,7306,8,58,2,2,2,2,20,1
75,31688,68,15,5,5,1,0,16,0
76,18092,24,257,65,4,2,1,20,0
77,42601,95,2,0,0,4,2,3,0
78,25117,44,9,4,4,3,2,10,0
79,22560,37,3,9,0,1,1,1,1
80,20886,29,169,28,1,3,2,20,1
81,34225,68,332,71,6,4,2,20,1
82,28013,44,423,73,2,2,0,11,1
83,44713,95,266,46,0,4,1,20,0
84,22861,37,63,6,1,3,2,20,0
85,39983,91,175,51,6,0,1,4,1
86,208,0,34,11,4,2,1,20,0
87,49090,96,416,66,1,3,1,20,1
88,42983,95,49,13,6,3,0,9,1
89,3106,4,12,4,4,0,1,13,0
90,874,0,145,27,4,0,0,20,0
91,20554,29,102,22,4,4,1,1,1
92,7066,8,10,2,2,2,2,11,0
93,13496,10,184,52,0,2,2,20,1
94,38599,91,2,6,6,3,2,3,0
95,25964,44,130,11,4,1,1,20,1
96,29177,56,103,21,2,2,2,13,1
97,26579,44,218,37,3,4,1,3,1
98,22578,37,6,3,3,3,2,7,0
99,38131,89,426,89,4,0,0,20,0
100,20214,29,34,7,4,4,1,20,0
101,40432,91,231,42,7,4,1,20,0
102,25171,44,17,2,2,0,0,18,0
103,16073,24,5,8,1,1,1,5,1
104,40816,91,279,67,7,4,1,20,0
105,41767,91,398,76,6,0,0,20,1
106,12007,9,497,73,3,0,1,14,1
107,45296,95,338,68,7,0,1,19,1
108,31698,68,16,7,7,4,1,17,0
109,9951,9,86,6,2,1,0,20,1
110,32935,68,171,39,4,0,0,20,0
111,26960,44,272,43,6,3,1,20,0
112,3090,4,10,4,4,0,1,11,0
113,21785,29,349,43,0,0,1,20,1
114,3098,4,11,4,4,0,1,12,0
115,12363,10,42,26,3,0,0,15,1
116,14328,10,288,94,0,0,1,20,0
117,35724,89,25,11,3,2,0,20,0
118,24148,37,320,38,3,1,1,20,0
119,5981,4,371,61,7,1,0,20,1
120,12030,10,0,6,6,1,2,1,0
121,41445,91,358,89,4,4,1,20,0
122,26192,44,163,15,1,3,0,20,1
123,9605,9,17,1,1,2,2,18,0
124,851,0,141,24,5,1,0,20,0
125,32281,68,89,25,6,3,2,20,0
126,24596,37,410,63,1,2,2,9,1
127,15,0,2,3,3,4,0,3,0
