repair_stage,scenario,checkpoint_or_policy,motion_mode,threat_class,history_valid_ratio_bin,active_only,samples,delta_norm_1s_mean,delta_norm_1s_median,delta_norm_1s_p95,delta_norm_1s_max,logvar_xy_1s_mean,logvar_xy_1s_median,logvar_xy_1s_min,logvar_xy_1s_max,delta_norm_2s_mean,delta_norm_2s_median,delta_norm_2s_p95,delta_norm_2s_max,logvar_xy_2s_mean,logvar_xy_2s_median,logvar_xy_2s_min,logvar_xy_2s_max,delta_norm_4s_mean,delta_norm_4s_median,delta_norm_4s_p95,delta_norm_4s_max,logvar_xy_4s_mean,logvar_xy_4s_median,logvar_xy_4s_min,logvar_xy_4s_max,projected_std_radial_mean,projected_std_radial_std,projected_std_relvel_mean,projected_std_relvel_std,z_norm_mean,z_norm_median,z_norm_p95,z_norm_max,nan_count,inf_count
before_fix,eval_flow_id,frozen_gpsi_wrapper,accel_decel,high,0.25_0.5,1,5,12880.722265625,12888.9560546875,12902.6744140625,12903.8544921875,-5.0,-5.0,-5.0,-5.0,11592.43203125,11601.8525390625,11840.071484375,11866.3173828125,-5.0,-5.0,-5.0,-5.0,28204.379296875,28252.6171875,28297.57421875,28298.552734375,-5.0,-5.0,-5.0,-5.0,0.08208499550819397,3.6500241499888573e-09,0.0820849969983101,2.980232238769531e-09,1693628.35,1696462.25,1699527.575,1699755.5,0,0
before_fix,eval_flow_id,frozen_gpsi_wrapper,accel_decel,high,0.5_0.75,1,5,12910.562109375,12910.1142578125,12921.19140625,12922.447265625,-5.0,-5.0,-5.0,-5.0,12281.48828125,12273.0810546875,12546.059765625,12576.857421875,-5.0,-5.0,-5.0,-5.0,28139.184765625,28117.533203125,28194.74375,28204.041015625,-5.0,-5.0,-5.0,-5.0,0.08208499401807785,3.650024149988857e-09,0.08208499550819397,3.650024149988857e-09,1701563.025,1701583.0,1702467.825,1702565.25,0,0
before_fix,eval_flow_id,frozen_gpsi_wrapper,accel_decel,high,0.75_1.0,1,5,12851.2537109375,12857.60546875,12874.7154296875,12877.2373046875,-5.0,-5.0,-5.0,-5.0,13050.7150390625,13061.759765625,13314.366796875,13334.484375,-5.0,-5.0,-5.0,-5.0,28230.398046875,28229.0703125,28323.71171875,28327.873046875,-5.0,-5.0,-5.0,-5.0,0.08208499848842621,0.0,0.0820849969983101,2.9802322387695314e-09,1704969.625,1704834.25,1706751.15,1707058.0,0,0
before_fix,eval_flow_id,frozen_gpsi_wrapper,accel_decel,high,0_0.25,1,4,12711.358642578125,12696.8251953125,12893.26123046875,12915.21484375,-5.0,-5.0,-5.0,-5.0,12062.280029296875,11250.53662109375,14336.893798828123,14854.7314453125,-5.0,-5.0,-5.0,-5.0,29392.07763671875,26379.9072265625,38203.59374999999,40148.0390625,-5.0,-5.0,-5.0,-5.0,0.08208499662578106,3.226196034939731e-09,0.08208499476313591,3.725290298461914e-09,1546791.90625,1579346.9375,1655287.56875,1661366.75,0,0
before_fix,eval_flow_id,frozen_gpsi_wrapper,accel_decel,medium,0_0.25,1,1,12898.158203125,12898.158203125,12898.158203125,12898.158203125,-5.0,-5.0,-5.0,-5.0,11735.076171875,11735.076171875,11735.076171875,11735.076171875,-5.0,-5.0,-5.0,-5.0,28293.009765625,28293.009765625,28293.009765625,28293.009765625,-5.0,-5.0,-5.0,-5.0,0.08208499103784561,0.0,0.08208499848842621,0.0,1698611.25,1698611.25,1698611.25,1698611.25,0,0
before_fix,eval_flow_id,frozen_gpsi_wrapper,ar1_velocity,high,0.25_0.5,1,5,12868.88046875,12864.6328125,12890.73515625,12894.119140625,-5.0,-5.0,-5.0,-5.0,12899.2244140625,12892.1640625,13199.45390625,13233.8740234375,-5.0,-5.0,-5.0,-5.0,28186.926953125,28163.8125,28291.521875,28307.13671875,-5.0,-5.0,-5.0,-5.0,0.0820849969983101,2.980232238769531e-09,0.0820849969983101,2.980232238769531e-09,1704071.075,1704147.625,1705385.875,1705523.75,0,0
before_fix,eval_flow_id,frozen_gpsi_wrapper,ar1_velocity,high,0.5_0.75,1,1,12806.197265625,12806.197265625,12806.197265625,12806.197265625,-5.0,-5.0,-5.0,-5.0,13334.4599609375,13334.4599609375,13334.4599609375,13334.4599609375,-5.0,-5.0,-5.0,-5.0,28327.91015625,28327.91015625,28327.91015625,28327.91015625,-5.0,-5.0,-5.0,-5.0,0.08208499848842621,0.0,0.08208499103784561,0.0,1707057.5,1707057.5,1707057.5,1707057.5,0,0
before_fix,eval_flow_id,frozen_gpsi_wrapper,ar1_velocity,high,0_0.25,1,5,12900.305078125,12910.2275390625,12921.2873046875,12922.53515625,-5.0,-5.0,-5.0,-5.0,12026.2849609375,12135.3056640625,12393.0154296875,12422.9384765625,-5.0,-5.0,-5.0,-5.0,28107.651171875,28117.671875,28194.128125,28203.275390625,-5.0,-5.0,-5.0,-5.0,0.08208499848842621,0.0,0.08208499401807785,3.650024149988857e-09,1697396.5,1701079.25,1701977.175,1702076.25,0,0
before_fix,eval_flow_id,frozen_gpsi_wrapper,ar1_velocity,medium,0_0.25,1,1,12915.15234375,12915.15234375,12915.15234375,12915.15234375,-5.0,-5.0,-5.0,-5.0,14854.3583984375,14854.3583984375,14854.3583984375,14854.3583984375,-5.0,-5.0,-5.0,-5.0,40148.41015625,40148.41015625,40148.41015625,40148.41015625,-5.0,-5.0,-5.0,-5.0,0.08208499848842621,0.0,0.08208499848842621,0.0,1367107.125,1367107.125,1367107.125,1367107.125,0,0
before_fix,eval_flow_id,frozen_gpsi_wrapper,crossing_or_sudden_threat,high,0_0.25,1,1,0.1360357701778412,0.1360357701778412,0.1360357701778412,0.1360357701778412,-2.6169447898864746,-2.6169447898864746,-2.6169447898864746,-2.6169447898864746,1.038651943206787,1.038651943206787,1.038651943206787,1.038651943206787,-1.70956289768219,-1.70956289768219,-1.70956289768219,-1.70956289768219,2.7747485637664795,2.7747485637664795,2.7747485637664795,2.7747485637664795,-0.8178607225418091,-0.8178607225418091,-0.8178607225418091,-0.8178607225418091,0.32819312810897827,0.0,0.3486359119415283,0.0,12.083342552185059,12.083342552185059,12.083342552185059,12.083342552185059,0,0
