method,checkpoint,checkpoint_step,scenario,motion_mode,threat_class,gpsi_forward_ms,gpsi_forward_batch_size,mean_delta_norm_1s,max_delta_norm_1s,mean_logvar_xy_1s,max_logvar_xy_1s,nearest_obstacle_delta_norm_1s,nearest_obstacle_logvar_xy_1s,mean_delta_norm_2s,max_delta_norm_2s,mean_logvar_xy_2s,max_logvar_xy_2s,nearest_obstacle_delta_norm_2s,nearest_obstacle_logvar_xy_2s,mean_delta_norm_4s,max_delta_norm_4s,mean_logvar_xy_4s,max_logvar_xy_4s,nearest_obstacle_delta_norm_4s,nearest_obstacle_logvar_xy_4s,projected_std_radial_nearest,projected_std_relvel_nearest,history_valid_ratio_nearest
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,accel_decel,high,1.6854741311231516,9.036666666666667,21349.86646267361,21461.936452907987,-5.0,-5.0,21350.195598958333,-5.0,59948.93932725694,60459.64371527778,-5.0,-5.0,60275.76337022569,-5.0,155219.97286458334,156651.14358506945,-4.428999999894036,-3.8533333333333335,155431.79274305556,-4.448888888888889,0.0820849963525931,0.08208499636914995,0.759111111457977
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,accel_decel,medium,1.700961500015789,8.833333333333334,32444.6328125,32514.944661458332,-5.0,-5.0,32107.961588541668,-5.0,145743.35286458334,145868.18619791666,-5.0,-5.0,145553.77213541666,-5.0,371020.9140625,371713.3984375,-5.0,-5.0,371711.9557291667,-5.0,0.08208499724666278,0.08208499227960904,0.8249999980131785
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,ar1_velocity,high,1.6618950009150184,8.885067873303168,25845.8568412401,26031.300885534503,-5.0,-5.0,25694.15401672087,-5.0,91588.3098858173,92340.25828443156,-5.0,-5.0,91835.99445524604,-5.0,234602.4869485294,236376.36834169965,-4.0277928601562705,-3.001809954751131,233080.96011913178,-4.015384615384615,0.08208499637124765,0.08208499630382159,0.8280995476030116
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,ar1_velocity,medium,1.6258496001682943,8.6,21489.5486328125,21489.73046875,-5.0,-5.0,21489.51640625,-5.0,65942.1859375,65942.659765625,-5.0,-5.0,65942.01953125,-5.0,158888.9765625,158889.9953125,-4.2,-3.4,158888.49375,-4.2,0.0820849969983101,0.08208499848842621,0.4500000074505806
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,crossing_or_sudden_threat,high,1.6624175593540835,8.853107344632768,20964.369033957155,21060.80312794256,-5.0,-5.0,20891.90263432792,-5.0,50806.888793255646,51330.06537635358,-5.0,-5.0,51023.72023231521,-5.0,129935.51296566031,131420.0478092632,-4.661016949152542,-4.322033898305085,129137.04555084746,-4.661016949152542,0.08208499632761752,0.08208499665033571,0.7445386063777569
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,crossing_or_sudden_threat,medium,1.6167794997272722,8.0,34845.649739583336,34845.775390625,-5.0,-5.0,34845.577473958336,-5.0,164408.45833333334,164409.03385416666,-5.0,-5.0,164408.546875,-5.0,426535.953125,426538.2604166667,-4.333333333333333,-3.6666666666666665,426535.921875,-4.333333333333333,0.08208499724666278,0.08208499600489934,0.6750000019868215
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,linear,high,1.6526051314658745,8.629107981220658,21254.92434849985,21416.151935702757,-5.0,-5.0,21300.85888442635,-5.0,64329.85994580766,65019.895670572914,-5.0,-5.0,64828.69340293061,-5.0,157985.40373065215,159839.68035458846,-4.3064684397737745,-3.5821596244131455,158570.73756372873,-4.291079812206573,0.08208499639841592,0.08208499622351967,0.7151995305793946
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,linear,medium,1.6755527141348077,9.142857142857142,21029.757254464286,21150.285714285714,-5.0,-5.0,20217.241768973214,-5.0,47657.14174107143,47943.23772321428,-5.0,-5.0,47576.904017857145,-5.0,97958.77120535714,99555.7890625,-5.0,-5.0,95082.06138392857,-5.0,0.0820849963596889,0.08208499742405755,0.7428571438150746
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,sinusoidal_lateral,high,1.6713186151402002,8.957894736842105,23956.48556486431,24136.557318436473,-5.0,-5.0,23992.12267552426,-5.0,73690.18839818051,74343.36898900082,-5.0,-5.0,74087.96668893915,-5.0,186406.52651110198,188181.24437705593,-4.227843566944725,-3.431578947368421,186831.25452945108,-4.2368421052631575,0.08208499623364524,0.08208499635618768,0.7384210529222496
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,sinusoidal_lateral,medium,1.6333992630838143,8.333333333333334,19640.624897203947,19646.458333333332,-5.0,-5.0,19636.10111705044,-5.0,56928.22125137061,56970.47042900219,-5.0,-5.0,56639.062637061405,-5.0,175485.54139254385,175558.1599506579,-4.017543859649122,-3.0350877192982457,175078.3244243421,-4.017543859649122,0.08208499678917099,0.08208499639703516,0.776315789931176
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,accel_decel,high,1.5450320532195736,6.215876089060988,23235.61529676912,23591.15181718145,-5.0,-5.0,23461.382459878692,-5.0,75106.29621135346,76491.03887531764,-4.998063892039532,-4.9767666989351405,76342.0704410697,-4.98838334946757,192438.18789327203,195813.69785553304,-4.254501451019627,-3.466602129719264,194872.17638250242,-4.275895450145208,0.08208499636793183,0.08208499632465643,0.6089060994772113
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,accel_decel,medium,1.5345101537604933,5.3076923076923075,22341.54552283654,22579.064453125,-5.0,-5.0,21993.43494591346,-5.0,45824.669621394234,46360.11703725962,-5.0,-5.0,45123.460637019234,-5.0,100425.31430288461,103906.10637019231,-5.0,-5.0,94157.42487980769,-5.0,0.08208499676906146,0.08208499734218304,0.7692307666517221
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,ar1_velocity,high,1.5591438907259436,6.501130369253956,22594.649356660935,22790.194629568578,-5.0,-5.0,22694.891226244585,-5.0,66104.63416070082,66870.85804740486,-5.0,-5.0,66712.77771612424,-5.0,166940.48301208083,168950.43021883242,-4.320988983073088,-3.6254709871891486,167947.83528694895,-4.342878673700075,0.0820849962650427,0.08208499632118875,0.5922758108469536
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,ar1_velocity,medium,1.52428637511548,5.5,17588.939819335938,17589.10205078125,-5.0,-5.0,17588.919555664062,-5.0,39973.716552734375,39974.142333984375,-5.0,-5.0,39973.810546875,-5.0,91427.0615234375,91428.5791015625,-5.0,-5.0,91427.2216796875,-5.0,0.08208499569445848,0.08208499476313591,0.4000000050291419
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,crossing_or_sudden_threat,high,1.549523783410633,6.389891696750903,24166.11538949684,24550.832570650946,-5.0,-5.0,24443.905396829872,-5.0,84645.02763989169,85987.73539739395,-5.0,-5.0,85859.26807874549,-5.0,223194.18756345892,226587.50796057086,-3.7531373561074157,-2.4296028880866425,225749.16944945848,-3.729241877256318,0.0820849965249158,0.08208499628283918,0.5779783397724697
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,crossing_or_sudden_threat,medium,1.5087668181987475,5.2727272727272725,18463.489109848484,18485.1513671875,-5.0,-5.0,18433.379261363636,-5.0,30306.347774621212,30439.355823863636,-5.0,-5.0,29796.445608428032,-5.0,102813.19294507576,103677.77533143939,-5.0,-5.0,99694.89488636363,-5.0,0.08208499577912418,0.08208499826265103,0.6878787881948731
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,linear,high,1.5365784753027576,6.185068349106204,23219.51725055041,23448.706042364945,-5.0,-5.0,23232.685994594507,-5.0,69575.74001873028,70560.20183523922,-5.0,-5.0,70207.16369693086,-5.0,175286.23580647015,177908.4451872207,-4.475739822778792,-3.931650893796004,175632.58921324593,-4.465825446898002,0.08208499642012623,0.08208499639662283,0.6260778131286616
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,linear,medium,1.4767643570913995,5.0,16859.491629464286,17283.085414341516,-5.0,-5.0,17282.961774553572,-5.0,41969.45452008928,43880.65904017857,-5.0,-5.0,43880.222446986605,-5.0,95757.54380580357,100529.67661830357,-5.0,-5.0,100528.59291294643,-5.0,0.08208499582750457,0.08208499662578106,0.49107142963579725
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,sinusoidal_lateral,high,1.5373599548230181,6.19391947411668,23318.723791694483,23468.102441967952,-5.0,-5.0,23296.555892756267,-5.0,75538.8868262762,76153.02010579294,-5.0,-5.0,75813.51475195152,-5.0,194321.50597011094,196113.23269630753,-3.9776225692440272,-2.922760887428102,194104.3034645902,-3.987674609695974,0.0820849962232538,0.08208499646201521,0.599055054114677
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,sinusoidal_lateral,medium,1.5216672500173445,5.125,17563.770385742188,17565.16162109375,-5.0,-5.0,17558.686157226562,-5.0,35679.2119140625,35703.56201171875,-5.0,-5.0,35582.990478515625,-5.0,96759.6396484375,96774.421875,-5.0,-5.0,96703.8515625,-5.0,0.08208499476313591,0.08208499476313591,0.8875000001862645
