method,checkpoint,checkpoint_step,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc
attention_full,attention_full_1500k,1500000,eval_flow_high_density,accel_decel,high,419,0.36515513126491644,0.4128878281622912,2.236868947871065,2.0383551444577055
attention_full,attention_full_1500k,1500000,eval_flow_high_density,accel_decel,low,313,0.2747603833865815,0.3354632587859425,2.431736317323372,1.8359006491994445
attention_full,attention_full_1500k,1500000,eval_flow_high_density,accel_decel,medium,663,0.2398190045248869,0.27601809954751133,2.809366834610504,1.9324798367017657
attention_full,attention_full_1500k,1500000,eval_flow_high_density,ar1_velocity,high,392,0.42346938775510207,0.4642857142857143,2.504524233900082,1.8627517803509714
attention_full,attention_full_1500k,1500000,eval_flow_high_density,ar1_velocity,low,368,0.25815217391304346,0.2907608695652174,2.9911043377967714,1.8148394173714135
attention_full,attention_full_1500k,1500000,eval_flow_high_density,ar1_velocity,medium,562,0.34519572953736655,0.36476868327402134,2.697306743005599,1.4736124631982974
attention_full,attention_full_1500k,1500000,eval_flow_high_density,crossing_or_sudden_threat,high,240,0.4041666666666667,0.45,2.1303101971085803,2.0703736679566633
attention_full,attention_full_1500k,1500000,eval_flow_high_density,crossing_or_sudden_threat,low,187,0.09090909090909091,0.0962566844919786,4.118823240137594,1.599499893442186
attention_full,attention_full_1500k,1500000,eval_flow_high_density,crossing_or_sudden_threat,medium,282,0.1595744680851064,0.1702127659574468,3.578018517101329,2.0217587568930138
attention_full,attention_full_1500k,1500000,eval_flow_high_density,linear,high,264,0.5757575757575758,0.5984848484848485,1.8452813081140365,1.7633481893164977
attention_full,attention_full_1500k,1500000,eval_flow_high_density,linear,low,207,0.1111111111111111,0.13043478260869565,4.005953939154672,1.2292372888623522
attention_full,attention_full_1500k,1500000,eval_flow_high_density,linear,medium,296,0.34797297297297297,0.36824324324324326,2.8902262168986774,1.3642127301997895
attention_full,attention_full_1500k,1500000,eval_flow_high_density,sinusoidal_lateral,high,461,0.4164859002169197,0.4598698481561822,2.2579014114671896,2.079520117160325
attention_full,attention_full_1500k,1500000,eval_flow_high_density,sinusoidal_lateral,low,382,0.22774869109947643,0.27486910994764396,3.050977922227546,1.137107834880678
attention_full,attention_full_1500k,1500000,eval_flow_high_density,sinusoidal_lateral,medium,539,0.34137291280148424,0.3692022263450835,2.8628384358420664,1.5408174073447525
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,accel_decel,high,647,0.23647604327666152,0.2782071097372488,3.0435267492532847,1.7722350548583221
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,accel_decel,low,159,0.1761006289308176,0.1949685534591195,3.161169010202793,1.2680592862288211
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,accel_decel,medium,555,0.2036036036036036,0.27207207207207207,2.882035748972264,1.3619233070071937
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,ar1_velocity,high,753,0.38247011952191234,0.4169986719787517,2.383842391163237,1.6099189153428972
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,ar1_velocity,low,224,0.25892857142857145,0.3080357142857143,2.6502789471248565,1.191930316013689
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,ar1_velocity,medium,564,0.24645390070921985,0.2925531914893617,2.886010011243085,1.1845980912439393
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,crossing_or_sudden_threat,high,184,0.2554347826086957,0.2717391304347826,3.125635941109225,1.8316204119009063
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,crossing_or_sudden_threat,low,58,0.2413793103448276,0.43103448275862066,2.2858507994819304,2.172003640122338
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,crossing_or_sudden_threat,medium,212,0.27358490566037735,0.2971698113207547,2.8302986763136566,1.6876446389975672
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,linear,high,329,0.3252279635258359,0.3434650455927052,2.6490122628073407,1.9434239140738738
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,linear,low,126,0.0873015873015873,0.2222222222222222,2.986234678546824,1.200015496729154
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,linear,medium,387,0.29457364341085274,0.3359173126614987,2.735610257271071,1.1010881499749565
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,sinusoidal_lateral,high,646,0.3235294117647059,0.34829721362229105,2.8682307712192214,1.836377739379858
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,sinusoidal_lateral,low,174,0.28160919540229884,0.3333333333333333,2.5051496971797347,1.3562456383174069
attention_full,attention_full_1500k,1500000,eval_flow_high_speed,sinusoidal_lateral,medium,550,0.24,0.28545454545454546,2.979547382064841,1.4544760964782464
attention_full,attention_full_1500k,1500000,eval_flow_high_threat,accel_decel,high,668,0.22904191616766467,0.2440119760479042,3.411721803170551,1.6794104910653878
