method_key,method,scenario,success_rate_config,collision_rate_config,near_miss_rate_config,progress_config,mean_min_distance_config,episode_min_distance_config,raw_unsafe_action_rate_config,success_rate_attention,collision_rate_attention,near_miss_rate_attention,progress_attention,mean_min_distance_attention,episode_min_distance_attention,raw_unsafe_action_rate_attention,delta_success_rate,delta_collision_rate,delta_near_miss_rate,delta_progress,delta_mean_min_distance,delta_episode_min_distance,delta_raw_unsafe_action_rate
n3f_no_z_full,gpsi_no_z_full_1500k,eval_flow_high_density,0.5,0.5,0.46,0.946933025134056,5.257380733000159,0.7406796157360077,0.2798283392729632,0.64,0.36,0.6,0.9425466934695774,4.63747312000088,0.8225055664777756,0.3168041337445936,-0.14,0.14,-0.13999999999999996,0.004386331664478549,0.6199076129992784,-0.0818259507417679,-0.03697579447163041
n3f_no_z_full,gpsi_no_z_full_1500k,eval_flow_high_speed,0.4,0.6,0.26,0.8976147645548029,4.850122668853167,0.7512505629658699,0.2343883290014586,0.54,0.46,0.54,0.9577705745192514,4.461542845302506,0.7254279874265194,0.2632905173584327,-0.14,0.13999999999999996,-0.28,-0.06015580996444847,0.38857982355066145,0.025822575539350523,-0.028902188356974085
n3f_no_z_full,gpsi_no_z_full_1500k,eval_flow_high_threat,0.5,0.5,0.46,0.961753393529072,5.499577028799727,0.7847660249471664,0.2409590946245907,0.62,0.38,0.58,0.9686721002429388,4.93115068935969,0.8570080131292344,0.2948588110572009,-0.12,0.12,-0.11999999999999994,-0.006918706713866851,0.5684263394400375,-0.07224198818206795,-0.05389971643261021
n3f_no_z_full,gpsi_no_z_full_1500k,eval_flow_id,0.76,0.24,0.7,0.965833596092994,5.817257559492251,0.933181067854166,0.2200974537786745,0.58,0.42,0.5,0.963367627177379,5.371075463200917,0.8378775542974473,0.2738830944268627,0.18000000000000005,-0.18,0.19999999999999996,0.0024659689156150133,0.4461820962913343,0.09530351355671873,-0.05378564064818819
n3f_no_z_full,gpsi_no_z_full_1500k,eval_flow_mixed_ood,0.56,0.44,0.54,0.9419029953128216,5.399783881807776,0.7710798589885235,0.253329348667843,0.54,0.46,0.52,0.9402707363054223,4.815333772397241,0.7716954493522644,0.3099776383628048,0.020000000000000018,-0.020000000000000018,0.020000000000000018,0.0016322590073992727,0.5844501094105352,-0.0006155903637409255,-0.05664828969496177
n3f_no_z_full,gpsi_no_z_full_1500k,eval_flow_sudden_threat,0.66,0.34,0.62,0.968635311596817,5.716788498011036,0.7601213788986206,0.2099273080335239,0.74,0.26,0.72,0.9706954668812412,4.963086243123622,0.8633635807037353,0.2897752169439903,-0.07999999999999996,0.08000000000000002,-0.09999999999999998,-0.002060155284424159,0.7537022548874139,-0.10324220180511468,-0.07984790891046636
z_l2_scale_4,gpsi_z_l2_scale_4_screen,eval_flow_high_density,0.24,0.76,0.22,0.8901713920766611,4.730833559785615,0.6256308975815773,0.324545444822251,0.64,0.36,0.6,0.9425466934695774,4.63747312000088,0.8225055664777756,0.3168041337445936,-0.4,0.4,-0.38,-0.05237530139291635,0.09336043978473452,-0.1968746688961983,0.007741311077657409
z_l2_scale_4,gpsi_z_l2_scale_4_screen,eval_flow_high_speed,0.08,0.92,0.08,0.9002543348483724,4.529574921577873,0.4959167724847793,0.262766426165258,0.54,0.46,0.54,0.9577705745192514,4.461542845302506,0.7254279874265194,0.2632905173584327,-0.46,0.46,-0.46,-0.057516239670879044,0.068032076275367,-0.2295112149417401,-0.0005240911931746473
z_l2_scale_4,gpsi_z_l2_scale_4_screen,eval_flow_high_threat,0.34,0.66,0.28,0.93773615976538,5.171446082957483,0.6428807431459427,0.2602991420840322,0.62,0.38,0.58,0.9686721002429388,4.93115068935969,0.8570080131292344,0.2948588110572009,-0.27999999999999997,0.28,-0.29999999999999993,-0.030935940477558765,0.24029539359779317,-0.21412726998329168,-0.0345596689731687
z_l2_scale_4,gpsi_z_l2_scale_4_screen,eval_flow_id,0.34,0.66,0.26,0.9071626672114196,5.539813371476538,0.7047177192568779,0.2576938314525061,0.58,0.42,0.5,0.963367627177379,5.371075463200917,0.8378775542974473,0.2738830944268627,-0.23999999999999994,0.24000000000000005,-0.24,-0.05620495996595942,0.16873790827562107,-0.13315983504056939,-0.016189262974356633
