method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc,action_norm,action_delta,no_response_rate
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,accel_decel,high,420,0.36666666666666664,0.4166666666666667,2.2079516606494076,2.077061796514585,1.5098305385737192,0.1277105453690248,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,accel_decel,low,312,0.2724358974358974,0.33974358974358976,2.3206503175807973,1.8236372138055743,1.5107293300903761,0.10627980742430783,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,accel_decel,medium,675,0.24296296296296296,0.28,2.7829848193077162,1.9940491215471967,1.4472612821614301,0.11894464508388881,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,ar1_velocity,high,387,0.43410852713178294,0.4806201550387597,2.457724928067761,1.8817786368986062,1.3885275047532348,0.20014817073570626,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,ar1_velocity,low,367,0.24250681198910082,0.28065395095367845,2.962001777170302,1.8420472821611087,1.4793278007318929,0.14003935164190848,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,ar1_velocity,medium,560,0.34464285714285714,0.3678571428571429,2.671585419850141,1.51149633998745,1.5078714879229664,0.13367019071010872,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,crossing_or_sudden_threat,high,233,0.41201716738197425,0.44206008583690987,2.1262822587826475,2.188805242377471,1.4042293806060702,0.18771065576521623,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,crossing_or_sudden_threat,low,190,0.1,0.10526315789473684,4.114954114254368,1.6264298056945528,1.259720059601884,0.16331052693881487,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,crossing_or_sudden_threat,medium,272,0.15073529411764705,0.16176470588235295,3.6401582814150437,2.0572506663040375,1.3045498392380335,0.17888061556389884,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,linear,high,261,0.5632183908045977,0.5977011494252874,1.8952715837087133,1.8139274322350853,1.5108349832538444,0.17164390718642894,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,linear,low,206,0.10194174757281553,0.1262135922330097,4.019870592190803,1.2620193280401975,1.3773977088118063,0.16181973498811927,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,linear,medium,298,0.348993288590604,0.3724832214765101,2.7635080775241336,1.4651534302650953,1.419550774231453,0.1418102580078115,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,sinusoidal_lateral,high,453,0.41721854304635764,0.4613686534216336,2.258434348718097,2.156061927506981,1.4761178620801068,0.16545528312656765,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,sinusoidal_lateral,low,385,0.22077922077922077,0.2857142857142857,2.96335464241346,1.2221772129776014,1.5080542244307407,0.14570595422977364,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,sinusoidal_lateral,medium,556,0.34532374100719426,0.37949640287769787,2.804930942401913,1.6140852212945944,1.459501896401961,0.16682402511452252,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,accel_decel,high,658,0.22644376899696048,0.2750759878419453,3.023787813354567,1.8284942139687699,1.465213068169301,0.1331619601045653,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,accel_decel,low,161,0.19254658385093168,0.2111801242236025,3.1314562337808542,1.2756668229491916,1.359210488033591,0.18660621856402906,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,accel_decel,medium,566,0.19257950530035337,0.27385159010600707,2.8568364578782988,1.430185130585766,1.4661594162244258,0.17637932701069242,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,ar1_velocity,high,733,0.38335607094133695,0.42155525238744884,2.359154448027282,1.6838823105668737,1.4932557714017969,0.13373643091700635,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,ar1_velocity,low,235,0.2978723404255319,0.34893617021276596,2.5752456466885323,1.2850972696637826,1.3691659976827337,0.2556991190332523,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,ar1_velocity,medium,559,0.24865831842576028,0.3148479427549195,2.814241973650646,1.2233151773927464,1.4496019999754877,0.15858584329984043,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,crossing_or_sudden_threat,high,173,0.2658959537572254,0.2774566473988439,3.126175735956677,1.845707497957998,1.4033295074639294,0.16019798333439006,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,crossing_or_sudden_threat,low,57,0.2631578947368421,0.45614035087719296,2.268117880742801,2.043471279569164,1.3157741296709629,0.23712355065110483,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,crossing_or_sudden_threat,medium,198,0.29797979797979796,0.30808080808080807,2.8220955390821802,1.6545816858592677,1.3239078157477908,0.20163501482786178,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,linear,high,333,0.3153153153153153,0.33933933933933935,2.6333051872188498,1.976496330115185,1.511750092019548,0.13538264734362876,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,linear,low,135,0.1111111111111111,0.24444444444444444,2.933099360267321,1.234081873785366,1.4699416818442168,0.19748373313772458,0.0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,linear,medium,386,0.2823834196891192,0.33678756476683935,2.6958921841765546,1.138529408619791,1.4119506620758555,0.18902510931652639,0.0
