method_key,method,checkpoint,checkpoint_step,checkpoint_label,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,high,286,0.6083916083916084,0.3916083916083916,0.5734265734265734,0.9598654886752778,4.861095031293595,0.8104866918931891,110.72027972027972,33.95132399741117,0.2888780714936989,0.32267994170913916,1.4617966008265646,0.13868899784080255,0.0,3.0076672469752883,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,medium,14,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.9031878691900749,4.907851979948203,0.8639081205640521,104.35714285714286,32.54872002200656,0.3435958676783129,0.3728922628374861,1.4629956634881804,0.1411725606512814,0.0,2.8449750354147,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1000k,1000000,1000k,high,292,0.2808219178082192,0.7191780821917808,0.23972602739726026,0.9289547105591478,5.065458770471786,0.6598405189148776,96.88698630136986,26.29364835501165,0.24741663024044291,0.27940439198827227,1.5621317335448353,0.06063936462620077,0.0,3.183177879455831,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1000k,1000000,1000k,medium,8,0.375,0.625,0.375,0.9439321125579571,4.943714366152609,0.6517807133495808,103.375,28.878351963027935,0.26094152782615154,0.3115721945318757,1.5549192670151595,0.06816819315514236,0.0,2.9296281234063932,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1500k,1500000,1500k,high,294,0.46598639455782315,0.5340136054421769,0.41156462585034015,0.9426490178090777,5.297080082306977,0.7322415481163126,108.30272108843538,30.585641628262938,0.26036391591549857,0.2946260086975185,1.5611769860528522,0.0926090246740709,0.0,3.32508698794787,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_1500k,1500000,1500k,medium,6,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.9474436912083015,5.321974114243166,0.9283268402020136,109.33333333333333,34.72723733050436,0.225647051819325,0.282353227906235,1.5517441103202074,0.09293877799993162,0.0,3.2311572438207494,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,high,294,0.336734693877551,0.6632653061224489,0.2755102040816326,0.9200725816736373,5.0104671499575835,0.6918934205813068,94.78571428571429,27.09993195381013,0.26948495194315103,0.308129590591558,1.4621627856076649,0.07787508356077044,0.0,3.0148575699722393,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,medium,6,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.9796572854351887,5.504154329765844,0.9510805606842041,104.16666666666667,39.350915559313755,0.32002369936814185,0.349021579584983,1.4950695070609816,0.08386329233846838,0.0,3.2892374791787,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_500k,500000,500k,high,293,0.41638225255972694,0.5836177474402731,0.35494880546075086,0.937864688989485,5.758891792359151,0.7274901719935518,105.44368600682594,29.396070336250517,0.23997839748106042,0.26944201324278005,1.487696069107974,0.07232754210917623,0.0,3.7041297296235305,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_500k,500000,500k,medium,7,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.9686698709151065,5.920930434727347,0.9603708641869682,111.57142857142857,36.489310807128895,0.22849285457347474,0.25324949746191483,1.5159679440673894,0.07673167958173886,0.0,3.9371379622640013,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_best_by_eval,1500000,best_by_eval,high,287,0.5470383275261324,0.4529616724738676,0.49477351916376305,0.9460715660740473,5.420383226196538,0.7779512041952552,113.14285714285714,32.322330886705,0.24032547666433554,0.2737300551868594,1.5598865293569242,0.09640387984514537,0.0,3.5625910661280327,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_best_by_eval,1500000,best_by_eval,medium,13,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.9700857575212745,5.491964044599953,1.0601484511907284,118.46153846153847,40.686104805468354,0.22716014356064657,0.2625857712003997,1.5547731454879292,0.10341275717509026,0.0,3.6485453507035084,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,high,287,0.5470383275261324,0.4529616724738676,0.49477351916376305,0.9460715660740473,5.420383226196538,0.7779512041952552,113.14285714285714,32.322330886705,0.24032547666433554,0.2737300551868594,1.5598865293569242,0.09640387984514537,0.0,3.5625910661280327,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,medium,13,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.9700857575212745,5.491964044599953,1.0601484511907284,118.46153846153847,40.686104805468354,0.22716014356064657,0.2625857712003997,1.5547731454879292,0.10341275717509026,0.0,3.6485453507035084,0
z_l2_scale_4,gpsi_z_l2_scale_4_screen,z_l2_scale_4_250k,250000,250k,high,290,0.3,0.7,0.2655172413793103,0.9216444817974632,5.467937939598866,0.6604853535777536,97.02068965517242,26.51076744708193,0.2671599952477618,0.2988684889340141,1.363849667558109,0.06496246170728869,0.0,3.3704238140481904,0
z_l2_scale_4,gpsi_z_l2_scale_4_screen,z_l2_scale_4_250k,250000,250k,medium,10,0.2,0.8,0.2,0.8687550646904046,5.613598051976947,0.5538360461592674,91.4,22.89001055346606,0.34164905480297775,0.3672675756309586,1.3664740855003672,0.07430813995709358,0.0,3.183663451771174,0
z_l2_scale_4,gpsi_z_l2_scale_4_screen,z_l2_scale_4_500k,500000,500k,high,292,0.2808219178082192,0.7191780821917808,0.2602739726027397,0.9252405736354146,5.062411721372536,0.6460343542674633,95.47602739726027,26.272423917974656,0.265913736191077,0.29943727097943057,1.4727623248413468,0.07848234164741881,0.0,3.0751691791268048,0
