method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,seed,scenario,episode_id,episode_seed,success,collision,near_miss,mean_min_distance,episode_min_distance,episode_length,progress,planned_cpa,planned_ttc,threat_class,threat_motion_mode,threat_valid_rate,replacement_count,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,raw_min_predicted_cpa,action_norm,action_delta,no_response_rate,nan_or_crash
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,0,1000,1,0,1,5.312784815075422,1.1567729711532593,99,1.0,0.44371639385412764,5.816648426044484,high,ar1_velocity,1.0,26,42.77921401395824,0.16161616161616163,0.1919191919191919,3.249017044901848,1.2209835245151712,0.06949898383504889,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,1,1001,1,0,1,4.686442674398422,0.8041832447052002,100,1.0,0.38441565024007535,4.689001362152575,high,accel_decel,1.0,41,42.76009091391374,0.29,0.29,3.024150041714311,1.19126371383667,0.060367710925638675,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,2,1002,0,1,0,4.225522589834431,0.5116956830024719,79,0.7519185051651696,0.6029525895658217,6.315791911877742,high,sinusoidal_lateral,1.0,33,14.999901942977008,0.3670886075949367,0.3670886075949367,2.4390889865293204,1.0542239546775818,0.08499046726612068,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,3,1003,0,1,0,4.2980220304740655,0.5448030233383179,91,0.9301855423871208,0.5373987257554876,5.807996968525384,high,linear,1.0,31,21.09308064015583,0.5824175824175825,0.6263736263736264,1.8406872236384795,1.1099887562322093,0.06437509363660446,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,4,1004,1,0,0,3.956961722423633,1.5093528032302856,96,0.9795821853970276,0.4468835392478687,8.000902897714838,high,linear,1.0,47,42.76534537751816,0.16666666666666666,0.25,1.9670388648907344,1.1317251846194267,0.06772924405474139,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,5,1005,0,1,0,4.795293544347469,0.580950915813446,78,0.7728493691770121,0.4326307399705793,4.291162170659311,high,crossing_or_sudden_threat,1.0,24,15.577964529025193,0.32051282051282054,0.32051282051282054,2.929326000695045,1.1089827991448915,0.07034228164822054,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,6,1006,0,1,0,4.147378844650168,0.5025576949119568,76,0.7322399687845191,1.7255929529926233,3.632635428644844,medium,sinusoidal_lateral,1.0,27,14.216149717220457,0.34210526315789475,0.34210526315789475,2.4238422005559856,1.1082121557311009,0.06631360324957457,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,7,1007,0,1,0,4.238556912424517,0.47420910000801086,102,0.9850769829189503,0.5180909752425733,4.896799604801513,high,accel_decel,1.0,32,22.927803260390924,0.3333333333333333,0.3431372549019608,2.686879339646183,1.0679165358636893,0.09081739048455276,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,8,1008,0,1,0,4.630500889930529,0.5934860110282898,97,0.9434385442343373,0.5227048167369763,6.651372309863012,high,crossing_or_sudden_threat,1.0,22,21.524344730820445,0.18556701030927836,0.21649484536082475,2.820875445745655,1.1234303098363974,0.08111761060552959,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,9,1009,0,1,0,5.494145324696666,0.4912879765033722,69,0.6751941449211644,0.43956997825885463,7.49242013096209,high,accel_decel,1.0,37,11.944653856100867,0.2753623188405797,0.2898550724637681,3.631098411437394,1.1751404637875764,0.060684852393182075,0.0,0
