method_key,method,steps,episode_reward,episode_length,wall_time
obs_delta_only,n3p_obs_delta_only_500k,2000,-23.620405,500,2026-05-14 06:34:22
obs_delta_only,n3p_obs_delta_only_500k,2000,-27.413219,500,2026-05-14 06:34:22
obs_delta_only,n3p_obs_delta_only_500k,2000,-31.181951,500,2026-05-14 06:34:22
obs_delta_only,n3p_obs_delta_only_500k,2000,-26.103999,500,2026-05-14 06:34:22
obs_delta_only,n3p_obs_delta_only_500k,4000,-27.61659,500,2026-05-14 06:34:30
obs_delta_only,n3p_obs_delta_only_500k,4000,-29.760687,500,2026-05-14 06:34:30
obs_delta_only,n3p_obs_delta_only_500k,4000,-29.150253,500,2026-05-14 06:34:30
obs_delta_only,n3p_obs_delta_only_500k,4000,-32.410014,500,2026-05-14 06:34:30
obs_delta_only,n3p_obs_delta_only_500k,6000,-9.577178,500,2026-05-14 06:34:39
obs_delta_only,n3p_obs_delta_only_500k,6000,-15.347526,500,2026-05-14 06:34:39
obs_delta_only,n3p_obs_delta_only_500k,6000,-16.791676,500,2026-05-14 06:34:39
obs_delta_only,n3p_obs_delta_only_500k,6000,-7.067209,500,2026-05-14 06:34:39
obs_delta_only,n3p_obs_delta_only_500k,8000,-4.322719,500,2026-05-14 06:34:46
obs_delta_only,n3p_obs_delta_only_500k,8000,-16.483844,500,2026-05-14 06:34:46
obs_delta_only,n3p_obs_delta_only_500k,8000,-19.74212,500,2026-05-14 06:34:46
obs_delta_only,n3p_obs_delta_only_500k,8000,-7.75227,500,2026-05-14 06:34:46
obs_delta_only,n3p_obs_delta_only_500k,9532,-2.493641,383,2026-05-14 06:34:54
obs_delta_only,n3p_obs_delta_only_500k,9612,-3.013577,403,2026-05-14 06:34:54
obs_delta_only,n3p_obs_delta_only_500k,9628,-2.788218,407,2026-05-14 06:34:54
obs_delta_only,n3p_obs_delta_only_500k,9936,-8.722398,484,2026-05-14 06:34:55
obs_delta_only,n3p_obs_delta_only_500k,10908,1.746148,320,2026-05-14 06:34:59
obs_delta_only,n3p_obs_delta_only_500k,11036,-0.171822,356,2026-05-14 06:34:59
obs_delta_only,n3p_obs_delta_only_500k,11076,-2.258032,386,2026-05-14 06:34:59
obs_delta_only,n3p_obs_delta_only_500k,11388,0.239372,363,2026-05-14 06:35:00
obs_delta_only,n3p_obs_delta_only_500k,12452,1.191118,344,2026-05-14 06:35:06
obs_delta_only,n3p_obs_delta_only_500k,12740,-4.98925,426,2026-05-14 06:35:07
obs_delta_only,n3p_obs_delta_only_500k,12760,-0.563375,343,2026-05-14 06:35:07
obs_delta_only,n3p_obs_delta_only_500k,12908,1.721497,500,2026-05-14 06:35:08
obs_delta_only,n3p_obs_delta_only_500k,13684,1.648796,308,2026-05-14 06:35:11
obs_delta_only,n3p_obs_delta_only_500k,13796,-6.186831,28,2026-05-14 06:35:11
obs_delta_only,n3p_obs_delta_only_500k,13864,4.504734,281,2026-05-14 06:35:11
obs_delta_only,n3p_obs_delta_only_500k,14140,3.054511,308,2026-05-14 06:35:12
obs_delta_only,n3p_obs_delta_only_500k,14316,-1.276311,389,2026-05-14 06:35:13
obs_delta_only,n3p_obs_delta_only_500k,14800,7.46543,251,2026-05-14 06:35:15
obs_delta_only,n3p_obs_delta_only_500k,14844,6.927369,245,2026-05-14 06:35:15
obs_delta_only,n3p_obs_delta_only_500k,15320,7.435447,251,2026-05-14 06:35:17
obs_delta_only,n3p_obs_delta_only_500k,15348,4.606337,302,2026-05-14 06:35:17
obs_delta_only,n3p_obs_delta_only_500k,15980,3.588818,295,2026-05-14 06:35:19
obs_delta_only,n3p_obs_delta_only_500k,16268,6.055,237,2026-05-14 06:35:20
obs_delta_only,n3p_obs_delta_only_500k,16364,6.353174,254,2026-05-14 06:35:21
obs_delta_only,n3p_obs_delta_only_500k,16484,-4.117832,410,2026-05-14 06:35:23
obs_delta_only,n3p_obs_delta_only_500k,16892,9.353537,228,2026-05-14 06:35:24
obs_delta_only,n3p_obs_delta_only_500k,17184,29.937335,229,2026-05-14 06:35:26
obs_delta_only,n3p_obs_delta_only_500k,17416,5.344089,263,2026-05-14 06:35:26
obs_delta_only,n3p_obs_delta_only_500k,17460,27.101744,244,2026-05-14 06:35:27
obs_delta_only,n3p_obs_delta_only_500k,17676,32.014281,196,2026-05-14 06:35:27
obs_delta_only,n3p_obs_delta_only_500k,18248,6.291015,266,2026-05-14 06:35:30
obs_delta_only,n3p_obs_delta_only_500k,18348,8.783729,233,2026-05-14 06:35:30
obs_delta_only,n3p_obs_delta_only_500k,18584,7.311059,281,2026-05-14 06:35:31
obs_delta_only,n3p_obs_delta_only_500k,18644,7.685518,242,2026-05-14 06:35:31
obs_delta_only,n3p_obs_delta_only_500k,19344,7.327033,274,2026-05-14 06:35:33
obs_delta_only,n3p_obs_delta_only_500k,19384,8.63367,259,2026-05-14 06:35:34
obs_delta_only,n3p_obs_delta_only_500k,19564,7.808896,245,2026-05-14 06:35:34
obs_delta_only,n3p_obs_delta_only_500k,20080,0.250168,359,2026-05-14 06:35:36
obs_delta_only,n3p_obs_delta_only_500k,20240,10.035065,214,2026-05-14 06:35:37
