method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,eval_flow_high_density,50,0.64,0.36,0.6,0.9425466687975175,4.637472968618212,0.8225073555111885,111.5,33.909592687906176,0.31680413374459365,0.35253479357382517,1.4682135498042905,0.1390629515040212,0.0,2.7703164137868908,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,eval_flow_high_speed,50,0.54,0.46,0.54,0.9577705475963839,4.461542829295176,0.7254288952052593,111.36,32.446302590603125,0.2632905173584327,0.3141579216105438,1.4509645614477007,0.15824016798678953,0.0,2.82697219052927,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,eval_flow_high_threat,50,0.62,0.38,0.58,0.9686721024780387,4.931150739451462,0.8570077282190323,112.34,34.48946027429755,0.2948588110572009,0.3242064516809692,1.44465356408027,0.1420979551131395,0.0,3.134819085380028,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,eval_flow_id,50,0.58,0.42,0.5,0.9633676170801111,5.371075515532408,0.8378773894906044,106.88,33.58951273552314,0.27388309442686276,0.29665674971749384,1.4817701300464372,0.11944116185433179,0.0,3.354912980474257,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,eval_flow_mixed_ood,50,0.54,0.46,0.52,0.940270728452252,4.8153337649816255,0.771695716381073,106.74,31.948109109385317,0.30997763836280484,0.34823637229868754,1.4707981365341265,0.13802798087198137,0.0,2.875157854510103,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,eval_flow_sudden_threat,50,0.74,0.26,0.72,0.9706955151270755,4.963086190034131,0.8633657366037368,113.72,36.932236312063466,0.2897752169439903,0.3143468112892526,1.4547155336127695,0.1359593390777997,0.0,3.038270611338123,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,eval_flow_high_density,50,0.56,0.44,0.56,0.9312193846430317,4.377741484244532,0.7625353443622589,110.22,32.0057101212123,0.2982434473241044,0.3502082720009133,1.4930197086935795,0.12137512317527811,0.0,2.3694590062685426,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,eval_flow_high_speed,50,0.72,0.28,0.54,0.9609819193667138,4.906579321838241,1.039613600373268,124.86,36.18697424883002,0.16346625461898254,0.20708896229827858,1.4883212200091012,0.12124203475352373,0.0,3.246179050477218,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,eval_flow_high_threat,50,0.74,0.26,0.68,0.9781349539728889,4.787346117803715,0.9129174172878265,116.94,37.30176938645995,0.21912844757031322,0.25570096315547414,1.4850527800633566,0.12291009085775136,0.0,2.988332320134437,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,eval_flow_id,50,0.42,0.58,0.32,0.953267969220268,4.8159394077847075,0.7165638744831085,109.44,30.081875187753845,0.25453022988282753,0.2919389527758868,1.4910803115613618,0.11998816857320019,0.0,2.69860501415428,0
