method_key,method,steps,episode_reward,episode_length,wall_time
block_projected_full,n3pf_block_projected_no_z_full_1p5m,484,40.023678,121,2026-05-14 09:33:07
block_projected_full,n3pf_block_projected_no_z_full_1p5m,492,39.706018,123,2026-05-14 09:33:07
block_projected_full,n3pf_block_projected_no_z_full_1p5m,512,40.09756,128,2026-05-14 09:33:07
block_projected_full,n3pf_block_projected_no_z_full_1p5m,524,39.728731,131,2026-05-14 09:33:07
block_projected_full,n3pf_block_projected_no_z_full_1p5m,972,18.656892,122,2026-05-14 09:33:09
block_projected_full,n3pf_block_projected_no_z_full_1p5m,988,40.163377,119,2026-05-14 09:33:09
block_projected_full,n3pf_block_projected_no_z_full_1p5m,1068,38.487202,144,2026-05-14 09:33:09
block_projected_full,n3pf_block_projected_no_z_full_1p5m,1116,38.746145,148,2026-05-14 09:33:10
block_projected_full,n3pf_block_projected_no_z_full_1p5m,1460,17.847671,122,2026-05-14 09:33:11
block_projected_full,n3pf_block_projected_no_z_full_1p5m,1548,39.361351,140,2026-05-14 09:33:11
block_projected_full,n3pf_block_projected_no_z_full_1p5m,1592,20.250604,131,2026-05-14 09:33:11
block_projected_full,n3pf_block_projected_no_z_full_1p5m,1676,18.283954,140,2026-05-14 09:33:12
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2000,39.939026,135,2026-05-14 09:33:13
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2008,11.514888,83,2026-05-14 09:33:13
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2084,39.206134,123,2026-05-14 09:33:13
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2120,19.235135,143,2026-05-14 09:33:13
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2280,2.674505,49,2026-05-14 09:33:14
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2508,18.863881,127,2026-05-14 09:33:14
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2648,38.462643,160,2026-05-14 09:33:15
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2692,39.292001,143,2026-05-14 09:33:15
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2784,19.55604,126,2026-05-14 09:33:15
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2872,-4.503473,22,2026-05-14 09:33:16
block_projected_full,n3pf_block_projected_no_z_full_1p5m,3044,39.145632,134,2026-05-14 09:33:16
block_projected_full,n3pf_block_projected_no_z_full_1p5m,3124,19.375934,119,2026-05-14 09:33:17
block_projected_full,n3pf_block_projected_no_z_full_1p5m,3188,18.388796,124,2026-05-14 09:33:17
block_projected_full,n3pf_block_projected_no_z_full_1p5m,3460,38.938998,147,2026-05-14 09:33:18
block_projected_full,n3pf_block_projected_no_z_full_1p5m,3616,39.232773,143,2026-05-14 09:33:18
block_projected_full,n3pf_block_projected_no_z_full_1p5m,3660,20.371187,118,2026-05-14 09:33:18
block_projected_full,n3pf_block_projected_no_z_full_1p5m,3708,19.059917,146,2026-05-14 09:33:19
block_projected_full,n3pf_block_projected_no_z_full_1p5m,3788,-4.497008,20,2026-05-14 09:33:19
block_projected_full,n3pf_block_projected_no_z_full_1p5m,3976,39.484198,129,2026-05-14 09:33:19
block_projected_full,n3pf_block_projected_no_z_full_1p5m,4152,40.239293,123,2026-05-14 09:33:22
block_projected_full,n3pf_block_projected_no_z_full_1p5m,4164,39.18472,137,2026-05-14 09:33:22
block_projected_full,n3pf_block_projected_no_z_full_1p5m,4376,16.987178,100,2026-05-14 09:33:23
block_projected_full,n3pf_block_projected_no_z_full_1p5m,4416,38.738956,157,2026-05-14 09:33:23
block_projected_full,n3pf_block_projected_no_z_full_1p5m,4496,-4.722008,20,2026-05-14 09:33:23
block_projected_full,n3pf_block_projected_no_z_full_1p5m,4588,40.481069,109,2026-05-14 09:33:23
block_projected_full,n3pf_block_projected_no_z_full_1p5m,4672,39.61366,127,2026-05-14 09:33:24
block_projected_full,n3pf_block_projected_no_z_full_1p5m,4948,39.15398,143,2026-05-14 09:33:25
block_projected_full,n3pf_block_projected_no_z_full_1p5m,5096,19.843972,127,2026-05-14 09:33:25
block_projected_full,n3pf_block_projected_no_z_full_1p5m,5108,38.672157,153,2026-05-14 09:33:25
block_projected_full,n3pf_block_projected_no_z_full_1p5m,5192,19.131967,130,2026-05-14 09:33:26
block_projected_full,n3pf_block_projected_no_z_full_1p5m,5316,-2.004923,31,2026-05-14 09:33:26
block_projected_full,n3pf_block_projected_no_z_full_1p5m,5512,17.776207,141,2026-05-14 09:33:27
block_projected_full,n3pf_block_projected_no_z_full_1p5m,5632,17.748827,134,2026-05-14 09:33:27
block_projected_full,n3pf_block_projected_no_z_full_1p5m,5656,39.372869,137,2026-05-14 09:33:27
block_projected_full,n3pf_block_projected_no_z_full_1p5m,5756,19.248899,110,2026-05-14 09:33:28
block_projected_full,n3pf_block_projected_no_z_full_1p5m,6020,39.660994,127,2026-05-14 09:33:29
