method_key,method,wall_time,local_steps,total_steps,target_total_steps,steps,target_steps,percent,steps_per_second,eta_minutes,recent_episode_reward_mean
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 09:38:05,75460,575460,1500000,575460,1500000,7.546,251.5313093546969,61.260763280451094,26.96337192
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 09:43:05,150284,650284,1500000,650284,1500000,15.0284,250.47104318829227,56.54119994496555,29.03935074
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 09:48:05,225044,725044,1500000,725044,1500000,22.5044,250.04474860535421,51.654487468235374,31.04453674
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 09:53:05,299136,799136,1500000,799136,1500000,29.9136,249.27408774703764,46.860332625188725,32.2263162
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 09:58:05,374144,874144,1500000,874144,1500000,37.4144,249.4245630130817,41.81999241504638,30.211319179999997
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 10:03:05,448836,948836,1500000,948836,1500000,44.8836,249.347573376656,36.840409322093166,29.890833519999997
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 10:08:06,523144,1023144,1500000,1023144,1500000,52.3144,249.11076037740025,31.903880779615733,31.98051056
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 10:13:06,597576,1097576,1500000,1097576,1500000,59.7576,248.9845734468577,26.93767960727975,33.1011504
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 10:18:06,672172,1172172,1500000,1172172,1500000,67.2172,248.94676123986355,21.947664523884107,27.42993494
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 10:23:06,746836,1246836,1500000,1246836,1500000,74.6836,248.93978605036497,16.949480301820216,27.33896562
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 10:28:06,821424,1321424,1500000,1321424,1500000,82.1424,248.91119158914427,11.957142817343975,30.8044288
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 10:33:06,896552,1396552,1500000,1396552,1500000,89.6552,249.03730650649518,6.9231929846959135,31.46459568
block_projected_full,n3pf_block_projected_no_z_full_1p5m,2026-05-14 10:38:06,970720,1470720,1500000,1470720,1500000,97.072,248.89736305635128,1.9606475295984354,29.825931219999998
