variant,training_seed,selected_checkpoint_label,comparison,left_path,right_path,exists,all_l2_delta,all_param_count,feature_extractor_l2_delta,feature_extractor_param_count,actor_action_l2_delta,actor_action_param_count,critic_value_l2_delta,critic_value_param_count,log_std_l2_delta,log_std_param_count,nearestk_l2_delta,nearestk_param_count,deepsets_l2_delta,deepsets_param_count
decouple_deepsets_gpsi,0,750k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s0/checkpoint_750k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s0/final.zip,1,18.554623887594563,231831.0,15.629065347886428,165264.0,6.201634392610867,33411.0,7.843990198829286,33153.0,0.13391259330850236,3.0,0.0,0.0,15.345562172818077,150528.0
decouple_deepsets_gpsi,0,750k,selected_vs_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s0/checkpoint_750k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s0/checkpoint_1000k.zip,1,18.4495409964985,231831.0,15.542469172838986,165264.0,6.161373519696224,33411.0,7.799879763543267,33153.0,0.12871292818929403,3.0,0.0,0.0,15.257704160162104,150528.0
decouple_deepsets_gpsi,0,750k,1000k_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s0/checkpoint_1000k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s0/final.zip,1,2.4774347940593393,231831.0,2.1732118302808106,165264.0,0.7757042568598079,33411.0,0.9017065177001108,33153.0,0.006462303775335398,3.0,0.0,0.0,2.122389402328284,150528.0
decouple_deepsets_gpsi,1,500k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s1/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s1/final.zip,1,23.2170731292738,231831.0,19.444104348016698,165264.0,7.544637698210002,33411.0,10.197034017121156,33153.0,0.24130903403760326,3.0,0.0,0.0,19.196450406419338,150528.0
decouple_deepsets_gpsi,1,500k,selected_vs_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s1/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s1/checkpoint_1000k.zip,1,23.106272027325673,231831.0,19.35474182495107,165264.0,7.476498042778252,33411.0,10.165712504479597,33153.0,0.23246974612357332,3.0,0.0,0.0,19.11038600805074,150528.0
decouple_deepsets_gpsi,1,500k,1000k_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s1/checkpoint_1000k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s1/final.zip,1,2.4893720155205745,231831.0,2.132890357975121,165264.0,0.8264317331278495,33411.0,0.9821083412353374,33153.0,0.01501829114781066,3.0,0.0,0.0,2.0868887593241983,150528.0
decouple_deepsets_gpsi,2,500k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s2/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s2/final.zip,1,26.12641401095556,231831.0,21.65304380582775,165264.0,8.793783055609762,33411.0,11.670057533603044,33153.0,0.46296840931638145,3.0,0.0,0.0,21.296422474105295,150528.0
decouple_deepsets_gpsi,2,500k,selected_vs_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s2/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s2/checkpoint_1000k.zip,1,26.040426167849198,231831.0,21.56652498657348,165264.0,8.779439512032654,33411.0,11.649343744284007,33153.0,0.45058538455871333,3.0,0.0,0.0,21.212439733598348,150528.0
decouple_deepsets_gpsi,2,500k,1000k_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s2/checkpoint_1000k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s2/final.zip,1,2.8441934538811364,231831.0,2.563266722988802,165264.0,0.602655879734138,33411.0,1.0750537759961056,33153.0,0.0128599866617885,3.0,0.0,0.0,2.4972729906792663,150528.0
decouple_deepsets_gpsi,3,500k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s3/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s3/final.zip,1,18.155639425756856,231831.0,15.091149913930705,165264.0,6.226560412799424,33411.0,7.937064972087981,33153.0,0.34261098636664583,3.0,0.0,0.0,14.84890446707629,150528.0
decouple_deepsets_gpsi,3,500k,selected_vs_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s3/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s3/checkpoint_1000k.zip,0,,,,,,,,,,,,,,
decouple_deepsets_gpsi,3,500k,1000k_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s3/checkpoint_1000k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_gpsi_s3/final.zip,0,,,,,,,,,,,,,,
decouple_deepsets_obs,0,750k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s0/checkpoint_750k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s0/final.zip,1,17.751473004872434,228375.0,14.35861883819347,161808.0,6.630953485368632,33411.0,8.055512214226924,33153.0,0.2898926413498897,3.0,0.0,0.0,14.116387202990895,147072.0
decouple_deepsets_obs,0,750k,selected_vs_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s0/checkpoint_750k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s0/checkpoint_1000k.zip,1,17.56738940888193,228375.0,14.203973463594831,161808.0,6.576060579605683,33411.0,7.971225614072705,33153.0,0.27440472244169417,3.0,0.0,0.0,13.97520525549585,147072.0
decouple_deepsets_obs,0,750k,1000k_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s0/checkpoint_1000k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s0/final.zip,1,2.40007209142247,228375.0,2.1044001690684686,161808.0,0.7297449325900229,33411.0,0.8938555999389762,33153.0,0.018451890595374137,3.0,0.0,0.0,2.0459550243571836,147072.0
decouple_deepsets_obs,1,750k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s1/checkpoint_750k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s1/final.zip,1,18.007508008487775,228375.0,15.063779094662813,161808.0,6.149409927410997,33411.0,7.711887849590135,33153.0,0.2538649305321662,3.0,0.0,0.0,14.821751191655428,147072.0
decouple_deepsets_obs,1,750k,selected_vs_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s1/checkpoint_750k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s1/checkpoint_1000k.zip,1,17.864788253596714,228375.0,14.952386191518794,161808.0,6.126116075901383,33411.0,7.614502605185147,33153.0,0.2585699629431603,3.0,0.0,0.0,14.710344709956484,147072.0
decouple_deepsets_obs,1,750k,1000k_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s1/checkpoint_1000k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s1/final.zip,1,2.691043205069445,228375.0,2.4380540058615177,161808.0,0.5242203746856453,33411.0,1.011310080594715,33153.0,0.007149524808781984,3.0,0.0,0.0,2.381450344515995,147072.0
decouple_deepsets_obs,2,500k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s2/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s2/final.zip,1,24.541898806320855,228375.0,20.474669070258248,161808.0,8.473555041463012,33411.0,10.54498637499922,33153.0,0.30797856009935676,3.0,0.0,0.0,20.10731126237026,147072.0
decouple_deepsets_obs,2,500k,selected_vs_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s2/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s2/checkpoint_1000k.zip,1,24.45426009729489,228375.0,20.40660247116785,161808.0,8.44083511953529,33411.0,10.49960065217893,33153.0,0.30348166247514097,3.0,0.0,0.0,20.040403853245717,147072.0
decouple_deepsets_obs,2,500k,1000k_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s2/checkpoint_1000k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s2/final.zip,1,2.4385850137211547,228375.0,2.1628460550807254,161808.0,0.630885749713565,33411.0,0.9329870277326159,33153.0,0.017668844279132845,3.0,0.0,0.0,2.1246591126084273,147072.0
decouple_deepsets_obs,3,500k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s3/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s3/final.zip,1,17.9557562214013,228375.0,14.64338011408621,161808.0,6.223928627970102,33411.0,8.317267567083176,33153.0,0.25762951744020623,3.0,0.0,0.0,14.358888574339945,147072.0
decouple_deepsets_obs,3,500k,selected_vs_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s3/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s3/checkpoint_1000k.zip,0,,,,,,,,,,,,,,
decouple_deepsets_obs,3,500k,1000k_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s3/checkpoint_1000k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_deepsets_obs_s3/final.zip,0,,,,,,,,,,,,,,
decouple_nk_gpsi,0,500k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s0/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s0/final.zip,1,25.230784514989836,406935.0,23.1462154681619,340368.0,6.295706307876132,33411.0,7.81403631689796,33153.0,0.38744711438117446,3.0,0.0,0.0,0.0,0.0
decouple_nk_gpsi,1,500k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s1/checkpoint_500k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s1/final.zip,1,24.521434074090198,406935.0,22.56846126901081,340368.0,6.284215532440898,33411.0,7.240137523577713,33153.0,0.23308535050768464,3.0,0.0,0.0,0.0,0.0
decouple_nk_gpsi,2,750k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s2/checkpoint_750k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s2/final.zip,1,3.1453184136017223,406935.0,2.915631234053883,340368.0,0.7878602056965178,33411.0,0.8782495751405115,33153.0,0.00874128118964527,3.0,0.0,0.0,0.0,0.0
decouple_nk_gpsi,3,250k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s3/checkpoint_250k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_gpsi_s3/final.zip,1,31.755693489659702,406935.0,29.156964098500982,340368.0,7.4623413337961555,33411.0,10.124799670007242,33153.0,0.31210099019233006,3.0,0.0,0.0,0.0,0.0
decouple_nk_obs,0,750k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s0/checkpoint_750k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s0/final.zip,1,3.684005669776662,323991.0,3.4512874529000284,257424.0,0.7298995033624605,33411.0,1.0619322858496203,33153.0,0.007695951069197657,3.0,0.0,0.0,0.0,0.0
decouple_nk_obs,1,750k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s1/checkpoint_750k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s1/final.zip,1,3.522295721649785,323991.0,3.2987972425826486,257424.0,0.658139420435849,33411.0,1.0445927731342688,33153.0,0.013503505675121203,3.0,0.0,0.0,0.0,0.0
decouple_nk_obs,2,750k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s2/checkpoint_750k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s2/final.zip,1,3.738071293203884,323991.0,3.464520697912424,257424.0,0.5375501390974875,33411.0,1.296609843176915,33153.0,0.010774476524356261,3.0,0.0,0.0,0.0,0.0
decouple_nk_obs,3,750k,selected_vs_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s3/checkpoint_750k.zip,checkpoints/env_v2_gpsi_heada_ppo_n3pf_decouple_decouple_nk_obs_s3/final.zip,1,3.5160620033319523,323991.0,3.2954930436309913,257424.0,0.7825945867255365,33411.0,0.9433657598651749,33153.0,0.004936253268959399,3.0,0.0,0.0,0.0,0.0
