method_key,method,steps,episode_reward,episode_length,wall_time,training_seed
block_projected_s1,n3pf_ms_block_projected_seed1,2000,-35.421884,500,2026-05-15 18:46:56,1
block_projected_s1,n3pf_ms_block_projected_seed1,2000,-31.228899,500,2026-05-15 18:46:56,1
block_projected_s1,n3pf_ms_block_projected_seed1,2000,-30.449181,500,2026-05-15 18:46:56,1
block_projected_s1,n3pf_ms_block_projected_seed1,2000,-33.205408,500,2026-05-15 18:46:56,1
block_projected_s1,n3pf_ms_block_projected_seed1,4000,-34.803884,500,2026-05-15 18:47:04,1
block_projected_s1,n3pf_ms_block_projected_seed1,4000,-24.786025,500,2026-05-15 18:47:04,1
block_projected_s1,n3pf_ms_block_projected_seed1,4000,-33.25446,500,2026-05-15 18:47:04,1
block_projected_s1,n3pf_ms_block_projected_seed1,4000,-29.820798,500,2026-05-15 18:47:04,1
block_projected_s1,n3pf_ms_block_projected_seed1,6000,-12.091695,500,2026-05-15 18:47:14,1
block_projected_s1,n3pf_ms_block_projected_seed1,6000,-9.570464,500,2026-05-15 18:47:14,1
block_projected_s1,n3pf_ms_block_projected_seed1,6000,-20.728202,500,2026-05-15 18:47:14,1
block_projected_s1,n3pf_ms_block_projected_seed1,6000,-13.652251,500,2026-05-15 18:47:14,1
block_projected_s1,n3pf_ms_block_projected_seed1,8000,-19.933239,500,2026-05-15 18:47:21,1
block_projected_s1,n3pf_ms_block_projected_seed1,8000,-18.726761,500,2026-05-15 18:47:21,1
block_projected_s1,n3pf_ms_block_projected_seed1,8000,-7.940788,500,2026-05-15 18:47:21,1
block_projected_s1,n3pf_ms_block_projected_seed1,8000,-4.901,500,2026-05-15 18:47:21,1
block_projected_s1,n3pf_ms_block_projected_seed1,9624,-2.988327,406,2026-05-15 18:47:29,1
block_projected_s1,n3pf_ms_block_projected_seed1,9756,-4.658244,439,2026-05-15 18:47:29,1
block_projected_s1,n3pf_ms_block_projected_seed1,9796,-6.183716,449,2026-05-15 18:47:29,1
block_projected_s1,n3pf_ms_block_projected_seed1,10000,-4.55293,500,2026-05-15 18:47:30,1
block_projected_s1,n3pf_ms_block_projected_seed1,11292,0.364428,384,2026-05-15 18:47:35,1
block_projected_s1,n3pf_ms_block_projected_seed1,11312,-1.589231,379,2026-05-15 18:47:36,1
block_projected_s1,n3pf_ms_block_projected_seed1,11624,-2.322855,500,2026-05-15 18:47:37,1
block_projected_s1,n3pf_ms_block_projected_seed1,12000,-2.540583,500,2026-05-15 18:47:38,1
block_projected_s1,n3pf_ms_block_projected_seed1,12728,-0.399325,359,2026-05-15 18:47:43,1
block_projected_s1,n3pf_ms_block_projected_seed1,12740,1.515973,357,2026-05-15 18:47:43,1
block_projected_s1,n3pf_ms_block_projected_seed1,12960,2.191788,334,2026-05-15 18:47:43,1
block_projected_s1,n3pf_ms_block_projected_seed1,13028,7.612734,257,2026-05-15 18:47:44,1
block_projected_s1,n3pf_ms_block_projected_seed1,13764,5.458641,259,2026-05-15 18:47:46,1
block_projected_s1,n3pf_ms_block_projected_seed1,13836,4.119202,274,2026-05-15 18:47:47,1
block_projected_s1,n3pf_ms_block_projected_seed1,14112,5.354119,288,2026-05-15 18:47:48,1
block_projected_s1,n3pf_ms_block_projected_seed1,14324,2.552667,324,2026-05-15 18:47:48,1
block_projected_s1,n3pf_ms_block_projected_seed1,14876,6.781106,260,2026-05-15 18:47:50,1
block_projected_s1,n3pf_ms_block_projected_seed1,14928,26.089208,291,2026-05-15 18:47:51,1
block_projected_s1,n3pf_ms_block_projected_seed1,15204,5.584798,273,2026-05-15 18:47:52,1
block_projected_s1,n3pf_ms_block_projected_seed1,15548,2.373508,306,2026-05-15 18:47:53,1
block_projected_s1,n3pf_ms_block_projected_seed1,16016,7.437961,285,2026-05-15 18:47:55,1
block_projected_s1,n3pf_ms_block_projected_seed1,16064,5.914035,284,2026-05-15 18:47:55,1
block_projected_s1,n3pf_ms_block_projected_seed1,16384,4.633647,295,2026-05-15 18:47:56,1
block_projected_s1,n3pf_ms_block_projected_seed1,16632,5.489811,271,2026-05-15 18:47:59,1
block_projected_s1,n3pf_ms_block_projected_seed1,16996,7.946994,245,2026-05-15 18:48:00,1
block_projected_s1,n3pf_ms_block_projected_seed1,17084,8.416607,255,2026-05-15 18:48:00,1
block_projected_s1,n3pf_ms_block_projected_seed1,17264,8.963677,220,2026-05-15 18:48:01,1
block_projected_s1,n3pf_ms_block_projected_seed1,17556,8.360951,231,2026-05-15 18:48:02,1
block_projected_s1,n3pf_ms_block_projected_seed1,17860,10.795341,194,2026-05-15 18:48:04,1
block_projected_s1,n3pf_ms_block_projected_seed1,17908,9.744225,228,2026-05-15 18:48:04,1
block_projected_s1,n3pf_ms_block_projected_seed1,18168,6.789298,226,2026-05-15 18:48:05,1
block_projected_s1,n3pf_ms_block_projected_seed1,18416,31.365644,215,2026-05-15 18:48:06,1
block_projected_s1,n3pf_ms_block_projected_seed1,18780,9.952221,218,2026-05-15 18:48:07,1
block_projected_s1,n3pf_ms_block_projected_seed1,18816,8.278921,239,2026-05-15 18:48:07,1
block_projected_s1,n3pf_ms_block_projected_seed1,19208,7.440777,260,2026-05-15 18:48:09,1
block_projected_s1,n3pf_ms_block_projected_seed1,19244,2.282186,116,2026-05-15 18:48:09,1
block_projected_s1,n3pf_ms_block_projected_seed1,19328,30.085484,228,2026-05-15 18:48:09,1
block_projected_s1,n3pf_ms_block_projected_seed1,19744,8.790676,232,2026-05-15 18:48:11,1
block_projected_s1,n3pf_ms_block_projected_seed1,20112,8.747673,217,2026-05-15 18:48:12,1
block_projected_s1,n3pf_ms_block_projected_seed1,20152,8.717089,236,2026-05-15 18:48:12,1
block_projected_s1,n3pf_ms_block_projected_seed1,20192,9.743566,216,2026-05-15 18:48:12,1
block_projected_s1,n3pf_ms_block_projected_seed1,20564,11.283127,205,2026-05-15 18:48:16,1
block_projected_s1,n3pf_ms_block_projected_seed1,20940,10.85899,197,2026-05-15 18:48:17,1
block_projected_s1,n3pf_ms_block_projected_seed1,20984,10.633266,218,2026-05-15 18:48:17,1
block_projected_s1,n3pf_ms_block_projected_seed1,21168,9.606467,151,2026-05-15 18:48:18,1
block_projected_s1,n3pf_ms_block_projected_seed1,21192,9.099401,250,2026-05-15 18:48:18,1
block_projected_s1,n3pf_ms_block_projected_seed1,21712,10.830697,193,2026-05-15 18:48:20,1
block_projected_s1,n3pf_ms_block_projected_seed1,21756,11.094748,193,2026-05-15 18:48:20,1
block_projected_s1,n3pf_ms_block_projected_seed1,22024,31.059171,214,2026-05-15 18:48:21,1
block_projected_s1,n3pf_ms_block_projected_seed1,22164,7.8492,243,2026-05-15 18:48:22,1
block_projected_s1,n3pf_ms_block_projected_seed1,22524,8.972688,203,2026-05-15 18:48:23,1
block_projected_s1,n3pf_ms_block_projected_seed1,22548,33.212424,198,2026-05-15 18:48:23,1
block_projected_s1,n3pf_ms_block_projected_seed1,22804,6.675815,160,2026-05-15 18:48:24,1
block_projected_s1,n3pf_ms_block_projected_seed1,22916,8.788205,223,2026-05-15 18:48:24,1
block_projected_s1,n3pf_ms_block_projected_seed1,22952,-5.698275,37,2026-05-15 18:48:24,1
block_projected_s1,n3pf_ms_block_projected_seed1,23404,11.099622,220,2026-05-15 18:48:26,1
block_projected_s1,n3pf_ms_block_projected_seed1,23504,29.852918,239,2026-05-15 18:48:26,1
block_projected_s1,n3pf_ms_block_projected_seed1,23704,11.6431,188,2026-05-15 18:48:27,1
