training_seed,checkpoint_label,checkpoint_path,exists,size_bytes,sha256,expected_total_steps,model_num_timesteps,optimizer_state_present,policy_parameter_l2_norm,policy_parameter_delta_vs_previous_checkpoint,eval_rows_reference_this_path,eval_seed_count,scenario_count,episode_count
1,250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_250k.zip,1,1051782,b776330bd0939919b88da6e64221f9ac6c6663754d7e8e16e647e6bef3137152,250000,250000,1,44.18402862548828,nan,0,0,0,0
1,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_500k.zip,1,1051639,6e66a68e4a256b25b9e3264a5bdcb334e52e9c23250375e81bfb6e727654e6ec,500000,500000,1,47.004493713378906,13.069623947143555,0,0,0,0
1,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_750k.zip,1,1051719,85eff0a18c71677b3d6eb4716c1df9a397b81e569e13415e73414fe590e350de,750000,750000,1,49.5074462890625,12.788824081420898,0,0,0,0
1,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1,1051784,73a84bf1a89aef7f72516afd6f84667fbbba5af2422e6bc4893a2879cf0ab781,1000000,1000000,1,51.65290451049805,12.567120552062988,1,3,6,900
1,1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1250k.zip,1,1051039,7a283901365472d18705a5df6b615b606a4d33da2940e005e259541565f5cd45,1250000,1250000,1,53.52157974243164,12.381786346435547,0,0,0,0
1,1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1500k.zip,1,1051723,58f2a54f7d8bf449f2b8d10219574c579b65d831efcb5c6869ee77509e3e9a8a,1500000,1500000,1,55.47145080566406,12.497802734375,1,3,6,900
1,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1,1051643,2c9a54a3af4f8d551c491a648193a98e7960340172a950a3fff6ac473b1fffec,1500000,1503232,1,55.495670318603516,2.0050761699676514,1,3,6,900
2,250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_250k.zip,1,1051638,83f0dbc8494ae26b1c4cfd556b282b77cb537b2b418d50e45df9f47caa6c2bae,250000,250000,1,44.42875289916992,nan,0,0,0,0
2,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_500k.zip,1,1051775,d2a569a6cca63940f9124b480e895e73b458d680a60c8a23c297476da36b667e,500000,500000,1,47.537742614746094,14.457741737365723,0,0,0,0
2,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_750k.zip,1,1051739,6993bda7c583e8b14e6037f253b78a87e9e0cd54f001385ad2512b4391b746e8,750000,750000,1,50.084564208984375,13.1837739944458,0,0,0,0
2,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1,1051640,459a1cc1c7a3524f6590331b179bee16ec79f1a6196b5c67a854a41f755abccb,1000000,1000000,1,52.20236587524414,12.84591293334961,1,3,6,900
2,1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1250k.zip,1,1051641,06cad92e2a2f9d4936c2af72a63aca92776f6cf5b5bb899aff2aa41df691bf50,1250000,1250000,1,54.19570541381836,12.836268424987793,0,0,0,0
2,1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1500k.zip,1,1051723,1bddeea31201040563ee6046e2c0adf180353535ca973023ac80b254d6dabc04,1500000,1500000,1,56.16199493408203,12.637290954589844,1,3,6,900
2,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/final.zip,1,1051643,6f1bc34539207519d39bcd9740ccb48c6444aca0c0352d3c618cd58e88e3716b,1500000,1503232,1,56.18665313720703,2.1593997478485107,1,3,6,900
