field,seed1_value,seed2_value,same,allowed_difference
policy_class,MultiInputPolicy,MultiInputPolicy,1,0
feature_adapter,block_projected_no_z,block_projected_no_z,1,0
include_z,False,False,1,0
delta_scale,5,5,1,0
logvar_clip,"[-5.0,3.0]","[-5.0,3.0]",1,0
logvar_scale,0.2,0.2,1,0
n_envs,4,4,1,0
device,cpu,cpu,1,0
learning_rate,0.0003,0.0003,1,0
n_steps,1024,1024,1,0
batch_size,256,256,1,0
gamma,0.99,0.99,1,0
gae_lambda,0.95,0.95,1,0
clip_range,0.2,0.2,1,0
ent_coef,0.01,0.01,1,0
vf_coef,0.5,0.5,1,0
max_grad_norm,0.5,0.5,1,0
gpsi_checkpoint,work_dirs/gpsi_heada_v1_nll/best.pth,work_dirs/gpsi_heada_v1_nll/best.pth,1,0
gpsi_frozen,true,true,1,0
train_scenario,train_flow_mixed,train_flow_mixed,1,0
no_shield,True,True,1,0
action_filtering,False,False,1,0
use_safety_cost,False,False,1,0
obs_aug_dim,30,30,1,0
block_projector,"{""activation"":""tanh"",""delta_block_dim"":9,""delta_project_dim"":16,""logvar_block_dim"":9,""logvar_project_dim"":16,""obs_block_dim"":12,""obs_project_dim"":32}","{""activation"":""tanh"",""delta_block_dim"":9,""delta_project_dim"":16,""logvar_block_dim"":9,""logvar_project_dim"":16,""obs_block_dim"":12,""obs_project_dim"":32}",1,0
training.seed,allowed,allowed,0,1
method_name,allowed,allowed,0,1
out_dir,allowed,allowed,0,1
checkpoint_dir,allowed,allowed,0,1
log_dir,allowed,allowed,0,1
