policy,success_rate,collision_rate,source,checkpoint_label,raw_unsafe_action_rate,action_norm,action_delta,progress,run_name,raw_min_predicted_cpa
p3_seed0_original_1500k,0.6167,0.3833,reported_baseline,,,,,,,
p3_seed1_original_1500k,0.6089,0.3911,reported_baseline,,,,,,,
p3_seed2_original_1500k,0.4222,0.5778,reported_baseline,,,,,,,
attention_full_reference,0.6033,0.3967,reported_baseline,,,,,,,
no_z_full_reference,0.5667,0.4333,reported_baseline,,,,,,,
p3_s2_1000k,0.421111111111111,0.5788888888888889,N3PF-MS-original,1000k,0.2451420380505052,1.5809405340342064,0.1040866546901435,0.9607087432739072,,
p3_s2_1500k,0.4222222222222222,0.5777777777777778,N3PF-MS-original,1500k,0.268799368537681,1.553815489621089,0.1104493328459066,0.9525542860540936,,
p3_s2_final,0.491111111111111,0.5088888888888888,N3PF-MS-original,final,0.2910257197019582,1.5560673760649335,0.1172046513623101,0.9460054392412384,,
p3_s2_seed2_rerunA_1000k,0.421111111111111,0.5788888888888889,N3PF-MS-AB-rerun,1000k,0.2451420380505052,1.5809405340342064,0.1040866546901436,0.9607087432739072,seed2_rerunA,3.301714354984136
p3_s2_seed2_rerunA_1500k,0.4222222222222222,0.5777777777777778,N3PF-MS-AB-rerun,1500k,0.268799368537681,1.553815489621089,0.1104493328459067,0.9525542860540934,seed2_rerunA,2.7749021005067003
p3_s2_seed2_rerunA_final,0.4911111111111111,0.5088888888888888,N3PF-MS-AB-rerun,final,0.2910257197019582,1.5560673760649335,0.1172046513623102,0.9460054392412384,seed2_rerunA,2.486890451394458
