method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,history_valid_ratio_count,history_valid_ratio_mean,history_valid_ratio_median,history_valid_ratio_p95,history_valid_ratio_max,history_valid_ratio_min,history_valid_ratio_std,history_valid_ratio_nan_count,history_valid_ratio_inf_count,inactive_forwarded_count_count,inactive_forwarded_count_mean,inactive_forwarded_count_median,inactive_forwarded_count_p95,inactive_forwarded_count_max,inactive_forwarded_count_min,inactive_forwarded_count_std,inactive_forwarded_count_nan_count,inactive_forwarded_count_inf_count,delta_norm_1s_count,delta_norm_1s_mean,delta_norm_1s_median,delta_norm_1s_p95,delta_norm_1s_max,delta_norm_1s_min,delta_norm_1s_std,delta_norm_1s_nan_count,delta_norm_1s_inf_count,logvar_xy_1s_count,logvar_xy_1s_mean,logvar_xy_1s_median,logvar_xy_1s_p95,logvar_xy_1s_max,logvar_xy_1s_min,logvar_xy_1s_std,logvar_xy_1s_nan_count,logvar_xy_1s_inf_count,logvar_xy_1s_span,delta_norm_2s_count,delta_norm_2s_mean,delta_norm_2s_median,delta_norm_2s_p95,delta_norm_2s_max,delta_norm_2s_min,delta_norm_2s_std,delta_norm_2s_nan_count,delta_norm_2s_inf_count,logvar_xy_2s_count,logvar_xy_2s_mean,logvar_xy_2s_median,logvar_xy_2s_p95,logvar_xy_2s_max,logvar_xy_2s_min,logvar_xy_2s_std,logvar_xy_2s_nan_count,logvar_xy_2s_inf_count,logvar_xy_2s_span,delta_norm_4s_count,delta_norm_4s_mean,delta_norm_4s_median,delta_norm_4s_p95,delta_norm_4s_max,delta_norm_4s_min,delta_norm_4s_std,delta_norm_4s_nan_count,delta_norm_4s_inf_count,logvar_xy_4s_count,logvar_xy_4s_mean,logvar_xy_4s_median,logvar_xy_4s_p95,logvar_xy_4s_max,logvar_xy_4s_min,logvar_xy_4s_std,logvar_xy_4s_nan_count,logvar_xy_4s_inf_count,logvar_xy_4s_span,projected_std_radial_count,projected_std_radial_mean,projected_std_radial_median,projected_std_radial_p95,projected_std_radial_max,projected_std_radial_min,projected_std_radial_std,projected_std_radial_nan_count,projected_std_radial_inf_count,projected_std_relvel_count,projected_std_relvel_mean,projected_std_relvel_median,projected_std_relvel_p95,projected_std_relvel_max,projected_std_relvel_min,projected_std_relvel_std,projected_std_relvel_nan_count,projected_std_relvel_inf_count
p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,accel_decel,high,20431,0.7080539380651533,0.8999999761581421,1.0,1.0,0.05000000074505806,0.33808130330845426,0,0,3127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20431,1.0951244729456127,1.0932228565216064,1.711205005645752,2.386760711669922,0.016366878524422646,0.4007935233360661,0,0,40862,-4.714762188346879,-5.0,-2.829495429992676,0.1557629108428955,-5.0,0.7425699863482631,0,0,5.1557629108428955,20431,3.0815191833926603,3.0833213329315186,4.658990859985352,7.350522041320801,0.026761401444673538,0.9731000501083764,0,0,40862,-4.111433282898052,-4.90300440788269,-1.4363523066043857,1.018086552619934,-5.0,1.2210205352723895,0,0,6.018086552619934,20431,6.44857309483337,6.573434352874756,9.486124038696289,13.044234275817871,0.0721050575375557,1.9942563629001677,0,0,40862,-2.672436171699026,-2.3267035484313965,-0.41462206840515137,1.5624773502349854,-5.0,1.639139812805495,0,0,6.562477350234985,3127,0.1097624319113212,0.08208499848842621,0.2393800705671306,0.8301476836204529,0.08208498358726501,0.08024049542961127,0,0,3127,0.11051619287102528,0.08208499848842621,0.24734912067651743,0.9167270064353943,0.08208498358726501,0.09037931537954641,0,0
p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,high,14850,0.6996565659906125,0.8500000238418579,1.0,1.0,0.05000000074505806,0.33929648315657684,0,0,2270,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14850,1.128085976828404,1.1233822107315063,1.7280399799346924,2.461787700653076,0.01998828537762165,0.3865215239092345,0,0,29700,-4.728084918462016,-5.0,-2.8175253868103027,0.15211504697799683,-5.0,0.7286259868728104,0,0,5.152115046977997,14850,3.153563630836279,3.1344242095947266,4.697106647491455,6.988463401794434,0.1115683987736702,0.9599312765385307,0,0,29700,-4.194891153258406,-5.0,-1.4845975637435913,0.918846845626831,-5.0,1.1931482422874853,0,0,5.918846845626831,14850,6.710237469679805,6.912080764770508,9.62289047241211,13.398951530456543,0.02825487218797207,1.9462359773241173,0,0,29700,-2.720850908500848,-2.3444433212280273,-0.44557422399520874,1.953881859779358,-5.0,1.6255631050481516,0,0,6.953881859779358,2270,0.10318589298801276,0.08208499848842621,0.24436335489153818,0.6339396238327026,0.08208498358726501,0.06331684716760135,0,0,2270,0.10395693907653708,0.08208499848842621,0.25483902096748345,0.6548764109611511,0.08208498358726501,0.06650037385133198,0,0
p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,high,28492,0.7085778468170677,0.8999999761581421,1.0,1.0,0.05000000074505806,0.33584331546474044,0,0,4759,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28492,1.1343383321826999,1.1384470462799072,1.7670223712921143,2.47760009765625,0.016470013186335564,0.3933103869812644,0,0,56984,-4.727089470477152,-5.0,-2.8468494057655342,0.08747106045484543,-5.0,0.7278214201892677,0,0,5.087471060454845,28492,3.1883466777846867,3.183053731918335,4.828234672546387,7.164578914642334,0.01945909857749939,0.9995431749344289,0,0,56984,-4.159740855441802,-4.9709248542785645,-1.506553053855896,0.5001858472824097,-5.0,1.1885642148724709,0,0,5.50018584728241,28492,6.699743939205642,6.793501853942871,9.857311248779297,18.073305130004883,0.07226446270942688,2.0141330711977514,0,0,56984,-2.686597755807367,-2.349924683570862,-0.4278140068054199,1.8465752601623535,-5.0,1.6290934161290136,0,0,6.8465752601623535,4759,0.10322284015425115,0.08208499848842621,0.2399739921092987,0.7947577834129333,0.08208498358726501,0.06303083781269925,0,0,4759,0.10288918450127181,0.08208499848842621,0.22697633504867554,0.6413347125053406,0.08208498358726501,0.06377492112887742,0,0
p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,linear,high,12720,0.6866705979170782,0.800000011920929,1.0,1.0,0.05000000074505806,0.33771656102526676,0,0,2166,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12720,1.086727483600009,1.101894736289978,1.6483659267425532,2.285522937774658,0.01879570074379444,0.36622558511324554,0,0,25440,-4.3895859681078635,-5.0,-2.0895586252212532,0.03963076323270798,-5.0,1.0582069780546388,0,0,5.039630763232708,12720,3.0734366859360627,3.0762035846710205,4.500148701667785,6.242222785949707,0.026950368657708168,0.919863899740965,0,0,25440,-3.7359176998260963,-4.49948525428772,-1.045514988899233,1.0693552494049072,-5.0,1.4851777115451834,0,0,6.069355249404907,12720,6.442862711298578,6.5291242599487305,9.419968414306638,11.796565055847168,0.20225563645362854,1.8808432597731646,0,0,25440,-2.4900747230145774,-2.076439142227173,-0.2541937291622162,1.897021770477295,-5.0,1.6787486257036854,0,0,6.897021770477295,2166,0.13860844023738983,0.08208499848842621,0.34163960814476013,0.8390604853630066,0.08208498358726501,0.10068849742460835,0,0,2166,0.13243038440854155,0.08208499848842621,0.3122691810131073,0.9702370762825012,0.08208498358726501,0.09269303385465699,0,0
p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,23059,0.6852595520085962,0.800000011920929,1.0,1.0,0.05000000074505806,0.3378506398639491,0,0,3443,0.0,0.0,0.0,0.0,0.0,0.0,0,0,23059,1.066072850914025,1.0761009454727173,1.7450950145721436,2.6734142303466797,0.01180741935968399,0.4252225726928086,0,0,46118,-4.682998115998539,-5.0,-2.673957347869873,-0.014517612755298615,-5.0,0.7916222295591535,0,0,4.985482387244701,23059,3.0567194401913818,3.07448410987854,4.741804599761963,7.240280628204346,0.020527979359030724,1.0456668995645435,0,0,46118,-4.085139586121601,-5.0,-1.2907637357711792,0.884189784526825,-5.0,1.2826721514387298,0,0,5.884189784526825,23059,6.448166036633041,6.60436487197876,9.60068130493164,15.857893943786621,0.09086993336677551,2.0939443764111867,0,0,46118,-2.7057720112958323,-2.4094985723495483,-0.2549014091491699,2.135558605194092,-5.0,1.6709623072010238,0,0,7.135558605194092,3443,0.11429057478463273,0.08208499848842621,0.32098475098609924,0.8595539331436157,0.08208498358726501,0.08740357680263511,0,0,3443,0.11345725553286065,0.08208499848842621,0.29883853495120893,0.9293413162231445,0.08208498358726501,0.08745665883120336,0,0
p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,546,0.6031135539473086,0.6000000238418579,1.0,1.0,0.05000000074505806,0.3632744512276604,0,0,93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,546,1.0810352351939503,1.1800967454910278,1.8298567533493042,2.0837814807891846,0.028286278247833252,0.5010643394170746,0,0,1092,-4.8741890493330065,-5.0,-3.826970338821411,-0.9638996124267578,-5.0,0.5227855383592453,0,0,4.036100387573242,546,2.7361787165968847,2.8322575092315674,4.931527614593506,5.543857574462891,0.15107132494449615,1.2406715822639571,0,0,1092,-4.507973599946979,-5.0,-2.33856201171875,0.42869317531585693,-5.0,0.9537036036385971,0,0,5.428693175315857,546,5.778374955167264,6.090599536895752,8.712638854980469,10.613443374633789,0.309055358171463,2.195253605096748,0,0,1092,-2.7065429205608798,-2.6498275995254517,-0.4163347125053393,1.9066059589385986,-5.0,1.5381446170842883,0,0,6.906605958938599,93,0.08949571944052173,0.08208499848842621,0.14190050959587097,0.23965875804424286,0.08208499103784561,0.029397041949959655,0,0,93,0.0915779641238592,0.08208499848842621,0.16527973115444183,0.20698580145835876,0.08208499103784561,0.027565713335653223,0,0
p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,555,0.6991891900832589,1.0,1.0,1.0,0.05000000074505806,0.36367031580120796,0,0,87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,555,0.8403234598503725,0.912693977355957,1.3038079738616943,1.7189491987228394,0.0295622106641531,0.37483621199947564,0,0,1110,-4.68992332834247,-5.0,-3.005251407623291,-0.09245938807725906,-5.0,0.7730847214460191,0,0,4.907540611922741,555,2.281001099923978,2.206984519958496,4.200809478759766,5.618477821350098,0.03146444633603096,1.1131185208426306,0,0,1110,-4.120547371418089,-5.0,-1.2219282388687134,0.31626057624816895,-5.0,1.3533566833941542,0,0,5.316260576248169,555,4.877312424456751,4.787357807159424,8.534942626953125,10.240313529968262,0.23203329741954803,2.2521460739056205,0,0,1110,-2.7928646376960584,-2.661576747894287,-0.2983744144439697,1.0775707960128784,-5.0,1.557483853348046,0,0,6.077570796012878,87,0.1065700444681891,0.08208499848842621,0.1208500862121582,0.715463399887085,0.08208499103784561,0.11546850684244211,0,0,87,0.10236683462200494,0.08208499848842621,0.11671371757984161,0.607024610042572,0.08208499103784561,0.09570073314286591,0,0
p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,1140,0.5885526318103075,0.6499999761581421,1.0,1.0,0.05000000074505806,0.3589923894533471,0,0,207,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1140,1.1594496448622331,1.2430866956710815,1.810113853216171,1.9689043760299683,0.028250480070710182,0.468220925422395,0,0,2280,-4.22782206802972,-5.0,-1.7523715734481868,-0.09970731288194656,-5.0,1.1949949684641779,0,0,4.900292687118053,1140,3.2900231061013123,3.334690570831299,4.920585465431213,5.721195220947266,0.31975218653678894,1.0503240752454954,0,0,2280,-3.344398301133984,-3.66849148273468,-0.8088762134313586,0.3766641318798065,-5.0,1.4942222680218853,0,0,5.3766641318798065,1140,6.5921388615118826,6.465831756591797,10.10556011199951,11.98661994934082,0.8351263403892517,2.174604576266807,0,0,2280,-1.850877021874399,-1.2933431267738342,-0.10171350464224971,1.575133204460144,-5.0,1.5042885628407212,0,0,6.575133204460144,207,0.1524403855420541,0.08208499848842621,0.3027624487876892,0.6649974584579468,0.08208498358726501,0.11362186463776995,0,0,207,0.14086807529995407,0.08208499848842621,0.29330116510391235,0.47627732157707214,0.08208499103784561,0.09134475183268159,0,0
p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,363,0.5785123979257158,0.550000011920929,1.0,1.0,0.05000000074505806,0.31595496283441094,0,0,66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,363,1.3195949549024755,1.3773905038833618,1.8961741924285889,1.9162425994873047,0.27027517557144165,0.3810369548970641,0,0,726,-4.81339940699664,-5.0,-3.8508810997009277,-0.533043622970581,-5.0,0.7093389011530064,0,0,4.466956377029419,363,3.5274623464946906,3.3384318351745605,5.336126804351807,5.7326765060424805,1.5144110918045044,0.9542175365494491,0,0,726,-3.9532064806731526,-4.626140117645264,-1.4851425886154175,0.09429498016834259,-5.0,1.2674487219003918,0,0,5.094294980168343,363,6.929582710108481,6.904107093811035,9.135204315185547,9.963761329650879,3.2519655227661133,1.481381448355616,0,0,726,-2.0521623175283357,-1.4950619339942932,-0.12543076276779175,0.48431289196014404,-5.0,1.6466399062135748,0,0,5.484312891960144,66,0.11556673557920889,0.08208499848842621,0.1420695036649704,0.5788536667823792,0.08208499103784561,0.10299265092502063,0,0,66,0.10775614428249272,0.08208499848842621,0.1333618462085724,0.4211341440677643,0.08208498358726501,0.07077635705096673,0,0
p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,linear,medium,255,0.641764705409022,0.800000011920929,1.0,1.0,0.05000000074505806,0.3824723779023675,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,255,1.1464951332877664,1.240236520767212,1.596224308013916,1.6654202938079834,0.11339887976646423,0.34844657907344634,0,0,510,-4.753301555268905,-5.0,-2.4056074619293213,-0.310580849647522,-5.0,0.9194129413416602,0,0,4.689419150352478,255,2.9397208410150864,2.875385284423828,3.9433934688568115,4.0846405029296875,1.30559241771698,0.6341975177036833,0,0,510,-4.61095411150771,-5.0,-1.1141245365142822,0.1531212478876114,-5.0,1.1337719142333864,0,0,5.153121247887611,255,6.2679797200595635,6.32612419128418,8.975594520568848,9.278960227966309,2.308588981628418,1.6229953580554497,0,0,510,-2.9175972226788014,-2.57076632976532,-0.8275182247161865,-0.5101406574249268,-5.0,1.4104088336732523,0,0,4.489859342575073,48,0.11918348213657737,0.08208499848842621,0.42839984074234916,0.5439627170562744,0.08208499103784561,0.11419682822944927,0,0,48,0.11123949522152543,0.08208499848842621,0.33516534715890867,0.38146886229515076,0.08208499103784561,0.08060295368739306,0,0
