method_key,method,steps,episode_reward,episode_length,wall_time,run_name,training_seed
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2000,-36.359682,500,2026-05-16 11:43:42,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2000,-30.463113,500,2026-05-16 11:43:42,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2000,-24.448464,500,2026-05-16 11:43:42,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2000,-31.182868,500,2026-05-16 11:43:42,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,4000,-33.648945,500,2026-05-16 11:43:50,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,4000,-27.04258,500,2026-05-16 11:43:50,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,4000,-21.178881,500,2026-05-16 11:43:50,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,4000,-26.678939,500,2026-05-16 11:43:50,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,6000,-11.082644,500,2026-05-16 11:43:59,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,6000,-12.780903,500,2026-05-16 11:43:59,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,6000,-15.24433,500,2026-05-16 11:43:59,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,6000,-12.171525,500,2026-05-16 11:43:59,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,8000,-5.465633,500,2026-05-16 11:44:06,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,8000,-14.739818,500,2026-05-16 11:44:06,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,8000,-9.682678,500,2026-05-16 11:44:06,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,8000,-7.816374,500,2026-05-16 11:44:06,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,9416,0.882115,354,2026-05-16 11:44:13,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,9568,-2.690312,392,2026-05-16 11:44:13,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,9688,-4.426686,422,2026-05-16 11:44:14,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,9792,-8.490227,448,2026-05-16 11:44:14,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,11044,-1.881356,369,2026-05-16 11:44:18,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,11144,-7.280255,432,2026-05-16 11:44:19,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,11688,-1.754536,500,2026-05-16 11:44:21,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,11792,-1.180422,500,2026-05-16 11:44:21,seed2_rerunA,2
