eval_phase,variant,training_seed,checkpoint_label,checkpoint_path,exists,size_bytes,sha256,checkpoint_step,model_num_timesteps
validation,stab_s1_lr2e4,2,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2/checkpoint_500k.zip,1,1051783,305303475075de9e441d3828894445f7452b68520c58b168d5d64eaf3b675261,500000,500000
validation,stab_s1_lr2e4,2,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2/checkpoint_750k.zip,1,1051773,af581966e1f0f0f171284db12c92466207bf0d9ad0e2608e6990a51da908981c,750000,750000
validation,stab_s1_lr2e4,2,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2/checkpoint_1000k.zip,1,1051035,9c468dd806a06537edcc6516e2872f512787762075853c073f1dd2ab744e84cf,1000000,1000000
validation,stab_s1_lr2e4,2,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2/final.zip,1,1051724,805b36eac6957cb561036a94e08fc8441a062c3d55a5231c8a5b2c69c968fb47,1000000,1003520
validation,stab_s1_lr1e4,2,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2/checkpoint_500k.zip,1,1051639,59b52a6cb5bd442fbd97e220d6e965a10d08a63b40b667a83acdd802ef02fa78,500000,500000
validation,stab_s1_lr1e4,2,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2/checkpoint_750k.zip,1,1051629,0cab14764f4acc5b059944ad24c326387dd1615bdecbc75461a51673dc0c4281,750000,750000
validation,stab_s1_lr1e4,2,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2/checkpoint_1000k.zip,1,1051723,1703e2864e38982164b0c89f64af8b5f0f5e78b530d5b053928422aa7dad9c4b,1000000,1000000
validation,stab_s1_lr1e4,2,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2/final.zip,1,1051636,71b10e50cc9a9066aa97a44c883c23707ce6a0881fc4c04ccbffc487f2687b6e,1000000,1003520
validation,stab_s2d_gated,2,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2/checkpoint_500k.zip,1,1169267,15d8fb015784c8d0262c11ea6a4226f52db1216cecaf7bc3d605583f32eeb717,500000,500000
validation,stab_s2d_gated,2,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2/checkpoint_750k.zip,1,1169818,a7725c86a6169260675ff873cc5f8f618111ef273a7fe92fc336a6ce1eeb2c0b,750000,750000
validation,stab_s2d_gated,2,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2/checkpoint_1000k.zip,1,1169888,2905f4e1ff9e2e63a6a3e3e10e44c07779738d4a7ce3c3684cd29059f74876bc,1000000,1000000
validation,stab_s2d_gated,2,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2/final.zip,1,1169238,073f137aca85265561cb347bae7ce0ffe29c40b795d1f8a9d0545bdb1df41254,1000000,1003520
validation,stab_s1_lr2e4,2,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2/checkpoint_500k.zip,1,1051783,305303475075de9e441d3828894445f7452b68520c58b168d5d64eaf3b675261,500000,500000
validation,stab_s1_lr2e4,2,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2/checkpoint_750k.zip,1,1051773,af581966e1f0f0f171284db12c92466207bf0d9ad0e2608e6990a51da908981c,750000,750000
validation,stab_s1_lr2e4,2,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2/checkpoint_1000k.zip,1,1051035,9c468dd806a06537edcc6516e2872f512787762075853c073f1dd2ab744e84cf,1000000,1000000
validation,stab_s1_lr2e4,2,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr2e4_s2/final.zip,1,1051724,805b36eac6957cb561036a94e08fc8441a062c3d55a5231c8a5b2c69c968fb47,1000000,1003520
validation,stab_s1_lr1e4,2,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2/checkpoint_500k.zip,1,1051639,59b52a6cb5bd442fbd97e220d6e965a10d08a63b40b667a83acdd802ef02fa78,500000,500000
validation,stab_s1_lr1e4,2,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2/checkpoint_750k.zip,1,1051629,0cab14764f4acc5b059944ad24c326387dd1615bdecbc75461a51673dc0c4281,750000,750000
validation,stab_s1_lr1e4,2,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2/checkpoint_1000k.zip,1,1051723,1703e2864e38982164b0c89f64af8b5f0f5e78b530d5b053928422aa7dad9c4b,1000000,1000000
validation,stab_s1_lr1e4,2,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s1_lr1e4_s2/final.zip,1,1051636,71b10e50cc9a9066aa97a44c883c23707ce6a0881fc4c04ccbffc487f2687b6e,1000000,1003520
validation,stab_s2d_gated,2,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2/checkpoint_500k.zip,1,1169267,15d8fb015784c8d0262c11ea6a4226f52db1216cecaf7bc3d605583f32eeb717,500000,500000
validation,stab_s2d_gated,2,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2/checkpoint_750k.zip,1,1169818,a7725c86a6169260675ff873cc5f8f618111ef273a7fe92fc336a6ce1eeb2c0b,750000,750000
validation,stab_s2d_gated,2,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2/checkpoint_1000k.zip,1,1169888,2905f4e1ff9e2e63a6a3e3e10e44c07779738d4a7ce3c3684cd29059f74876bc,1000000,1000000
validation,stab_s2d_gated,2,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab/stab_s2d_gated_s2/final.zip,1,1169238,073f137aca85265561cb347bae7ce0ffe29c40b795d1f8a9d0545bdb1df41254,1000000,1003520
