item,command,returncode,output,stage,variant,training_seed,timestamp
nproc,nproc,0,1,validate_only,stab_s1_lr2e4,2,2026-05-16 17:15:59
nproc_all,nproc --all,0,16,validate_only,stab_s1_lr2e4,2,2026-05-16 17:15:59
taskset_current_process,taskset -pc 2039,0,pid 2039's current affinity list: 0-15,validate_only,stab_s1_lr2e4,2,2026-05-16 17:15:59
free_h,free -h,0,"total        used        free      shared  buff/cache   available
Mem:            62Gi       3.7Gi        56Gi       0.0Ki       2.9Gi        58Gi
Swap:             0B          0B          0B",validate_only,stab_s1_lr2e4,2,2026-05-16 17:15:59
df_root,df -h /,0,"Filesystem      Size  Used Avail Use% Mounted on
overlay          79G  9.4G   66G  13% /",validate_only,stab_s1_lr2e4,2,2026-05-16 17:15:59
python_cpu_affinity,python runtime,0,"{""CUDA_VISIBLE_DEVICES"": """", ""MKL_NUM_THREADS"": ""1"", ""NUMEXPR_NUM_THREADS"": ""1"", ""OMP_NUM_THREADS"": ""1"", ""OPENBLAS_NUM_THREADS"": ""1"", ""hostname"": ""8a4832b5251c"", ""os_cpu_count"": 16, ""sched_affinity"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], ""sched_affinity_count"": 16}",validate_only,stab_s1_lr2e4,2,2026-05-16 17:15:59
nproc,nproc,0,1,validate_only,stab_s1_lr1e4,2,2026-05-16 17:16:05
nproc_all,nproc --all,0,16,validate_only,stab_s1_lr1e4,2,2026-05-16 17:16:05
taskset_current_process,taskset -pc 2068,0,pid 2068's current affinity list: 0-15,validate_only,stab_s1_lr1e4,2,2026-05-16 17:16:05
free_h,free -h,0,"total        used        free      shared  buff/cache   available
Mem:            62Gi       3.7Gi        55Gi       0.0Ki       3.2Gi        58Gi
Swap:             0B          0B          0B",validate_only,stab_s1_lr1e4,2,2026-05-16 17:16:05
df_root,df -h /,0,"Filesystem      Size  Used Avail Use% Mounted on
overlay          79G  9.4G   66G  13% /",validate_only,stab_s1_lr1e4,2,2026-05-16 17:16:05
python_cpu_affinity,python runtime,0,"{""CUDA_VISIBLE_DEVICES"": """", ""MKL_NUM_THREADS"": ""1"", ""NUMEXPR_NUM_THREADS"": ""1"", ""OMP_NUM_THREADS"": ""1"", ""OPENBLAS_NUM_THREADS"": ""1"", ""hostname"": ""8a4832b5251c"", ""os_cpu_count"": 16, ""sched_affinity"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], ""sched_affinity_count"": 16}",validate_only,stab_s1_lr1e4,2,2026-05-16 17:16:05
nproc,nproc,0,1,validate_only,stab_s2d_gated,2,2026-05-16 17:16:09
nproc_all,nproc --all,0,16,validate_only,stab_s2d_gated,2,2026-05-16 17:16:09
taskset_current_process,taskset -pc 2083,0,pid 2083's current affinity list: 0-15,validate_only,stab_s2d_gated,2,2026-05-16 17:16:09
free_h,free -h,0,"total        used        free      shared  buff/cache   available
Mem:            62Gi       3.7Gi        55Gi       0.0Ki       3.2Gi        58Gi
Swap:             0B          0B          0B",validate_only,stab_s2d_gated,2,2026-05-16 17:16:09
df_root,df -h /,0,"Filesystem      Size  Used Avail Use% Mounted on
overlay          79G  9.4G   66G  13% /",validate_only,stab_s2d_gated,2,2026-05-16 17:16:09
python_cpu_affinity,python runtime,0,"{""CUDA_VISIBLE_DEVICES"": """", ""MKL_NUM_THREADS"": ""1"", ""NUMEXPR_NUM_THREADS"": ""1"", ""OMP_NUM_THREADS"": ""1"", ""OPENBLAS_NUM_THREADS"": ""1"", ""hostname"": ""8a4832b5251c"", ""os_cpu_count"": 16, ""sched_affinity"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], ""sched_affinity_count"": 16}",validate_only,stab_s2d_gated,2,2026-05-16 17:16:09
nproc,nproc,0,1,train_preflight,stab_s1_lr1e4,2,2026-05-16 17:16:12
nproc_all,nproc --all,0,16,train_preflight,stab_s1_lr1e4,2,2026-05-16 17:16:12
