eval_phase,variant,training_seed,checkpoint_label,checkpoint_path,exists,size_bytes,sha256,checkpoint_step,model_num_timesteps
validation,s2d_confirm,0,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0/checkpoint_500k.zip,1,1169969,1412f171c1ba718d8c3ffa58940f667393e77c16d3be99549bae0988f2176437,500000,500000
validation,s2d_confirm,0,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0/checkpoint_750k.zip,1,1169889,1f2004a3349dd64eac2fecdf993877a14a2bb63ba5d808dbedbdaa82204f52ff,750000,750000
validation,s2d_confirm,0,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0/checkpoint_1000k.zip,1,1169826,3d079baf55f9bee443841cb9daf1f572d233c961a7c6a83e812b23ff5bfad620,1000000,1000000
validation,s2d_confirm,0,1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0/checkpoint_1250k.zip,1,1169971,0658374395ad3120e85c15f9230142b7e687f13b88b8c1d3896f46eae5ac0869,1250000,1250000
validation,s2d_confirm,0,1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0/checkpoint_1500k.zip,1,1169893,52c714f4678ee1a026f036b611c0a9e5b28f0259f8272422fc91a844c965a6ea,1500000,1500000
validation,s2d_confirm,0,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0/final.zip,1,1170029,2bfda8a9605291f136d3378f1d222140ed3dd686e12823be33463c6c0badcf8d,1500000,1503232
validation,s2d_confirm,1,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1/checkpoint_500k.zip,1,1169230,e04443b7b251596d8880fc646d9939f545b3359f2ae6917331850e5b6beae1d3,500000,500000
validation,s2d_confirm,1,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1/checkpoint_750k.zip,1,1169969,2c96acae9c5f291bfa040001b487c6fbc51e0b680535be11213b7620e4f3c36d,750000,750000
validation,s2d_confirm,1,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1/checkpoint_1000k.zip,1,1169970,8568af6f02f76e846673e8e19fdc120a85213678f60951a7b22b037142794618,1000000,1000000
validation,s2d_confirm,1,1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1/checkpoint_1250k.zip,1,1169265,e90b550cc4b4244ad0b6594ec21a2f41beb53364c74c1a8eda4f494d927db3e7,1250000,1250000
validation,s2d_confirm,1,1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1/checkpoint_1500k.zip,1,1169893,d447e2bdcfc947fadf2c74007ccadef6fc72688e78f3ed6bb28b24d6f4f627c3,1500000,1500000
validation,s2d_confirm,1,final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1/final.zip,1,1169893,0b2df42d7e8a7d6a6079fbdc99a17890fd3108cb6ec0b0a5f11b7603a7bc40a6,1500000,1503232
validation,s2d_confirm,2,500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2/checkpoint_500k.zip,1,1169264,6f5254de71864cc4121c10aefc913f710bf168e2a29a5c1ebfb9d831eb1a94a0,500000,500000
validation,s2d_confirm,2,750k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2/checkpoint_750k.zip,1,1169825,c4f58bfd8534a797de8d283082963ab19a6fa2996f13f5a799b89538059c00f9,750000,750000
validation,s2d_confirm,2,1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2/checkpoint_1000k.zip,1,1169882,ba78c8954c0a3f85d2ffd433cb96e838d3e1b93bdd88a6f50e381f602f5f467b,1000000,1000000
validation,s2d_confirm,2,1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2/checkpoint_1250k.zip,1,1170035,3bf83bd51c842b7cb7c69401a98aa3d9e15d5fc210d580750a80d9b72ffe45ae,1250000,1250000
validation,s2d_confirm,2,1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2/checkpoint_1500k.zip,1,1169893,9d3ceb18df42926fd7c3d50345306ce6a436a3e487287252a92eec140b86dfdd,1500000,1500000
