stage,variant,method_name,training_seed,command,config,out_dir,gpsi_checkpoint,gpsi_checkpoint_sha256,learning_rate,feature_adapter,s2_variant,s2_claim,train_steps,checkpoint_steps,n_envs,device,adapter_parameter_count
train,stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,0,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_preflight_s0 --result-dir results/env_v2_phase_n3pf_stab_confirm --table-prefix phase_n3pf_stab_confirm --status-file phase_n3pf_stab_confirm_status.txt --report-file PHASE_N3PF_STAB_CONFIRM_REPORT.md --terminal-prefix phase_n3pf_stab_confirm --stop-flag-mode confirm --train-steps 1500000 --checkpoint-steps 500000 750000 1000000 1250000 1500000 --seed 0 --n-envs 4 --device cpu --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_preflight_s0,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1500000,"[500000, 750000, 1000000, 1250000, 1500000]",4,cpu,-1
train,stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,0,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0 --result-dir results/env_v2_phase_n3pf_stab_confirm --table-prefix phase_n3pf_stab_confirm --status-file phase_n3pf_stab_confirm_status.txt --report-file PHASE_N3PF_STAB_CONFIRM_REPORT.md --terminal-prefix phase_n3pf_stab_confirm --stop-flag-mode confirm --train-steps 1500000 --checkpoint-steps 500000 750000 1000000 1250000 1500000 --seed 0 --n-envs 4 --device cpu --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1500000,"[500000, 750000, 1000000, 1250000, 1500000]",4,cpu,-1
train,stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,1,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1 --result-dir results/env_v2_phase_n3pf_stab_confirm --table-prefix phase_n3pf_stab_confirm --status-file phase_n3pf_stab_confirm_status.txt --report-file PHASE_N3PF_STAB_CONFIRM_REPORT.md --terminal-prefix phase_n3pf_stab_confirm --stop-flag-mode confirm --train-steps 1500000 --checkpoint-steps 500000 750000 1000000 1250000 1500000 --seed 1 --n-envs 4 --device cpu --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1500000,"[500000, 750000, 1000000, 1250000, 1500000]",4,cpu,-1
train,stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2 --result-dir results/env_v2_phase_n3pf_stab_confirm --table-prefix phase_n3pf_stab_confirm --status-file phase_n3pf_stab_confirm_status.txt --report-file PHASE_N3PF_STAB_CONFIRM_REPORT.md --terminal-prefix phase_n3pf_stab_confirm --stop-flag-mode confirm --train-steps 1500000 --checkpoint-steps 500000 750000 1000000 1250000 1500000 --seed 2 --n-envs 4 --device cpu --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1500000,"[500000, 750000, 1000000, 1250000, 1500000]",4,cpu,-1
train,stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,0,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0 --result-dir results/env_v2_phase_n3pf_stab_confirm --table-prefix phase_n3pf_stab_confirm --status-file phase_n3pf_stab_confirm_status.txt --report-file PHASE_N3PF_STAB_CONFIRM_REPORT.md --terminal-prefix phase_n3pf_stab_confirm --stop-flag-mode confirm --train-steps 1500000 --checkpoint-steps 500000 750000 1000000 1250000 1500000 --seed 0 --n-envs 4 --device cpu --heartbeat-seconds 300,configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1500000,"[500000, 750000, 1000000, 1250000, 1500000]",4,cpu,0
train,stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,1,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1 --result-dir results/env_v2_phase_n3pf_stab_confirm --table-prefix phase_n3pf_stab_confirm --status-file phase_n3pf_stab_confirm_status.txt --report-file PHASE_N3PF_STAB_CONFIRM_REPORT.md --terminal-prefix phase_n3pf_stab_confirm --stop-flag-mode confirm --train-steps 1500000 --checkpoint-steps 500000 750000 1000000 1250000 1500000 --seed 1 --n-envs 4 --device cpu --heartbeat-seconds 300,configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1500000,"[500000, 750000, 1000000, 1250000, 1500000]",4,cpu,0
train,stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2 --result-dir results/env_v2_phase_n3pf_stab_confirm --table-prefix phase_n3pf_stab_confirm --status-file phase_n3pf_stab_confirm_status.txt --report-file PHASE_N3PF_STAB_CONFIRM_REPORT.md --terminal-prefix phase_n3pf_stab_confirm --stop-flag-mode confirm --train-steps 1500000 --checkpoint-steps 500000 750000 1000000 1250000 1500000 --seed 2 --n-envs 4 --device cpu --heartbeat-seconds 300,configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1500000,"[500000, 750000, 1000000, 1250000, 1500000]",4,cpu,0
train,stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,0,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0 --result-dir results/env_v2_phase_n3pf_stab_confirm --table-prefix phase_n3pf_stab_confirm --status-file phase_n3pf_stab_confirm_status.txt --report-file PHASE_N3PF_STAB_CONFIRM_REPORT.md --terminal-prefix phase_n3pf_stab_confirm --stop-flag-mode confirm --train-steps 1500000 --checkpoint-steps 500000 750000 1000000 1250000 1500000 --seed 0 --n-envs 4 --device cpu --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s0,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1500000,"[500000, 750000, 1000000, 1250000, 1500000]",4,cpu,-1
train,stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,1,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1 --result-dir results/env_v2_phase_n3pf_stab_confirm --table-prefix phase_n3pf_stab_confirm --status-file phase_n3pf_stab_confirm_status.txt --report-file PHASE_N3PF_STAB_CONFIRM_REPORT.md --terminal-prefix phase_n3pf_stab_confirm --stop-flag-mode confirm --train-steps 1500000 --checkpoint-steps 500000 750000 1000000 1250000 1500000 --seed 1 --n-envs 4 --device cpu --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s1,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1500000,"[500000, 750000, 1000000, 1250000, 1500000]",4,cpu,-1
train,stab_s2d_gated,n3pf_stab_confirm_s2d_attention_like_gated_gpsi,2,python scripts/train_env_v2_gpsi_ppo_n3pf_stab.py --config configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2 --result-dir results/env_v2_phase_n3pf_stab_confirm --table-prefix phase_n3pf_stab_confirm --status-file phase_n3pf_stab_confirm_status.txt --report-file PHASE_N3PF_STAB_CONFIRM_REPORT.md --terminal-prefix phase_n3pf_stab_confirm --stop-flag-mode confirm --train-steps 1500000 --checkpoint-steps 500000 750000 1000000 1250000 1500000 --seed 2 --n-envs 4 --device cpu --validate-only,configs/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_gated.yaml,checkpoints/env_v2_gpsi_heada_ppo_n3pf_stab_confirm_s2d_s2,work_dirs/gpsi_heada_v1_nll/best.pth,c250e751b4b82feaf51e96b35bb323c08f65df5a061f21888cc684e7381bdd28,0.0003,gated_residual_no_z,S2-D,attention_like_fallback_only_not_attention_preserving,1500000,"[500000, 750000, 1000000, 1250000, 1500000]",4,cpu,-1
