method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,high,286,0.6083916083916084,0.3916083916083916,0.5734265734265734,0.959865486519135,4.861095008271964,0.8104875057518899,110.72027972027972,33.9513238083717,0.2888780714936989,0.32267994170913916,1.4617966235924256,0.13868902609241157,0.0,3.0076671604006306,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,medium,14,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3728922628374861,1.4629956734890024,0.14117259699810306,0.0,2.8449749233109443,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,high,286,0.6013986013986014,0.3986013986013986,0.5664335664335665,0.9597966742028604,4.869850406931137,0.8104944097829032,110.72727272727273,33.808803445867476,0.2878684737115537,0.32226624837453977,1.464095531870576,0.13727583935452933,0.0,3.010855673959296,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,medium,14,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3728922628374861,1.4629956734890024,0.14117259699810306,0.0,2.8449749233109443,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,high,286,0.5944055944055944,0.40559440559440557,0.5594405594405595,0.9595167959836056,4.879473309382836,0.8083556511706406,110.4020979020979,33.663410464530905,0.2858085588194538,0.32047782032836375,1.4657394697184922,0.13645099695460286,0.0,3.0180213008180226,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,medium,14,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3728922628374861,1.4629956734890024,0.14117259699810306,0.0,2.8449749233109443,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1000,high,287,0.5470383275261324,0.4529616724738676,0.49477351916376305,0.9460715479959054,5.420383416383591,0.7779514980648453,113.14285714285714,32.322330325029,0.24032547666433554,0.2737300551868594,1.5598865351780369,0.09640387281277447,0.0,3.562591276537617,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1000,medium,13,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.97008579203183,5.491964046002186,1.0601481371201003,118.46153846153847,40.686106336647065,0.22716014356064657,0.2625857712003997,1.5547731376174776,0.10341273873485277,0.0,3.6485454844288916,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1001,high,287,0.5505226480836237,0.44947735191637633,0.49825783972125437,0.9467824022980517,5.424426500209001,0.777562739957085,113.11846689895471,32.41901384126354,0.2394623581205621,0.2723266063580808,1.559212243477212,0.09634215327140316,0.0,3.5702672379115503,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1001,medium,13,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.97008579203183,5.491964046002186,1.0601481371201003,118.46153846153847,40.686106336647065,0.22716014356064657,0.2625857712003997,1.5547731376174776,0.10341273873485277,0.0,3.6485454844288916,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1002,high,288,0.5520833333333334,0.4479166666666667,0.4965277777777778,0.9504312512526507,5.424973019096847,0.7835794191600548,113.49652777777777,32.574303086904735,0.2367347397076955,0.26979937914640273,1.5588144209115027,0.09614276349006493,0.0,3.5793079273893125,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1002,medium,12,1.0,0.0,0.8333333333333334,0.9852879255133181,5.5763401724712125,1.1336120913426082,120.91666666666667,42.7418101826236,0.2217455862356443,0.2601233495120435,1.5500729618811828,0.10580232148572655,0.0,3.7033333375985005,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1000,high,285,0.6210526315789474,0.37894736842105264,0.5368421052631579,0.9570781077824893,4.73864462844881,0.8603292715131191,116.0701754385965,34.16226328269235,0.22638916796708072,0.26985206251973953,1.4894017332958973,0.12209899666717704,0.0,2.8508975632912854,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1000,medium,15,0.8,0.2,0.5333333333333333,0.9266829256711648,4.700588063435997,1.077112372716268,110.8,36.760703135306386,0.2494183061694886,0.29540644539517374,1.505994538072547,0.13301808989883063,0.0,2.6997722884539925,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1001,high,286,0.6293706293706294,0.3706293706293706,0.5454545454545454,0.9576100763732087,4.7214599345742005,0.8633139823283349,116.2132867132867,34.34883596571008,0.22734536916849968,0.27119031392738757,1.4886047554234372,0.12217462260801105,0.0,2.8330951895325303,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1001,medium,14,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.9234163281387933,4.659011608526173,1.126933393733842,110.64285714285714,37.797819430410996,0.24827056191990085,0.29438301197523353,1.5056515948588332,0.1334492669036534,0.0,2.673104244032821,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1002,high,286,0.6293706293706294,0.3706293706293706,0.541958041958042,0.9575822070671741,4.728721744143062,0.8666105937290859,115.8006993006993,34.34979916530929,0.22652967615713077,0.2704370179470371,1.4885464709460536,0.12221235721474594,0.0,2.831069837802915,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1002,medium,14,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.9234163281387933,4.659011608526173,1.126933393733842,110.64285714285714,37.797819430410996,0.24827056191990085,0.29438301197523353,1.5056515948588332,0.1334492669036534,0.0,2.673104244032821,0
