method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_density,50,0.64,0.36,0.6,0.9425466687975175,4.637472968618212,0.8225073555111885,111.5,33.909592687906176,0.31680413374459365,0.35253479357382517,1.4682135498042905,0.1390629515040212,0.0,2.7703164137868908,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_speed,50,0.54,0.46,0.54,0.9577705475963839,4.461542829295176,0.7254288952052593,111.36,32.446302590603125,0.2632905173584327,0.3141579216105438,1.4509645614477007,0.15824016798678953,0.0,2.82697219052927,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_high_threat,50,0.62,0.38,0.58,0.9686721024780387,4.931150739451462,0.8570077282190323,112.34,34.48946027429755,0.2948588110572009,0.3242064516809692,1.44465356408027,0.1420979551131395,0.0,3.134819085380028,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_id,50,0.58,0.42,0.5,0.9633676170801111,5.371075515532408,0.8378773894906044,106.88,33.58951273552314,0.27388309442686276,0.29665674971749384,1.4817701300464372,0.11944116185433179,0.0,3.354912980474257,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_mixed_ood,50,0.54,0.46,0.52,0.940270728452252,4.8153337649816255,0.771695716381073,106.74,31.948109109385317,0.30997763836280484,0.34823637229868754,1.4707981365341265,0.13802798087198137,0.0,2.875157854510103,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,eval_flow_sudden_threat,50,0.74,0.26,0.72,0.9706955151270755,4.963086190034131,0.8633657366037368,113.72,36.932236312063466,0.2897752169439903,0.3143468112892526,1.4547155336127695,0.1359593390777997,0.0,3.038270611338123,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_best_by_eval,1500000,best_by_eval,eval_flow_high_density,50,0.5,0.5,0.46,0.9469330240085331,5.257380803797207,0.7406794887781143,113.28,31.398831758308457,0.27982833927296324,0.31132437635569005,1.5595936166136934,0.09627168704974666,0.0,3.327122206298041,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_best_by_eval,1500000,best_by_eval,eval_flow_high_speed,50,0.4,0.6,0.26,0.8976147797015552,4.8501227089495345,0.7512500974535942,106.02,27.67230786775908,0.23438832900145867,0.2839232396689988,1.5690566263963073,0.09658076266350234,0.0,3.1414635781829974,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_best_by_eval,1500000,best_by_eval,eval_flow_high_threat,50,0.5,0.5,0.46,0.9617533778220992,5.499577255692636,0.7847666323184967,115.02,31.95331524908498,0.24095909462459075,0.2719261071369068,1.556644155860418,0.0943898171513283,0.0,3.6829973533746134,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_best_by_eval,1500000,best_by_eval,eval_flow_id,50,0.76,0.24,0.7,0.9658335646812759,5.817257857180643,0.9331817120313645,115.76,37.22007342216066,0.2200974537786745,0.2472696638917563,1.5561049679706938,0.09685582932807973,0.0,3.8579338892775183,0
