method_key,method,checkpoint,checkpoint_step,checkpoint_label,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,high,286,0.6083916083916084,0.3916083916083916,0.5734265734265734,0.959865486519135,4.861095008271964,0.8104875057518899,110.72027972027972,33.9513238083717,0.2888780714936989,0.32267994170913916,1.4617966235924256,0.13868902609241157,0.0,3.0076671604006306,0
attention_full,attention_full_1500k,attention_full_1500k,1500000,attention_full_1500k,medium,14,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3728922628374861,1.4629956734890024,0.14117259699810306,0.0,2.8449749233109443,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_best_by_eval,1500000,best_by_eval,high,287,0.5470383275261324,0.4529616724738676,0.49477351916376305,0.9460715479959054,5.420383416383591,0.7779514980648453,113.14285714285714,32.322330325029,0.24032547666433554,0.2737300551868594,1.5598865351780369,0.09640387281277447,0.0,3.562591276537617,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_best_by_eval,1500000,best_by_eval,medium,13,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.97008579203183,5.491964046002186,1.0601481371201003,118.46153846153847,40.686106336647065,0.22716014356064657,0.2625857712003997,1.5547731376174776,0.10341273873485277,0.0,3.6485454844288916,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,high,287,0.5470383275261324,0.4529616724738676,0.49477351916376305,0.9460715479959054,5.420383416383591,0.7779514980648453,113.14285714285714,32.322330325029,0.24032547666433554,0.2737300551868594,1.5598865351780369,0.09640387281277447,0.0,3.562591276537617,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,medium,13,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.97008579203183,5.491964046002186,1.0601481371201003,118.46153846153847,40.686106336647065,0.22716014356064657,0.2625857712003997,1.5547731376174776,0.10341273873485277,0.0,3.6485454844288916,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1000k,1000000,1000k,high,291,0.3951890034364261,0.6048109965635738,0.36769759450171824,0.9230002889732285,4.983620906885702,0.6784268298355984,102.62542955326461,28.51075297143181,0.27242779214287455,0.30764741866917544,1.564135462377676,0.08164609227193825,0.0,3.0668336314917486,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1000k,1000000,1000k,medium,9,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.9775983391527503,5.243609153922862,0.6243146749006377,109.77777777777777,33.65678234778324,0.28823805577843076,0.33656874047069674,1.565369254875149,0.08832624192717292,0.0,3.432241405027485,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,high,287,0.3867595818815331,0.6132404181184669,0.33797909407665505,0.9540886311041108,5.970550599009793,0.7019338543666365,115.80836236933798,29.089719211326592,0.24933990816794108,0.28066282742931564,1.6189684995271771,0.06036545718649076,0.0,3.8563320872297706,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,medium,13,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.9842067363022312,6.040424311688601,0.8233170234240018,127.15384615384616,34.73878689737006,0.2340966752756778,0.2823095012952693,1.6097189190701895,0.07335474981096454,0.0,3.8738938215145478,0
