method_key,method,wall_time,local_steps,total_steps,target_total_steps,steps,target_steps,percent,steps_per_second,eta_minutes,recent_episode_reward_mean
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:54:52,1388,501388,502048,501388,502048,67.7734375,277.31337105603166,0.03966631669475985,25.81724955555556
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:54:58,2720,502720,502048,502720,502048,132.8125,271.5606074184786,0.0,27.73272090476191
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:55:03,4068,504068,502048,504068,502048,198.6328125,270.852420491009,0.0,25.80796471875
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:55:43,7552,507552,1500000,507552,1500000,0.7552,251.6599328395906,65.72679175966877,28.548871119999994
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:56:13,14548,514548,1500000,514548,1500000,1.4548,242.36278296838907,67.76700530849317,28.488368259999998
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:56:43,21564,521564,1500000,521564,1500000,2.1564,239.5169048378879,68.08399047116906,27.642294200000002
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:57:13,28760,528760,1500000,528760,1500000,2.876,239.59260008449365,67.56190853818015,29.6800734
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:57:43,36348,536348,1500000,536348,1500000,3.6348,242.2379503926172,66.30202509819519,26.600520040000003
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:58:13,43388,543388,1500000,543388,1500000,4.3388,240.96757800074428,66.16464117543684,28.272009119999996
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:58:43,50400,550400,1500000,550400,1500000,5.04,239.9315242010955,65.96326480801143,25.069751260000004
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:59:13,57504,557504,1500000,557504,1500000,5.7504,239.53466243292738,65.5782612300012,24.703552520000002
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 12:59:43,65176,565176,1500000,565176,1500000,6.5176,241.32577880748255,64.5616895011836,27.94172714
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:00:13,72220,572220,1500000,572220,1500000,7.222,240.67130576628463,64.24945404590976,28.32356766
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:00:43,79296,579296,1500000,579296,1500000,7.9296,240.23395828509888,63.87551025761241,23.357592559999997
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:01:13,86480,586480,1500000,586480,1500000,8.648,240.16893474491553,63.3942659965754,26.6471237
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:01:43,94160,594160,1500000,594160,1500000,9.416,241.3850164435217,62.544616711392884,27.461183020000004
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:02:13,101180,601180,1500000,601180,1500000,10.118,240.8516443406195,62.197347144318044,22.12844008
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:02:43,108208,608208,1500000,608208,1500000,10.8208,240.40566099598664,61.82549919341594,26.5943612
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:03:13,115372,615372,1500000,615372,1500000,11.5372,240.30054468725334,61.35566616875039,27.843403099999996
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:03:44,122884,622884,1500000,622884,1500000,12.2884,240.2012534391765,60.859798983945375,24.769043020000005
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:04:14,130472,630472,1500000,630472,1500000,13.0472,240.90619354537304,60.156748649983705,30.325912480000003
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:04:44,137492,637492,1500000,637492,1500000,13.7492,240.53808551072473,59.76240021538044,26.173759580000002
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:05:14,144456,644456,1500000,644456,1500000,14.4456,240.11558959711863,59.38417697322962,30.423127220000005
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:05:44,151556,651556,1500000,651556,1500000,15.1556,239.93827712751306,58.934879013982275,28.7529769
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:06:14,159156,659156,1500000,659156,1500000,15.9156,240.54560724063845,58.259499424768926,30.353224520000005
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:06:44,166208,666208,1500000,666208,1500000,16.6208,240.30403784768896,57.82896308276486,29.91515766
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:07:14,173296,673296,1500000,673296,1500000,17.3296,240.134926217848,57.37774265914311,26.75148824
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:07:44,180248,680248,1500000,680248,1500000,18.0248,239.79706185524188,56.975399229791165,30.128240339999998
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:08:14,187768,687768,1500000,687768,1500000,18.7768,240.21314815625166,56.3549501927948,28.369505800000002
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:08:44,194892,694892,1500000,694892,1500000,19.4892,240.11106753644157,55.88441550962723,29.919632420000003
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:09:14,201856,701856,1500000,701856,1500000,20.1856,239.82458130213317,55.46720827270628,30.82085526
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:09:44,208932,708932,1500000,708932,1500000,20.8932,239.6878859789258,55.006812767441616,28.061934480000005
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:10:14,216636,716636,1500000,716636,1500000,21.6636,240.25397146746394,54.34277147187457,30.1750025
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:10:44,223672,723672,1500000,723672,1500000,22.3672,240.0668497659027,53.896654255333715,27.6208326
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:11:14,230656,730656,1500000,730656,1500000,23.0656,239.83805803265264,53.46274108946588,28.726128940000002
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:11:44,237880,737880,1500000,737880,1500000,23.788,239.8649794907097,52.95479159554414,28.641412639999995
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:12:14,245532,745532,1500000,745532,1500000,24.5532,240.30834357200524,52.32638401046152,28.59214144
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:12:44,252692,752692,1500000,752692,1500000,25.2692,240.2611816376804,51.83997368378871,30.090535219999996
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:13:14,259800,759800,1500000,759800,1500000,25.98,240.1672628149581,51.366978671742245,28.98774022
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:13:44,266892,766892,1500000,766892,1500000,26.6892,240.06420252790082,50.89666238449945,25.25304316
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:14:16,274436,774436,1500000,774436,1500000,27.4436,240.08271148373697,50.36903015047998,27.88149842
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:14:46,282088,782088,1500000,782088,1500000,28.2088,240.46340732188833,49.758922296161195,28.22527222
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:15:16,289020,789020,1500000,789020,1500000,28.902,240.22754265858484,49.32684460543977,25.75894354
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:15:46,296204,796204,1500000,796204,1500000,29.6204,240.20874629114277,48.832249093528745,29.420868979999995
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:16:16,303368,803368,1500000,803368,1500000,30.3368,240.17344689665424,48.34228547475235,30.87048774
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:16:46,311068,811068,1500000,811068,1500000,31.1068,240.55373261275113,47.73237095632312,23.885847599999998
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:17:16,318216,818216,1500000,818216,1500000,31.8216,240.50032132364802,47.247615321790235,30.88674326
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:17:46,325224,825224,1500000,825224,1500000,32.5224,240.3468383477201,46.791822784022685,32.12092938
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:18:16,332404,832404,1500000,832404,1500000,33.2404,240.3227436010985,46.29857263309448,28.844522720000004
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:18:47,339972,839972,1500000,839972,1500000,33.9972,240.32535582097694,45.77322533899057,25.822612139999997
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:19:17,347584,847584,1500000,847584,1500000,34.7584,240.602363612732,45.19323848996718,29.03763144
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:19:47,354512,854512,1500000,854512,1500000,35.4512,240.40447602863736,44.750137397823686,29.051695019999997
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:20:17,361568,861568,1500000,861568,1500000,36.1568,240.30008375098885,44.280189866099235,27.05985408
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:20:48,368644,868644,1500000,868644,1500000,36.8644,240.0857008361628,43.82851608135022,29.219146079999994
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:21:18,376152,876152,1500000,876152,1500000,37.6152,240.27916626259912,43.27244358465669,26.440270840000004
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:21:48,383260,883260,1500000,883260,1500000,38.326,240.21492977493708,42.7908457214988,24.650952739999997
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:22:18,390340,890340,1500000,890340,1500000,39.034,240.13623418710205,42.313481072094525,23.30007806
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:22:48,397336,897336,1500000,897336,1500000,39.7336,240.00846738516924,41.850190159668806,25.705126399999997
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:23:18,404980,904980,1500000,904980,1500000,40.498,240.26954656492939,41.274477526514474,26.374833499999994
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:23:48,412056,912056,1500000,912056,1500000,41.2056,240.19157680336644,40.79687887926521,31.425167220000002
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:24:18,419180,919180,1500000,919180,1500000,41.918,240.14267709391515,40.310757964722534,29.09010626
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:24:48,426364,926364,1500000,926364,1500000,42.6364,240.12986637438934,39.814289427429884,22.798877279999996
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:25:18,434032,934032,1500000,934032,1500000,43.4032,240.38690184854224,39.24007476057582,29.011572459999996
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:25:48,441136,941136,1500000,941136,1500000,44.1136,240.3272666120852,38.75715032799201,29.518418820000008
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:26:18,448364,948364,1500000,948364,1500000,44.8364,240.33642223434845,38.25443204928992,29.508718520000002
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:26:48,455516,955516,1500000,955516,1500000,45.5516,240.30404212674986,37.763548432309804,28.073465759999998
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:27:19,462852,962852,1500000,962852,1500000,46.2852,240.24279479215164,37.26424625725812,33.37274256
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:27:49,470488,970488,1500000,970488,1500000,47.0488,240.46050431784585,36.70124549158668,27.067292659999993
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:28:19,477356,977356,1500000,977356,1500000,47.7356,240.28595154544604,36.25152980150754,27.546922480000003
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:28:49,484332,984332,1500000,984332,1500000,48.4332,240.16954365716623,35.78499811339514,32.5542183
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:29:20,491524,991524,1500000,991524,1500000,49.1524,240.113332820664,35.29416671888651,27.31604158
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:29:50,498920,998920,1500000,998920,1500000,49.892,240.20525264858847,34.76748839273315,29.295617940000007
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:30:20,505812,1005812,1500000,1005812,1500000,50.5812,240.056035866847,34.310600176848816,21.404433160000004
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:30:50,512872,1012872,1500000,1012872,1500000,51.2872,239.98844601680582,33.82996196171652,26.734868960000004
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:31:20,520196,1020196,1500000,1020196,1500000,52.0196,239.9821494879074,33.32220063199444,27.870006820000004
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:31:50,527824,1027824,1500000,1027824,1500000,52.7824,240.17591170240394,32.76598366680097,28.2196663
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:32:20,534852,1034852,1500000,1034852,1500000,53.4852,240.09534084923015,32.28911747827248,28.242359020000002
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:32:50,541904,1041904,1500000,1041904,1500000,54.1904,240.0282688844825,31.808475596713027,28.922707220000003
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:33:20,548868,1048868,1500000,1048868,1500000,54.8868,239.90201529806313,31.341406854481605,27.64854396
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:33:50,556576,1056576,1500000,1056576,1500000,55.6576,240.1214599298964,30.777757232350794,27.1187862
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:34:20,563540,1063540,1500000,1063540,1500000,56.354,240.01792933340224,30.307458086719677,29.982910819999997
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:34:50,570636,1070636,1500000,1070636,1500000,57.0636,239.97335861969955,29.820254664215966,30.32725206
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:35:20,577720,1077720,1500000,1077720,1500000,57.772,239.92421767980875,29.3342625769966,28.06970296
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:35:50,585148,1085148,1500000,1085148,1500000,58.5148,240.0184672426061,28.806950062768536,30.005936120000005
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:36:20,592020,1092020,1500000,1092020,1500000,59.202,239.88514770140924,28.34550922314863,25.773091079999993
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:36:50,599088,1099088,1500000,1099088,1500000,59.9088,239.8335918413737,27.86042862205084,30.0573357
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:37:21,606212,1106212,1500000,1106212,1500000,60.6212,239.71911647915104,27.378431181161748,25.41898702
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:37:51,613776,1113776,1500000,1113776,1500000,61.3776,239.8646121516581,26.836249869975536,26.163213800000005
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:38:21,620916,1120916,1500000,1120916,1500000,62.0916,239.84247279516177,26.3425680740985,28.368361360000005
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:38:51,628008,1128008,1500000,1128008,1500000,62.8008,239.8020179255174,25.854105483767647,26.494916559999997
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:39:21,635004,1135004,1500000,1135004,1500000,63.5004,239.72703077486193,25.375806170059004,28.74818702
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:39:51,642788,1142788,1500000,1142788,1500000,64.2788,239.94746586287104,24.811820003699278,28.799695140000004
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:40:21,649836,1149836,1500000,1149836,1500000,64.9836,239.89141735612995,24.327951082979993,25.908492539999997
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:40:51,656808,1156808,1500000,1156808,1500000,65.6808,239.8085957223209,23.85180001341492,24.9265275
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:41:21,663980,1163980,1500000,1163980,1500000,66.398,239.79979913245083,23.354203604816405,26.931266539999996
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:41:51,671688,1171688,1500000,1171688,1500000,67.1688,239.98289565692986,22.80106943325258,29.031333760000003
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:42:21,678812,1178812,1500000,1178812,1500000,67.8812,239.95569939836275,22.30884011821833,28.483190940000004
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:42:51,685856,1185856,1500000,1185856,1500000,68.5856,239.90084826618545,21.824571989524394,22.896720080000005
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:43:21,692980,1192980,1500000,1192980,1500000,69.298,239.87456011314924,21.331982839640443,29.409438879999996
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,2026-05-13 13:43:53,700420,1200420,1500000,1200420,1500000,70.042,239.84921347219512,20.817245667469415,25.535796440000002
