method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,high,286,0.6083916083916084,0.3916083916083916,0.5734265734265734,0.959865486519135,4.861095008271964,0.8104875057518899,110.72027972027972,33.9513238083717,0.2888780714936989,0.32267994170913916,1.4617966235924256,0.13868902609241157,0.0,3.0076671604006306,0
attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,medium,14,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3728922628374861,1.4629956734890024,0.14117259699810306,0.0,2.8449749233109443,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,high,287,0.5470383275261324,0.4529616724738676,0.49477351916376305,0.9460715479959054,5.420383416383591,0.7779514980648453,113.14285714285714,32.322330325029,0.24032547666433554,0.2737300551868594,1.5598865351780369,0.09640387281277447,0.0,3.562591276537617,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,medium,13,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.97008579203183,5.491964046002186,1.0601481371201003,118.46153846153847,40.686106336647065,0.22716014356064657,0.2625857712003997,1.5547731376174776,0.10341273873485277,0.0,3.6485454844288916,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_1000k.zip,1000000,1000k,high,293,0.45733788395904434,0.5426621160409556,0.4197952218430034,0.9417068042128828,5.719181048603421,0.6901250939066093,108.4334470989761,30.446218721389343,0.25596810687879157,0.28866666914102285,1.5495175328795063,0.0739303795849112,0.0,3.618601011051338,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_1000k.zip,1000000,1000k,medium,7,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.9515060121352842,6.121660616839232,0.927241040127618,109.42857142857143,33.09199705642461,0.21917623853714077,0.2503522722507685,1.557723750005305,0.06923586264903142,0.0,4.01212328161227,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_1250k.zip,1250000,1250k,high,286,0.5244755244755245,0.4755244755244755,0.4405594405594406,0.9255869400387418,5.548876030356143,0.818533038733514,116.95804195804196,31.15450729243573,0.24276328602829134,0.27554116141680446,1.56241469781793,0.09020110245538414,0.0,3.499235085659145,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_1250k.zip,1250000,1250k,medium,14,0.7857142857142857,0.21428571428571427,0.5714285714285714,0.9632982641552419,5.5285379666402665,1.162732298885073,126.71428571428571,37.65154149197041,0.2045665613029768,0.23945564809269176,1.5462479444335575,0.09669544720842538,0.0,3.6506389852106134,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_1500k.zip,1500000,1500k,high,289,0.4671280276816609,0.532871972318339,0.4186851211072664,0.9074491247673466,5.132905781471889,0.7433511945821835,106.91695501730104,29.476565584303245,0.2655371570514633,0.3004575925883143,1.558134164156663,0.08852729741392504,0.0,3.1615535156889685,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/checkpoint_1500k.zip,1500000,1500k,medium,11,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.977358385922377,5.20308748020178,0.8577971675179221,114.72727272727273,37.06041079374218,0.2679438737660882,0.311454940357016,1.5530167856309192,0.09030049452156796,0.0,3.2262106886814736,0
