method,seed,episode,success,collision,episode_min_distance,steps,turn_step,turning_obstacle_id,risk_at_turn,risk_max_after_turn,risk_rise_time_0p3,risk_rise_time_0p5,risk_rise_time_0p7,sigma_trace_at_turn,sigma_trace_max_after_turn,sigma_rise_time_2x,R_sum_at_turn,R_sum_max_after_turn,R_bar_at_turn,R_bar_max_after_turn,w_risk_at_turn,w_risk_max_after_turn,risk_rank_at_turn,risk_rank_best_after_turn,reaction_time
risk_full_rbar,0,0,1,0,1.0079402923583984,32,15,2,1.0144443876924925e-05,0.003066709265112877,nan,nan,nan,0.8261346817016602,1.9649858474731445,0.6000000000000001,1.0144443876924925e-05,0.40273433923721313,1.0144443876576938e-05,0.38228613502552355,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,1,1,0,0.8482375741004944,34,15,2,3.17985141009558e-05,0.00017965416191145778,nan,nan,nan,0.511732280254364,2.0562703609466553,0.8000000000000003,3.17985141009558e-05,0.860962450504303,3.1798514090238156e-05,0.6967532192659908,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,2,1,0,1.3413019180297852,34,15,0,5.702528227402581e-09,2.9471861395791166e-08,nan,nan,nan,0.2732973098754883,0.8386718034744263,3.6000000000000005,5.702528227402581e-09,0.03845293074846268,5.702528227402581e-09,0.038433989426053,0.3333333432674408,1.0,1.0,1.0,nan
risk_full_rbar,0,3,1,0,0.8194933533668518,32,15,1,0.01819154992699623,0.025418385863304138,nan,nan,nan,1.9452210664749146,2.140223503112793,nan,0.030842237174510956,0.3408895432949066,0.030832461400639454,0.3282713107147343,0.5898258686065674,1.0,1.0,1.0,nan
risk_full_rbar,0,4,1,0,2.1238222122192383,33,15,2,1.8531161848078792e-12,2.9870909656892763e-06,nan,nan,nan,0.7755845785140991,1.6453436613082886,0.8000000000000003,5.8223988162353635e-05,0.1854255348443985,5.822398809655989e-05,0.18332922171171767,3.182736563189792e-08,0.9875178337097168,2.0,1.0,0.20000000000000018
risk_full_rbar,0,5,1,0,1.2508786916732788,36,15,2,0.004971490241587162,0.0077455006539821625,nan,nan,nan,1.2719106674194336,1.7717149257659912,nan,0.004971490241587162,0.3305017352104187,0.004971449284013067,0.31897153624884705,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,6,1,0,1.1905871629714966,34,15,2,0.0018612825078889728,0.007598524447530508,nan,nan,nan,1.2873480319976807,2.2824554443359375,nan,0.5203887820243835,0.5339928865432739,0.47800001945117515,0.48842735376443647,0.0035767152439802885,1.0,2.0,1.0,0.20000000000000018
risk_full_rbar,0,7,1,0,1.5110598802566528,39,15,2,3.290157382651593e-11,1.5714866208327294e-07,nan,nan,nan,0.3073485791683197,0.8922727704048157,3.0,3.290157382651593e-11,0.0004097027413081378,3.290157382651593e-11,0.00040970271838440563,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,8,1,0,1.1176557540893555,33,15,1,2.819186661895401e-08,2.0972795027773827e-05,nan,nan,nan,1.3118081092834473,1.8737543821334839,nan,8.757421164773405e-05,0.2796156406402588,8.757421142385809e-05,0.27254930990521026,0.0003219197387807071,1.0,2.0,1.0,nan
risk_full_rbar,0,9,1,0,1.317192792892456,32,15,2,0.014932513236999512,0.061915140599012375,nan,nan,nan,0.9974572062492371,1.032560110092163,nan,0.014932513236999512,0.21764229238033295,0.014931403452290486,0.2142697398024514,1.0,1.0,1.0,1.0,0.20000000000000018
