method,seed,episode,success,collision,episode_min_distance,steps,turn_step,turning_obstacle_id,risk_at_turn,risk_max_after_turn,risk_rise_time_0p3,risk_rise_time_0p5,risk_rise_time_0p7,sigma_trace_at_turn,sigma_trace_max_after_turn,sigma_rise_time_2x,R_sum_at_turn,R_sum_max_after_turn,R_bar_at_turn,R_bar_max_after_turn,w_risk_at_turn,w_risk_max_after_turn,risk_rank_at_turn,risk_rank_best_after_turn,reaction_time
risk_full_rbar,0,0,1,0,1.5914018154144287,35,15,1,3.2749525949094802e-18,5.353807864594273e-06,nan,nan,nan,0.7469143867492676,1.730496883392334,0.6000000000000001,3.2749525949094802e-18,0.02644590474665165,3.2749525949094802e-18,0.026439741173496557,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,1,1,0,1.0868268013000488,35,15,2,1.317653095611604e-05,0.00040810019709169865,nan,nan,nan,0.47261807322502136,1.957466959953308,0.8000000000000003,1.317653095611604e-05,0.4037972092628479,1.3176530955353464e-05,0.3831933054240054,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,2,1,0,1.4039437770843506,34,15,0,6.409304337262611e-11,8.011545560293598e-08,nan,nan,nan,0.37142413854599,1.6213687658309937,2.6000000000000005,6.409304337262611e-11,0.14010652899742126,6.409304337262611e-11,0.1391969143420457,0.3333333432674408,1.0,1.0,1.0,0.8000000000000003
risk_full_rbar,0,3,1,0,1.0793898105621338,32,15,2,0.14598508179187775,0.1579253077507019,nan,nan,nan,1.2919256687164307,1.3981293439865112,nan,0.15385529398918152,0.25438201427459717,0.15265268697907153,0.24903337848669987,0.9488466382026672,0.9488466382026672,1.0,1.0,0.20000000000000018
risk_full_rbar,0,4,1,0,1.9851847887039185,33,15,2,2.102117091506983e-11,1.9463564967736602e-05,nan,nan,nan,0.7726732492446899,1.6535322666168213,0.8000000000000003,1.4661510476798867e-06,0.266794353723526,1.4661510476788362e-06,0.2606394626967967,1.4337657376017887e-05,0.8890188336372375,2.0,1.0,0.20000000000000018
risk_full_rbar,0,5,1,0,1.3550328016281128,36,15,2,0.0036242103669792414,0.010618162341415882,nan,nan,nan,1.3645243644714355,2.3548738956451416,nan,0.0036242103669792414,0.5596826076507568,0.003624194499181413,0.507741902844636,1.0,1.0,1.0,1.0,1.0
risk_full_rbar,0,6,1,0,1.0848519802093506,36,15,1,0.5157653093338013,0.5157653093338013,0.0,0.0,nan,1.3717617988586426,1.924088954925537,nan,0.5169615745544434,0.7720255255699158,0.47535154574245586,0.6481057147282235,0.997685968875885,0.997685968875885,1.0,1.0,0.20000000000000018
risk_full_rbar,0,7,1,0,2.059795618057251,40,15,1,3.3925373529596588e-18,5.734036889748495e-08,nan,nan,nan,0.7265545725822449,1.8520585298538208,0.8000000000000003,3.3925373529596588e-18,3.0265728128142655e-05,3.3925373529596588e-18,3.0265728118901376e-05,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,8,1,0,1.1691044569015503,35,15,1,7.161033543923168e-09,9.315963325207122e-06,nan,nan,nan,1.3204375505447388,1.8418536186218262,nan,0.0006710864836350083,0.24550104141235352,0.0006710863828921793,0.24068493803990432,1.067080575012369e-05,0.9824733734130859,2.0,1.0,0.20000000000000018
risk_full_rbar,0,9,1,0,1.151769757270813,32,15,2,0.05930190533399582,0.10050894320011139,nan,nan,nan,0.9583683013916016,1.3162826299667358,nan,0.05930190533399582,0.5205197334289551,0.05923248699622192,0.47810104422838895,1.0,1.0,1.0,1.0,1.0
