method,seed,episode,success,collision,episode_min_distance,steps,turn_step,turning_obstacle_id,risk_at_turn,risk_max_after_turn,risk_rise_time_0p3,risk_rise_time_0p5,risk_rise_time_0p7,sigma_trace_at_turn,sigma_trace_max_after_turn,sigma_rise_time_2x,R_sum_at_turn,R_sum_max_after_turn,R_bar_at_turn,R_bar_max_after_turn,w_risk_at_turn,w_risk_max_after_turn,risk_rank_at_turn,risk_rank_best_after_turn,reaction_time
risk_full_rbar,0,0,1,0,1.3069751262664795,33,15,2,1.223496859381612e-08,0.0002382267703069374,nan,nan,nan,0.8029352426528931,1.8854948282241821,0.6000000000000001,1.223496859381612e-08,0.11789190769195557,1.223496859381612e-08,0.11734875346990473,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,1,1,0,0.9230955243110657,35,15,2,2.0930681330355583e-06,6.552986451424658e-05,nan,nan,nan,0.49747782945632935,2.084714651107788,0.8000000000000003,2.0930681330355583e-06,0.7433465123176575,2.0930681330325018e-06,0.6311627895335089,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,2,1,0,1.2037283182144165,34,15,0,9.513153598206259e-10,4.787093033087331e-08,nan,nan,nan,0.33093225955963135,1.2200980186462402,3.0,9.513153598206259e-10,0.2793062925338745,9.513153598206259e-10,0.27226291700589433,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,3,1,0,0.8644817471504211,33,15,1,0.009877479635179043,0.013714950531721115,nan,nan,nan,2.007550001144409,2.2176003456115723,nan,0.1006695106625557,0.3886203467845917,0.10033081023540022,0.3701702315169751,0.0981178879737854,1.0,2.0,1.0,0.6000000000000001
risk_full_rbar,0,4,1,0,1.4674022197723389,32,15,2,4.876415382604193e-10,5.415730629465543e-05,nan,nan,nan,0.8515507578849792,1.8730388879776,0.6000000000000001,0.003971521742641926,0.3088005483150482,0.003971500861856105,0.2993455180719351,1.2278455585601478e-07,1.0,2.0,1.0,0.20000000000000018
risk_full_rbar,0,5,1,0,1.099703311920166,36,15,2,0.010074295103549957,0.024215348064899445,nan,nan,nan,1.3823583126068115,2.2565250396728516,nan,0.010074295103549957,0.5971410274505615,0.01007395429920743,0.5350120628551623,1.0,1.0,1.0,1.0,0.6000000000000001
risk_full_rbar,0,6,1,0,1.1096974611282349,35,15,2,0.0011801413493230939,0.004867101088166237,nan,nan,nan,1.2878130674362183,2.27459979057312,nan,0.3280126452445984,0.6685407757759094,0.31673392143688667,0.5840191879380371,0.0035978532396256924,1.0,2.0,1.0,0.20000000000000018
risk_full_rbar,0,7,1,0,1.4040735960006714,38,15,2,3.003819131208729e-07,1.7896141798701137e-05,nan,nan,nan,0.3120202422142029,1.1850839853286743,2.4000000000000004,3.003819131208729e-07,0.001638585003092885,3.0038191312086387e-07,0.0016385835365822865,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,8,1,0,1.141227126121521,35,15,0,0.0007145148701965809,0.0007145148701965809,nan,nan,nan,2.3355095386505127,2.3355095386505127,nan,0.0007145148701965809,0.4573046565055847,0.0007145147486024896,0.4278848879563536,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,9,1,0,1.0198721885681152,32,15,2,0.1255847066640854,0.1255847066640854,nan,nan,nan,0.9901012182235718,1.0422940254211426,nan,0.1255847066640854,0.6007040739059448,0.12492862480617127,0.5375503808809283,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,10,1,0,1.2924985885620117,38,15,0,0.05375650152564049,0.06708726286888123,nan,nan,nan,1.8141977787017822,2.189681053161621,nan,0.05375650152564049,0.4554445147514343,0.05370478015441024,0.4263641024636768,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,11,1,0,1.4060022830963135,33,15,2,5.133390732225962e-05,0.0015339050441980362,nan,nan,nan,1.4124807119369507,2.2883291244506836,nan,5.133390732225962e-05,0.10182954370975494,5.133390727716843e-05,0.10147903192183153,1.0,1.0,1.0,1.0,0.20000000000000018
risk_full_rbar,0,12,1,0,1.3759386539459229,34,15,1,0.006241329479962587,0.012360187247395515,nan,nan,nan,1.4528710842132568,1.513114094734192,nan,0.006241335067898035,0.34027135372161865,0.006241254026957328,0.3277196266341521,0.9999991059303284,1.0,1.0,1.0,0.20000000000000018
