method,seed,episode,episode_seed,step,time,turn_step,has_turned,turning_obstacle_id,success,collision,min_distance,episode_min_distance,R_max,R_sum,R_bar,risk_turn,sigma_turn_x,sigma_turn_y,sigma_turn_z,sigma_turn_trace,mu_turn_x,mu_turn_y,mu_turn_z,dist_turn,rel_speed_turn,w_risk_turn,risk_rank_turn,action_x,action_y,action_z,v_des_norm,deviation_lateral
risk_full_rbar,0,28,1028,1,0.2,15,False,-1,0,0,2.3427560329437256,2.3427560329437256,0.5210248231887817,0.5210248231887817,0.4784905861623235,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.49782177805900574,0.5566891431808472,2.496180534362793,1.210360050201416
risk_full_rbar,0,28,1028,2,0.4,15,False,-1,0,0,1.8607203960418701,1.8607203960418701,0.3636328876018524,0.3636328876018524,0.348409958461888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.49724408984184265,0.9707338809967041,2.9594430923461914,2.0223968029022217
risk_full_rbar,0,28,1028,3,0.6000000000000001,15,False,-1,0,0,1.4574131965637207,1.4574131965637207,0.12063795328140259,0.12063795328140259,0.12005610477147652,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.4621809124946594,0.9777675867080688,2.9459400177001953,2.0652055740356445
risk_full_rbar,0,28,1028,4,0.8,15,False,-1,0,0,1.1917431354522705,1.1917431354522705,0.006776046007871628,0.006776046007871628,0.006775942302844979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.509502649307251,0.8388873338699341,2.8023738861083984,1.8758537769317627
risk_full_rbar,0,28,1028,5,1.0,15,False,-1,0,0,1.1572058200836182,1.1572058200836182,1.868622234724171e-06,1.8687003375816857e-06,1.8687003375795104e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.5640370845794678,0.6511118412017822,2.639760971069336,1.6224892139434814
risk_full_rbar,0,28,1028,6,1.2000000000000002,15,False,-1,0,0,1.1993759870529175,1.1572058200836182,2.6993768642569194e-07,2.7864348339790013e-07,2.7864348339789293e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.6045498847961426,0.5283105969429016,2.564833402633667,1.5011299848556519
risk_full_rbar,0,28,1028,7,1.4000000000000001,15,False,-1,0,0,1.3827515840530396,1.1572058200836182,4.377828588530974e-08,4.9436408744440996e-08,4.9436408744440956e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.6255494356155396,0.4293918013572693,2.5105292797088623,1.4168362617492676
risk_full_rbar,0,28,1028,8,1.6,15,False,-1,0,0,1.6642391681671143,1.1572058200836182,3.14704834636359e-06,3.1470638077735202e-06,3.1470638077631305e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.6332414746284485,0.3406722843647003,2.4633736610412598,1.3450673818588257
risk_full_rbar,0,28,1028,9,1.8,15,False,-1,0,0,2.0053162574768066,1.1572058200836182,7.706270480412059e-06,7.706278665864374e-06,7.706278665711824e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.6313139796257019,0.2569313943386078,2.420389413833618,1.278674602508545
risk_full_rbar,0,28,1028,10,2.0,15,False,-1,0,0,1.876908779144287,1.1572058200836182,7.99349038516084e-07,7.993513122528384e-07,7.993513122526681e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.6214780211448669,0.17566247284412384,2.380833625793457,1.214964747428894
risk_full_rbar,0,28,1028,11,2.2,15,False,-1,0,0,1.6926480531692505,1.1572058200836182,2.0234898201465512e-09,2.0234913744587857e-09,2.0234913744587857e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.6043436527252197,0.0957936942577362,2.34470272064209,1.1531078815460205
risk_full_rbar,0,28,1028,12,2.4000000000000004,15,False,-1,0,0,1.6936098337173462,1.1572058200836182,3.859093288525496e-14,3.859093288525496e-14,3.859093288525496e-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.5799335241317749,0.01723300851881504,2.3122456073760986,1.0932735204696655
risk_full_rbar,0,28,1028,13,2.6,15,False,-1,0,0,1.8825581073760986,1.1572058200836182,1.1190754043303368e-21,1.1190754043303368e-21,1.1190754043303368e-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.5480140447616577,-0.05945023149251938,2.2837283611297607,1.036160945892334
risk_full_rbar,0,28,1028,14,2.8000000000000003,15,False,-1,0,0,2.214494466781616,1.1572058200836182,7.03208050905549e-33,7.03208050905549e-33,7.03208050905549e-33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,0.5083556175231934,-0.133151575922966,2.259340286254883,0.9828396439552307
risk_full_rbar,0,28,1028,15,3.0,15,True,1,0,0,2.6382882595062256,1.1572058200836182,5.935535396517366e-11,5.935535396517366e-11,5.935535396517366e-11,5.935535396517366e-11,0.6478620767593384,0.22657997906208038,0.10651415586471558,0.9809561967849731,1.0506787300109863,0.1249140202999115,0.12874674797058105,2.6382882595062256,1.1519951820373535,0.3333333432674408,1.0,-1.0,0.4609549641609192,-0.2023259401321411,2.2391204833984375,0.9346149563789368
risk_full_rbar,0,28,1028,16,3.2,15,True,1,0,0,2.661574363708496,1.1572058200836182,4.7583043283339066e-07,4.7583043283339066e-07,4.758304328333547e-07,4.7583043283339066e-07,1.0658427476882935,0.24266305565834045,0.11940907686948776,1.4279148578643799,0.8309592008590698,0.18715634942054749,0.17727132141590118,2.661574363708496,1.2546720504760742,1.0,1.0,-1.0,0.40624120831489563,-0.26507213711738586,2.222876787185669,0.8928324580192566
risk_full_rbar,0,28,1028,17,3.4000000000000004,15,True,1,0,0,2.69492506980896,1.1572058200836182,1.205672015203163e-05,1.205672015203163e-05,1.2056720151447425e-05,1.205672015203163e-05,1.350299596786499,0.24977700412273407,0.12654070556163788,1.7266172170639038,0.633211612701416,0.24317443370819092,0.22094343602657318,2.69492506980896,1.3532472848892212,1.0,1.0,-1.0,0.3452402949333191,-0.31923729181289673,2.210070848464966,0.8584831357002258
risk_full_rbar,0,28,1028,18,3.6,15,True,1,0,0,2.7432589530944824,1.1572058200836182,4.9516893341206014e-05,4.9516893341206014e-05,4.9516893300735485e-05,4.9516893341206014e-05,1.5320128202438354,0.2502173185348511,0.12933538854122162,1.9115655422210693,0.4552387595176697,0.2935907244682312,0.2602483332157135,2.7432589530944824,1.4443604946136475,1.0,1.0,-1.0,0.2796524167060852,-0.3625566363334656,2.1996843814849854,0.8315607309341431
risk_full_rbar,0,28,1028,19,3.8000000000000003,15,True,1,0,0,2.8111941814422607,1.1572058200836182,8.279330359073356e-05,8.279330359073356e-05,8.279330340155828e-05,8.279330359073356e-05,1.6353734731674194,0.24578417837619781,0.12891533970832825,2.010072946548462,0.29506319761276245,0.33896538615226746,0.29562273621559143,2.8111941814422607,1.524648904800415,1.0,1.0,-1.0,0.21177718043327332,-0.39289993047714233,2.1901779174804688,0.8104163408279419
risk_full_rbar,0,28,1028,20,4.0,15,True,1,0,0,2.902416467666626,1.1572058200836182,7.643202843610197e-05,7.643202843610197e-05,7.643202828726704e-05,7.643202843610197e-05,1.6796513795852661,0.23788252472877502,0.12615972757339478,2.0436935424804688,0.15090520679950714,0.3798025846481323,0.3274596929550171,2.902416467666626,1.5912262201309204,1.0,1.0,-1.0,0.14424915611743927,-0.40868330001831055,2.1797521114349365,0.7917490601539612
