episode,step,time,turn_time,turn_step,scenario,success,collision,uav_position,uav_velocity,goal_position,action,min_distance,distance_warning_cost,risk_sum,risk_max,risk_values,sigma_values,reaction_flag,reaction_time_current,attention_weights,attention_entropy,turning_obstacle_id,turning_obstacle_attention_weight,turning_obstacle_attention_rank,turning_obstacle_risk,R_sum,R_max,lateral_deviation,base_reward,applied_cost,shaped_reward,fallback_penalty_active
2,1,0.2,3.0,15,mixed_uncertainty,0,0,"[-5.794658660888672,-0.8751817941665649,2.228712320327759]","[1.2056281566619873,0.5969544053077698,1.0865941047668457]","[6.621418476104736,0.4940507709980011,1.5616551637649536]","[0.8002512454986572,0.39623621106147766,0.7212408781051636]",3.132164239883423,0.0,5.468257668894694e-08,5.4227736967504825e-08,"[4.548412757543474e-10,2.8251732482083713e-39,5.4227736967504825e-08]","[0.22499999403953552,0.22499999403953552,0.22499999403953552,0.22538448870182037,0.24472202360630035,0.23852404952049255,0.40842747688293457,0.27843499183654785,0.22662916779518127]",0,nan,"[0.2034502923488617,0.03937219828367233,0.7571775317192078]",0.6619324088096619,-1,nan,nan,nan,5.468257668894694e-08,5.4227736967504825e-08,1.6478590965270996,0.16734827995300292,0.0,0.16734827995300292,0
2,2,0.4,3.0,15,mixed_uncertainty,0,0,"[-5.518790245056152,-0.7341440916061401,2.469935894012451]","[1.3793426752090454,0.7051883935928345,1.2061179876327515]","[6.621418476104736,0.4940507709980011,1.5616551637649536]","[1.0,0.5134109258651733,0.8708124160766602]",3.0873184204101562,0.0,7.146824714254763e-07,7.146023222048825e-07,"[8.013194274791857e-11,1.0869451798228309e-40,7.146023222048825e-07]","[0.20249998569488525,0.20249998569488525,0.20249998569488525,0.20328497886657715,0.2319726198911667,0.22094964981079102,0.5161609649658203,0.2938738465309143,0.20528587698936462]",0,nan,"[0.15865327417850494,0.06112322211265564,0.7802234888076782]",0.6565490365028381,-1,nan,nan,nan,7.146824714254763e-07,7.146023222048825e-07,2.0623552799224854,0.25941046938300133,0.0,0.25941046938300133,0
2,3,0.6000000000000001,3.0,15,mixed_uncertainty,0,0,"[-5.236075401306152,-0.587224006652832,2.7101168632507324]","[1.4135732650756836,0.734600305557251,1.2009046077728271]","[6.621418476104736,0.4940507709980011,1.5616551637649536]","[1.0,0.5209582448005676,0.8457695245742798]",3.064246416091919,0.0,7.069101002343814e-07,7.069076559673704e-07,"[2.46474585532952e-12,4.624284932271896e-44,7.069076559673704e-07]","[0.1822499781847,0.1822499781847,0.1822499781847,0.18348859250545502,0.2131749540567398,0.20123960077762604,0.584891676902771,0.29954516887664795,0.18582618236541748]",0,nan,"[0.20366337895393372,0.09190452843904495,0.7044320702552795]",0.7902706265449524,-1,nan,nan,nan,7.069101002343814e-07,7.069076559673704e-07,2.0693719387054443,0.263949749962776,0.0,0.263949749962776,0
2,4,0.8,3.0,15,mixed_uncertainty,0,0,"[-4.94692325592041,-0.4354768991470337,2.940836191177368]","[1.4457612037658691,0.7587354779243469,1.15359628200531]","[6.621418476104736,0.4940507709980011,1.5616551637649536]","[1.0,0.5255813598632812,0.7900416254997253]",3.0620577335357666,0.0,2.1104317227127467e-07,2.1104312963871052e-07,"[3.79499627252769e-14,0.0,2.1104312963871052e-07]","[0.1640249788761139,0.1640249788761139,0.1640249788761139,0.16566435992717743,0.1921253502368927,0.18188810348510742,0.6238833665847778,0.2979881763458252,0.16810935735702515]",0,nan,"[0.2510843873023987,0.1239309161901474,0.6249847412109375]",0.8995221257209778,-1,nan,nan,nan,2.1104317227127467e-07,2.1104312963871052e-07,2.0197219848632812,0.2645066229021177,0.0,0.2645066229021177,0
2,5,1.0,3.0,15,mixed_uncertainty,0,0,"[-4.650065898895264,-0.27972203493118286,3.1589221954345703]","[1.4842863082885742,0.7787742614746094,1.0904297828674316]","[6.621418476104736,0.4940507709980011,1.5616551637649536]","[1.0,0.5246609449386597,0.7250428795814514]",3.0773422718048096,0.0,2.1390244242525114e-08,2.1390244242525114e-08,"[2.818979911510495e-16,0.0,2.1390244242525114e-08]","[0.1476224809885025,0.1476224809885025,0.1476224809885025,0.14940804243087769,0.1742253601551056,0.16406109929084778,0.6404545307159424,0.29119133949279785,0.15199972689151764]",0,nan,"[0.30309075117111206,0.16325147449970245,0.5336577892303467]",0.9928311109542847,-1,nan,nan,nan,2.1390244242525114e-08,2.1390244242525114e-08,1.9504172801971436,0.26671571013052014,0.0,0.26671571013052014,0
2,6,1.2000000000000002,3.0,15,mixed_uncertainty,0,0,"[-4.3442702293396,-0.12154468894004822,3.362428665161133]","[1.5289781093597412,0.7908867001533508,1.0175319910049438]","[6.621418476104736,0.4940507709980011,1.5616551637649536]","[1.0,0.5161434412002563,0.6550388932228088]",3.1061158180236816,0.0,7.145581348844132e-10,7.145581348844132e-10,"[9.971037762964271e-19,0.0,7.145581348844132e-10]","[0.1328602284193039,0.1328602284193039,0.1328602284193039,0.13451550900936127,0.16367067396640778,0.14818912744522095,0.64036625623703,0.2807038426399231,0.13736781477928162]",0,nan,"[0.35331812500953674,0.21037454903125763,0.4363073408603668]",1.0574100017547607,-1,nan,nan,nan,7.145581348844132e-10,7.145581348844132e-10,1.8668850660324097,0.27050924877170474,0.0,0.27050924877170474,0
2,7,1.4000000000000001,3.0,15,mixed_uncertainty,0,0,"[-4.02840518951416,0.03678715229034424,3.5497682094573975]","[1.5793256759643555,0.7916591763496399,0.9366982579231262]","[6.621418476104736,0.4940507709980011,1.5616551637649536]","[1.0,0.4988515377044678,0.5821842551231384]",3.1439976692199707,0.0,7.348697171616347e-12,7.348697171616347e-12,"[1.7818643714548206e-21,0.0,7.348697171616347e-12]","[0.11957420408725739,0.11957420408725739,0.11957420408725739,0.121098592877388,0.160814106464386,0.13473619520664215,0.6281349062919617,0.2677250802516937,0.12409115582704544]",0,nan,"[0.3944474160671234,0.26459479331970215,0.34095779061317444]",1.0856053829193115,-1,nan,nan,nan,7.348697171616347e-12,7.348697171616347e-12,1.7710902690887451,0.2758715455746278,0.0,0.2758715455746278,0
2,8,1.6,3.0,15,mixed_uncertainty,0,0,"[-3.7014684677124023,0.19275453686714172,3.7192013263702393]","[1.6346842050552368,0.779836893081665,0.8471652269363403]","[6.621418476104736,0.4940507709980011,1.5616551637649536]","[1.0,0.4734153151512146,0.5069841146469116]",3.1862916946411133,0.0,2.1798470824620567e-14,2.1798470824620567e-14,"[1.867051535789029e-24,0.0,2.1798470824620567e-14]","[0.10761678218841553,0.10761678218841553,0.10761678218841553,0.10926470905542374,0.16266199946403503,0.12436933070421219,0.6072837114334106,0.2531767785549164,0.1120547354221344]",0,nan,"[0.42066463828086853,0.32277724146842957,0.2565581500530243]",1.078277587890625,-1,nan,nan,nan,2.1798470824620567e-14,2.1798470824620567e-14,1.6638455390930176,0.2828863434121013,0.0,0.2828863434121013,0
2,9,1.8,3.0,15,mixed_uncertainty,0,0,"[-3.362665891647339,0.34404271841049194,3.8682773113250732]","[1.6940131187438965,0.7564409971237183,0.7453797459602356]","[6.621418476104736,0.4940507709980011,1.5616551637649536]","[1.0,0.44195353984832764,0.42825624346733093]",3.22799015045166,0.0,1.8023256387183158e-17,1.8023256387183158e-17,"[1.5078971240117672e-27,0.0,1.8023256387183158e-17]","[0.09685510396957397,0.09685510396957397,0.09685510396957397,0.09883859008550644,0.16526609659194946,0.11764690279960632,0.5805448293685913,0.23776070773601532,0.10115114599466324]",0,nan,"[0.4310903549194336,0.38008883595466614,0.1888207495212555]",1.045170783996582,-1,nan,nan,nan,1.8023256387183158e-17,1.8023256387183158e-17,1.5449563264846802,0.2917226657131687,0.0,0.2917226657131687,0
2,10,2.0,3.0,15,mixed_uncertainty,0,0,"[-3.011672019958496,0.48888593912124634,3.9935436248779297]","[1.7549690008163452,0.7242159843444824,0.626331090927124]","[6.621418476104736,0.4940507709980011,1.5616551637649536]","[1.0,0.40757620334625244,0.34440040588378906]",3.2639570236206055,0.0,4.145013358613159e-21,4.145013358613159e-21,"[1.3864923894502539e-30,0.0,4.145013358613159e-21]","[0.0871695876121521,0.0871695876121521,0.0871695876121521,0.08944419026374817,0.16541872918605804,0.11479725688695908,0.5500218272209167,0.2220049500465393,0.09128055721521378]",0,nan,"[0.4296422004699707,0.4319566786289215,0.1384011059999466]",0.9992620944976807,-1,nan,nan,nan,4.145013358613159e-21,4.145013358613159e-21,1.4151078462600708,0.3024393183272332,0.0,0.3024393183272332,0
