method,seed,step,scenario,episode,d_warning,min_min_distance,max_distance_warning_cost_trace,count_min_distance_lt_d_warning,count_distance_warning_cost_gt_0,max_recomputed_distance_warning_cost,max_abs_diff_between_trace_and_recomputed,judgment,source_trace_path
attention_full,0,750000,eval_sudden_turn,0,1.0,1.1349201202392578,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_step750000_eval_sudden_turn_ep0.csv
attention_full,0,750000,eval_sudden_turn,1,1.0,0.8209723830223083,0.032050887640711,2,2,0.03205088764071107,6.938893903907228e-17,OK_TRIGGERED_CONSISTENT,results/gate2b/traces/attention_full_step750000_eval_sudden_turn_ep1.csv
attention_full,0,750000,eval_sudden_turn,2,1.0,0.9751098155975342,0.0006195212795887,2,2,0.0006195212795887528,9.18861341181465e-17,OK_TRIGGERED_CONSISTENT,results/gate2b/traces/attention_full_step750000_eval_sudden_turn_ep2.csv
attention_full,0,750000,eval_sudden_turn,3,1.0,0.8860479593276978,0.012985067573382,2,2,0.012985067573382025,2.7755575615628914e-17,OK_TRIGGERED_CONSISTENT,results/gate2b/traces/attention_full_step750000_eval_sudden_turn_ep3.csv
attention_full,0,750000,eval_sudden_turn,4,1.0,1.0345104932785034,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_step750000_eval_sudden_turn_ep4.csv
attention_full,0,750000,eval_sudden_turn,5,1.0,1.050760269165039,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_step750000_eval_sudden_turn_ep5.csv
attention_full,0,750000,eval_sudden_turn,6,1.0,0.8218481540679932,0.0317380802089815,2,2,0.0317380802089815,5.724587470723463e-17,OK_TRIGGERED_CONSISTENT,results/gate2b/traces/attention_full_step750000_eval_sudden_turn_ep6.csv
attention_full,0,750000,eval_sudden_turn,7,1.0,1.1731464862823486,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_step750000_eval_sudden_turn_ep7.csv
attention_full,0,750000,eval_sudden_turn,8,1.0,0.9193082451820374,0.0065111592956021,1,1,0.006511159295602198,9.80118763926896e-17,OK_TRIGGERED_CONSISTENT,results/gate2b/traces/attention_full_step750000_eval_sudden_turn_ep8.csv
attention_full,0,750000,eval_sudden_turn,9,1.0,0.95614355802536,0.0019233875026749,2,2,0.0019233875026749656,6.570265165262157e-17,OK_TRIGGERED_CONSISTENT,results/gate2b/traces/attention_full_step750000_eval_sudden_turn_ep9.csv
attention_full_distance_penalty,0,750000,eval_sudden_turn,0,1.0,1.2483980655670166,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_distance_penalty_step750000_eval_sudden_turn_ep0.csv
attention_full_distance_penalty,0,750000,eval_sudden_turn,1,1.0,0.7640606164932251,0.055667392689557,3,3,0.055667392689557005,9.139824314052802e-17,OK_TRIGGERED_CONSISTENT,results/gate2b/traces/attention_full_distance_penalty_step750000_eval_sudden_turn_ep1.csv
attention_full_distance_penalty,0,750000,eval_sudden_turn,2,1.0,1.2829054594039917,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_distance_penalty_step750000_eval_sudden_turn_ep2.csv
attention_full_distance_penalty,0,750000,eval_sudden_turn,3,1.0,0.973712682723999,0.0006910230495691,1,1,0.0006910230495691394,3.935653886122381e-17,OK_TRIGGERED_CONSISTENT,results/gate2b/traces/attention_full_distance_penalty_step750000_eval_sudden_turn_ep3.csv
attention_full_distance_penalty,0,750000,eval_sudden_turn,4,1.0,1.1467372179031372,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_distance_penalty_step750000_eval_sudden_turn_ep4.csv
attention_full_distance_penalty,0,750000,eval_sudden_turn,5,1.0,1.1598412990570068,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_distance_penalty_step750000_eval_sudden_turn_ep5.csv
attention_full_distance_penalty,0,750000,eval_sudden_turn,6,1.0,0.936570405960083,0.0040233134000686,1,1,0.004023313400068673,7.28583859910259e-17,OK_TRIGGERED_CONSISTENT,results/gate2b/traces/attention_full_distance_penalty_step750000_eval_sudden_turn_ep6.csv
attention_full_distance_penalty,0,750000,eval_sudden_turn,7,1.0,1.1211440563201904,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_distance_penalty_step750000_eval_sudden_turn_ep7.csv
attention_full_distance_penalty,0,750000,eval_sudden_turn,8,1.0,0.9569326043128968,0.0018548005712695,1,1,0.001854800571269512,1.1926223897340549e-17,OK_TRIGGERED_CONSISTENT,results/gate2b/traces/attention_full_distance_penalty_step750000_eval_sudden_turn_ep8.csv
attention_full_distance_penalty,0,750000,eval_sudden_turn,9,1.0,0.9334508180618286,0.0044287936166398,2,2,0.004428793616639837,8.630249292984615e-17,OK_TRIGGERED_CONSISTENT,results/gate2b/traces/attention_full_distance_penalty_step750000_eval_sudden_turn_ep9.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,0,1.0,2.130958080291748,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep0.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,1,1.0,1.3664700984954834,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep1.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,2,1.0,2.068129062652588,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep2.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,3,1.0,2.0775763988494877,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep3.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,4,1.0,2.7553067207336426,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep4.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,5,1.0,1.739956021308899,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep5.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,6,1.0,1.6492236852645874,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep6.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,7,1.0,2.356868267059326,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep7.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,8,1.0,1.5190834999084473,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep8.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,9,1.0,1.927980899810791,0.0,0,0,0.0,0.0,OK_ZERO_REASONABLE_MIN_DISTANCE_ABOVE_WARNING,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep9.csv
