method,base_method,seed,step,scenario,d_warning_eval,episodes,distance_warning_cost_nonzero_rate,distance_warning_cost_p50,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,min_distance_mean,min_distance_p10,min_distance_p25,min_distance_min,near_miss_rate,success_rate,collision_rate,mean_time,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,cost_stat_basis,source_eval_csv
attention_full,attention_full,0,500000,eval_random_switch,1.0,50,0.1,0.0,7.462112940039105e-05,0.015250807176121036,0.0514871720793195,1.3811390066146851,1.0241567075252533,1.1924160718917847,0.7730921506881714,0.1,1.0,0.0,7.132000000000001,,,,episode_distance_warning_cost_max,results/longtrain_baseline/eval/attention_full_s0_step500000_random.csv
attention_full,attention_full,0,500000,eval_sudden_turn,1.0,50,0.22,0.0,0.014220974869169775,0.020216453672376518,0.0578712047172302,1.166894315481186,0.880840253829956,1.0197691023349762,0.7594356536865234,0.22,1.0,0.0,7.047999999999999,1.8600000000000005,0.3958333333333334,0.04,episode_distance_warning_cost_max,results/longtrain_baseline/eval/attention_full_s0_step500000_sudden.csv
attention_full,attention_full,0,750000,eval_random_switch,1.0,50,0.24,0.0,0.00542506187105254,0.019587589004510842,0.0652692646366546,1.1767279243469237,0.9273965239524843,1.001636266708374,0.7445214986801147,0.24,1.0,0.0,6.824000000000001,,,,episode_distance_warning_cost_max,results/longtrain_baseline/eval/attention_full_s0_step750000_random.csv
attention_full,attention_full,0,750000,eval_sudden_turn,1.0,50,0.42,0.0,0.01833663772174282,0.031910124296432724,0.0612354524148486,1.0404673862457274,0.8645935237407685,0.9500446319580077,0.7525420188903809,0.42,1.0,0.0,6.780000000000001,11.424000000000001,0.4628571428571429,0.3,episode_distance_warning_cost_max,results/longtrain_baseline/eval/attention_full_s0_step750000_sudden.csv
attention_full,attention_full,0,1000000,eval_random_switch,1.0,50,0.4,0.0,0.03394596705508694,0.03522670989662956,0.1604454179785399,1.1278219640254974,0.815757793188095,0.941769927740097,0.5994436144828796,0.4,1.0,0.0,6.8,,,,episode_distance_warning_cost_max,results/longtrain_baseline/eval/attention_full_s0_step1000000_random.csv
attention_full,attention_full,0,1000000,eval_sudden_turn,1.0,50,0.7,0.0065911406472398005,0.058104312180646635,0.08169413443497481,0.1003205501274493,0.9420067584514618,0.759085762500763,0.8394276797771454,0.6832658052444458,0.7,1.0,0.0,6.7200000000000015,6.0760000000000005,1.0418604651162793,0.14,episode_distance_warning_cost_max,results/longtrain_baseline/eval/attention_full_s0_step1000000_sudden.csv
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,500000,eval_random_switch,1.0,50,0.06,0.0,0.0,2.5815042244481255e-05,0.0232621688674363,1.5401763772964479,1.1258768796920777,1.29527086019516,0.8474805951118469,0.06,1.0,0.0,7.144000000000001,,,,episode_distance_warning_cost_max,results/gate2b/eval/attention_full_distance_penalty_s0_step500000_random.csv
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,500000,eval_sudden_turn,1.0,50,0.14,0.0,0.0011413545933482302,0.004844063250888342,0.1939285396861692,1.3306029641628265,0.9662161052227021,1.1446072161197662,0.5596268177032471,0.14,1.0,0.0,7.0920000000000005,1.2320000000000004,0.5020408163265307,0.02,episode_distance_warning_cost_max,results/gate2b/eval/attention_full_distance_penalty_s0_step500000_sudden.csv
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,750000,eval_random_switch,1.0,50,0.12,0.0,0.00023392823906355026,0.016879260621507693,0.0367087650875532,1.3091441690921783,0.9847824096679688,1.1004790663719177,0.8084046840667725,0.12,1.0,0.0,6.8759999999999994,,,,episode_distance_warning_cost_max,results/gate2b/eval/attention_full_distance_penalty_s0_step750000_random.csv
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,750000,eval_sudden_turn,1.0,50,0.32,0.0,0.02189758236218637,0.04326389257470645,0.329688361591085,1.1184253466129304,0.8520216882228852,0.941511794924736,0.4258150458335876,0.32,0.98,0.02,6.704000000000001,11.032653061224492,0.6457142857142859,0.3,episode_distance_warning_cost_max,results/gate2b/eval/attention_full_distance_penalty_s0_step750000_sudden.csv
