method,seed,step,scenario,episode,turn_time,turn_step,risk_rise_time_sum,risk_rise_step_sum,risk_rise_time_max,risk_rise_step_max,distance_cost_rise_time,distance_cost_rise_step,lead_time_sum,lead_steps_sum,lead_time_max,lead_steps_max,reaction_time,min_distance_after_turn,near_miss,success,collision,baseline_risk_sum,baseline_risk_max,delta_risk_sum,delta_risk_max,distance_warning_ever_after_turn,source_trace_path
attention_full_risk_penalty,0,750000,eval_sudden_turn,0,3.0,15,,-1,,-1,,-1,,,,,0.2000000000000001,2.68098783493042,0,1,0,3.72882306077799e-31,3.7288196753539813e-31,0.02,0.02,0,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep0.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,1,3.0,15,,-1,,-1,,-1,,,,,0.2000000000000001,2.178045749664306,0,1,0,4.524674839907611e-15,4.524674839907611e-15,0.02,0.02,0,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep1.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,2,3.0,15,,-1,,-1,,-1,,,,,0.2000000000000001,3.131347894668579,0,1,0,1.595468835056591e-20,1.59544423293042e-20,0.02,0.02,0,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep2.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,3,3.0,15,,-1,,-1,,-1,,,,,0.2000000000000001,2.0970277786254883,0,1,0,0.0001966954925591945,0.0001966954925591945,0.02,0.02,0,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep3.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,4,3.0,15,,-1,,-1,,-1,,,,,0.2000000000000001,2.7553067207336426,0,1,0,1.9728168034634486e-15,1.9728168034634486e-15,0.02,0.02,0,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep4.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,5,3.0,15,,-1,,-1,,-1,,,,,0.2000000000000001,2.49194598197937,0,1,0,1.9248048127718103e-08,1.9248048127718103e-08,0.02,0.02,0,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep5.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,6,3.0,15,,-1,,-1,,-1,,,,,0.2000000000000001,2.656332731246948,0,1,0,2.59199210771416e-10,2.591864432066329e-10,0.02,0.02,0,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep6.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,7,3.0,15,,-1,,-1,,-1,,,,,0.2000000000000001,3.1234283447265625,0,1,0,4.659220398865126e-24,4.659220398865126e-24,0.02,0.02,0,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep7.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,8,3.0,15,,-1,,-1,,-1,,,,,0.2000000000000001,3.3150150775909424,0,1,0,1.1057320139368221e-09,1.1057316178994524e-09,0.02,0.02,0,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep8.csv
attention_full_risk_penalty,0,750000,eval_sudden_turn,9,3.0,15,,-1,,-1,,-1,,,,,0.2000000000000001,2.8094162940979004,0,1,0,1.8256516475953446e-15,1.8256516475953446e-15,0.02,0.02,0,results/gate2b/traces/attention_full_risk_penalty_step750000_eval_sudden_turn_ep9.csv
