method,raw_method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,mean_time,min_distance_p10,min_distance_p25,min_distance_min,checkpoint_path,eval_csv_path,sweep_label
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,250000,eval_random_switch,1.0,50,1.0,0.0,,,,1.654870673418045,0.04,0.04,8.16646443126956e-07,0.0,0.0,0.0013938605698058,0.010941292952377895,0.010911372204293996,7.367999999999999,1.259194827079773,1.406140595674515,0.962665557861328,checkpoints/gate2b/attention_full_distance_penalty_s0_step250000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step250000_random.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,250000,eval_random_switch_hard,1.0,50,1.0,0.0,,,,1.0905732655525207,0.26,0.26,0.0009587889632814804,0.04502782940556395,0.07626088524865783,0.1384112140834901,0.028234204803593413,0.02769490987528111,7.291999999999999,0.7881816327571869,1.0034879297018051,0.6279634237289429,checkpoints/gate2b/attention_full_distance_penalty_s0_step250000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step250000_hard.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,250000,eval_sudden_turn,1.0,50,1.0,0.0,0.26400000000000007,0.26400000000000007,0.0,1.5018977510929108,0.04,0.04,3.1656595911042203e-06,0.0,0.0,0.0056977949101941,0.009352378790043714,0.009322412580953548,7.352,1.1413928627967835,1.2393827140331268,0.924516260623932,checkpoints/gate2b/attention_full_distance_penalty_s0_step250000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step250000_sudden.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,250000,mixed_uncertainty,1.0,50,0.92,0.08,0.2320000000000001,0.2320000000000001,0.0,1.0149364972114563,0.52,0.52,0.0018482988526738909,0.10293835058465826,0.22097886602566263,0.3256691569016681,0.05244397517271516,0.052140080714376424,7.216,0.6814480423927307,0.8903054594993591,0.4293256998062134,checkpoints/gate2b/attention_full_distance_penalty_s0_step250000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step250000_mixed.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,500000,eval_random_switch,1.0,50,1.0,0.0,,,,1.5401763772964479,0.06,0.06,2.81517108987794e-05,0.0,2.5815042244481255e-05,0.0232621688674363,0.015724895117639356,0.01563011020127535,7.144000000000001,1.1258768796920777,1.29527086019516,0.8474805951118469,checkpoints/gate2b/attention_full_distance_penalty_s0_step500000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step500000_random.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,500000,eval_random_switch_hard,1.0,50,0.92,0.08,,,,0.9281982898712158,0.62,0.62,0.008747402017106626,0.11159970310702828,0.21071057605250937,0.328656424211605,0.1116377428360283,0.10976921029388902,6.508000000000001,0.6661700189113617,0.8221865445375443,0.4267143607139587,checkpoints/gate2b/attention_full_distance_penalty_s0_step500000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step500000_hard.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,500000,eval_sudden_turn,1.0,50,1.0,0.0,1.2320000000000004,0.5020408163265307,0.02,1.3306029641628265,0.14,0.14,0.0002233873375553183,0.0011413545933482302,0.004844063250888342,0.1939285396861692,0.02133359109229782,0.021286767554963674,7.0920000000000005,0.9662161052227021,1.1446072161197662,0.5596268177032471,checkpoints/gate2b/attention_full_distance_penalty_s0_step500000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step500000_sudden.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,500000,mixed_uncertainty,1.0,50,0.98,0.02,0.3080000000000001,0.3080000000000001,0.0,1.0129500716924666,0.56,0.56,0.0016186389150538894,0.11218233763517911,0.14236802169845306,0.2782961858474388,0.05688776831527289,0.056738674905127164,7.148,0.6651169896125794,0.8215215653181076,0.4724621474742889,checkpoints/gate2b/attention_full_distance_penalty_s0_step500000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step500000_mixed.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,750000,eval_random_switch,1.0,50,1.0,0.0,,,,1.3091441690921783,0.12,0.12,0.00010008906514485351,0.00023392823906355026,0.016879260621507693,0.0367087650875532,0.029068349806130062,0.028790478944520363,6.8759999999999994,0.9847824096679688,1.1004790663719177,0.8084046840667725,checkpoints/gate2b/attention_full_distance_penalty_s0_step750000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step750000_random.csv,d1.0
attention_full_distance_penalty_d1,attention_full_distance_penalty,0,750000,eval_random_switch_hard,1.0,50,0.9,0.1,,,,0.8409916347265244,0.84,0.84,0.014855509529360203,0.17756446180988877,0.28810873939655435,0.3794930804193797,0.144326356947422,0.14090933281928297,6.152,0.5790081858634949,0.7395839542150497,0.3839699029922485,checkpoints/gate2b/attention_full_distance_penalty_s0_step750000.zip,results/p1_three_seed/eval/attention_full_distance_penalty_s0_step750000_hard.csv,d1.0
