method,seed,step,sudden_reaction,sudden_success,sudden_collision,sudden_min_distance,sudden_near_miss,random_success,random_mean_time,random_min_distance,random_near_miss,hard_success,hard_collision,hard_near_miss,mixed_success,mixed_collision,mixed_near_miss
attention_full,0,750000,11.424000000000001,1.0,0.0,1.0404673862457274,0.42,1.0,6.824000000000001,1.1767279243469237,0.24,0.94,0.06,0.84,0.96,0.04,0.44
attention_full,1,750000,1.3760000000000008,1.0,0.0,1.005763792991638,0.6,0.98,6.684000000000001,1.2440760672092437,0.46,0.98,0.02,0.94,0.8,0.2,0.8
attention_full,2,750000,8.508000000000001,1.0,0.0,1.1823716568946838,0.28,1.0,6.9239999999999995,1.6676672053337098,0.18,0.98,0.02,0.8,0.8,0.2,0.76
attention_full_distance_penalty_d1,0,750000,11.032653061224492,0.98,0.02,1.1184253466129304,0.32,1.0,6.8759999999999994,1.3091441690921783,0.12,0.9,0.1,0.84,0.98,0.02,0.52
attention_full_distance_penalty_d1,1,750000,1.8080000000000007,1.0,0.0,1.2960140109062195,0.1,1.0,6.996,1.4556463968753814,0.24,1.0,0.0,0.66,0.9,0.1,0.66
attention_full_distance_penalty_d1,2,750000,5.0280000000000005,1.0,0.0,1.249796336889267,0.12,1.0,6.9479999999999995,1.728027046918869,0.1,1.0,0.0,0.7,0.92,0.08,0.8
attention_full_distance_penalty_mid_d15,0,750000,2.7039999999999997,1.0,0.0,1.5413485157489777,0.02,1.0,7.328,1.7653246164321899,0.0,1.0,0.0,0.12,0.96,0.04,0.38
attention_full_distance_penalty_wide_d2,0,750000,0.20000000000000007,1.0,0.0,1.994805543422699,0.0,1.0,8.716000000000001,2.1610974717140197,0.0,1.0,0.0,0.0,0.86,0.14,0.36
attention_full_distance_penalty_wide_d2,1,750000,0.20000000000000007,0.98,0.02,2.0535946148633957,0.02,1.0,8.68,2.2575710463523864,0.0,1.0,0.0,0.0,0.8,0.2,0.5
attention_full_distance_penalty_wide_d2,2,750000,0.20000000000000007,1.0,0.0,2.0372329711914063,0.0,1.0,8.660000000000002,2.555093228816986,0.0,1.0,0.0,0.0,0.78,0.22,0.52
attention_full_risk_penalty,0,750000,0.20800000000000007,1.0,0.0,1.9128647971153259,0.0,1.0,8.1,2.0643192434310915,0.0,1.0,0.0,0.06,0.8,0.2,0.52
attention_full_risk_penalty,1,750000,0.20000000000000007,1.0,0.0,1.9101585626602173,0.0,1.0,8.004,2.079492154121399,0.0,1.0,0.0,0.08,0.74,0.26,0.64
attention_full_risk_penalty,2,750000,0.20000000000000007,1.0,0.0,1.9162664604187012,0.0,1.0,8.276,2.4176497292518615,0.0,1.0,0.0,0.02,0.86,0.14,0.54
