method,seed,step,d_warning,sudden_reaction,sudden_near_miss,sudden_collision,sudden_min_distance,sudden_mean_time,random_success,random_mean_time,random_min_distance,random_near_miss,hard_success,hard_collision,hard_near_miss,hard_min_distance,mixed_success,mixed_collision,mixed_near_miss,mixed_min_distance,is_750k
attention_full,0,250000,1.0,0.20800000000000007,0.1,0.0,1.3336464941501618,7.204000000000001,1.0,7.252000000000001,1.4078598785400391,0.1,0.96,0.04,0.58,0.9433984690904618,0.92,0.08,0.6,0.9696304303407669,0
attention_full,0,500000,1.0,1.8600000000000005,0.22,0.0,1.166894315481186,7.047999999999999,1.0,7.132000000000001,1.3811390066146851,0.1,0.98,0.02,0.68,0.9022164136171341,0.96,0.04,0.6,0.9886369866132736,0
attention_full,0,750000,1.0,11.424000000000001,0.42,0.0,1.0404673862457274,6.780000000000001,1.0,6.824000000000001,1.1767279243469237,0.24,0.94,0.06,0.84,0.844206919670105,0.96,0.04,0.44,0.99278111577034,1
attention_full,0,1000000,1.0,6.0760000000000005,0.7,0.0,0.9420067584514618,6.7200000000000015,1.0,6.8,1.1278219640254974,0.4,0.9,0.1,0.98,0.7810113924741745,0.96,0.04,0.52,1.0143310576677322,0
attention_full,1,250000,1.0,0.21600000000000008,0.12,0.0,1.3045780777931213,7.292000000000002,0.98,7.163999999999999,1.5225022369623185,0.14,1.0,0.0,0.5,1.0178072369098663,0.92,0.08,0.74,0.8767104732990265,0
attention_full,1,500000,1.0,2.6919999999999997,0.3,0.0,1.2028391981124877,6.975999999999999,1.0,6.932,1.3609111630916595,0.3,0.98,0.02,0.8,0.8751556181907654,0.88,0.12,0.7,0.8886418157815933,0
attention_full,1,750000,1.0,1.3760000000000008,0.6,0.0,1.005763792991638,6.808,0.98,6.684000000000001,1.2440760672092437,0.46,0.98,0.02,0.94,0.7851062929630279,0.8,0.2,0.8,0.8446305972337723,1
attention_full,1,1000000,1.0,5.0440000000000005,0.52,0.0,1.0741805589199067,6.816,0.98,6.692,1.2334802895784378,0.4,1.0,0.0,0.92,0.8251208138465881,0.88,0.12,0.8,0.8357991522550583,0
attention_full,2,250000,1.0,0.2280000000000001,0.12,0.0,1.4017377984523773,7.400000000000001,1.0,7.236000000000001,1.8439751195907592,0.08,1.0,0.0,0.46,1.044079087972641,0.86,0.14,0.76,0.8222012954950333,0
attention_full,2,500000,1.0,3.248,0.16,0.0,1.2799832665920257,7.108,1.0,7.0360000000000005,1.7563935244083404,0.2,1.0,0.0,0.68,0.9445052492618561,0.76,0.24,0.76,0.8363975721597672,0
