method,seed,step,checkpoint_path,exists,num_timesteps
attention_full,0,250000,checkpoints/longtrain_baseline/attention_full_s0_step250000.zip,1,250000
attention_full,0,500000,checkpoints/longtrain_baseline/attention_full_s0_step500000.zip,1,500000
attention_full,0,750000,checkpoints/longtrain_baseline/attention_full_s0_step750000.zip,1,750000
attention_full,0,1000000,checkpoints/longtrain_baseline/attention_full_s0_step1000000.zip,1,1000000
attention_full,1,250000,checkpoints/attention_seed1/attention_full_s1_step250000.zip,1,250000
attention_full,1,500000,checkpoints/attention_seed1/attention_full_s1_step500000.zip,1,500000
attention_full,1,750000,checkpoints/attention_seed1/attention_full_s1_step750000.zip,1,750000
attention_full,1,1000000,checkpoints/attention_seed1/attention_full_s1_step1000000.zip,1,1015808
attention_full,2,250000,checkpoints/p1_three_seed/attention_full_s2_step250000.zip,1,250000
attention_full,2,500000,checkpoints/p1_three_seed/attention_full_s2_step500000.zip,1,500000
attention_full,2,750000,checkpoints/p1_three_seed/attention_full_s2_step750000.zip,1,750000
attention_full,2,1000000,checkpoints/p1_three_seed/attention_full_s2_step1000000.zip,1,1015808
attention_full_distance_penalty,0,250000,checkpoints/gate2b/attention_full_distance_penalty_s0_step250000.zip,1,250000
attention_full_distance_penalty,0,500000,checkpoints/gate2b/attention_full_distance_penalty_s0_step500000.zip,1,500000
attention_full_distance_penalty,0,750000,checkpoints/gate2b/attention_full_distance_penalty_s0_step750000.zip,1,750000
attention_full_distance_penalty,0,1000000,checkpoints/gate2b/attention_full_distance_penalty_s0_step1000000.zip,1,1015808
attention_full_distance_penalty,1,250000,checkpoints/p1_three_seed/attention_full_distance_penalty_s1_step250000.zip,1,250000
attention_full_distance_penalty,1,500000,checkpoints/p1_three_seed/attention_full_distance_penalty_s1_step500000.zip,1,500000
attention_full_distance_penalty,1,750000,checkpoints/p1_three_seed/attention_full_distance_penalty_s1_step750000.zip,1,750000
attention_full_distance_penalty,1,1000000,checkpoints/p1_three_seed/attention_full_distance_penalty_s1_step1000000.zip,1,1015808
attention_full_distance_penalty,2,250000,checkpoints/p1_three_seed/attention_full_distance_penalty_s2_step250000.zip,1,250000
attention_full_distance_penalty,2,500000,checkpoints/p1_three_seed/attention_full_distance_penalty_s2_step500000.zip,1,500000
attention_full_distance_penalty,2,750000,checkpoints/p1_three_seed/attention_full_distance_penalty_s2_step750000.zip,1,750000
attention_full_distance_penalty,2,1000000,checkpoints/p1_three_seed/attention_full_distance_penalty_s2_step1000000.zip,1,1015808
attention_full_risk_penalty,0,250000,checkpoints/gate2b/attention_full_risk_penalty_s0_step250000.zip,1,250000
attention_full_risk_penalty,0,500000,checkpoints/gate2b/attention_full_risk_penalty_s0_step500000.zip,1,500000
attention_full_risk_penalty,0,750000,checkpoints/gate2b/attention_full_risk_penalty_s0_step750000.zip,1,750000
attention_full_risk_penalty,0,1000000,checkpoints/gate2b/attention_full_risk_penalty_s0_step1000000.zip,1,1015808
attention_full_risk_penalty,1,250000,checkpoints/p1_three_seed/attention_full_risk_penalty_s1_step250000.zip,1,250000
attention_full_risk_penalty,1,500000,checkpoints/p1_three_seed/attention_full_risk_penalty_s1_step500000.zip,1,500000
attention_full_risk_penalty,1,750000,checkpoints/p1_three_seed/attention_full_risk_penalty_s1_step750000.zip,1,750000
attention_full_risk_penalty,1,1000000,checkpoints/p1_three_seed/attention_full_risk_penalty_s1_step1000000.zip,1,1015808
attention_full_risk_penalty,2,250000,checkpoints/p1_three_seed/attention_full_risk_penalty_s2_step250000.zip,1,250000
attention_full_risk_penalty,2,500000,checkpoints/p1_three_seed/attention_full_risk_penalty_s2_step500000.zip,1,500000
attention_full_risk_penalty,2,750000,checkpoints/p1_three_seed/attention_full_risk_penalty_s2_step750000.zip,1,750000
attention_full_risk_penalty,2,1000000,checkpoints/p1_three_seed/attention_full_risk_penalty_s2_step1000000.zip,1,1015808
