method,seed,step,scenario,success_rate,collision_rate,mean_min_distance,near_miss_rate,mean_time,distance_warning_cost_mean,risk_sum_mean,risk_max_mean,reaction_time_eval_style,reaction_time_nan_style,reaction_time,nan_reaction_rate,mean_min_distance_after_turn,total_episodes,checkpoint_path,eval_csv_path,reused_from
attention_full,0,250000,eval_random_switch,1.0,0.0,1.4078598785400391,0.1,7.252000000000001,8.020561275770555e-05,0.018812705731979754,0.018563702381798018,,,,1.0,,50.0,checkpoints/longtrain_baseline/attention_full_s0_step250000.zip,results/p1_three_seed/eval/attention_full_s0_step250000_random.csv,results/longtrain_baseline/eval/attention_full_s0_step250000_random.csv
attention_full,0,250000,eval_random_switch_hard,0.96,0.04,0.9433984690904618,0.58,6.831999999999999,0.005315466407381541,0.07914325622841713,0.07706235036253925,,,,1.0,,50.0,checkpoints/longtrain_baseline/attention_full_s0_step250000.zip,results/p1_three_seed/eval/attention_full_s0_step250000_hard.csv,results/longtrain_baseline/eval/attention_full_s0_step250000_hard.csv
attention_full,0,250000,eval_sudden_turn,1.0,0.0,1.3336464941501618,0.1,7.204000000000001,2.0556786073481075e-05,0.020363410290847195,0.020307260949011786,0.20800000000000007,0.20800000000000007,0.20800000000000007,0.0,1.8546710646152496,50.0,checkpoints/longtrain_baseline/attention_full_s0_step250000.zip,results/p1_three_seed/eval/attention_full_s0_step250000_sudden.csv,results/longtrain_baseline/eval/attention_full_s0_step250000_sudden.csv
attention_full,0,250000,mixed_uncertainty,0.92,0.08,0.9696304303407669,0.6,7.0520000000000005,0.002172177079978588,0.07654406649883295,0.07563764525643472,0.3360000000000001,0.3360000000000001,0.3360000000000001,0.0,0.9699642068147659,50.0,checkpoints/longtrain_baseline/attention_full_s0_step250000.zip,results/p1_three_seed/eval/attention_full_s0_step250000_mixed.csv,results/longtrain_baseline/eval/attention_full_s0_step250000_mixed.csv
attention_full,0,500000,eval_random_switch,1.0,0.0,1.3811390066146851,0.1,7.132000000000001,0.00014524916925438136,0.02055862268268778,0.020388749876396682,,,,1.0,,50.0,checkpoints/longtrain_baseline/attention_full_s0_step500000.zip,results/p1_three_seed/eval/attention_full_s0_step500000_random.csv,results/longtrain_baseline/eval/attention_full_s0_step500000_random.csv
attention_full,0,500000,eval_random_switch_hard,0.98,0.02,0.9022164136171341,0.68,6.868,0.005492387734614088,0.07510463315993543,0.07315200323238966,,,,1.0,,50.0,checkpoints/longtrain_baseline/attention_full_s0_step500000.zip,results/p1_three_seed/eval/attention_full_s0_step500000_hard.csv,results/longtrain_baseline/eval/attention_full_s0_step500000_hard.csv
attention_full,0,500000,eval_sudden_turn,1.0,0.0,1.166894315481186,0.22,7.047999999999999,0.00012488769145419505,0.02928819269931406,0.029030299794976556,1.8600000000000005,0.3958333333333334,1.8600000000000005,0.04,1.6133913862705231,50.0,checkpoints/longtrain_baseline/attention_full_s0_step500000.zip,results/p1_three_seed/eval/attention_full_s0_step500000_sudden.csv,results/longtrain_baseline/eval/attention_full_s0_step500000_sudden.csv
attention_full,0,500000,mixed_uncertainty,0.96,0.04,0.9886369866132736,0.6,7.168000000000001,0.002127145882022862,0.06341297903010851,0.06311681384133404,0.2200000000000001,0.2200000000000001,0.2200000000000001,0.0,0.9886369866132736,50.0,checkpoints/longtrain_baseline/attention_full_s0_step500000.zip,results/p1_three_seed/eval/attention_full_s0_step500000_mixed.csv,results/longtrain_baseline/eval/attention_full_s0_step500000_mixed.csv
attention_full,0,750000,eval_random_switch,1.0,0.0,1.1767279243469237,0.24,6.824000000000001,0.0001853626621414106,0.03661562652104184,0.03619919596948311,,,,1.0,,50.0,checkpoints/longtrain_baseline/attention_full_s0_step750000.zip,results/p1_three_seed/eval/attention_full_s0_step750000_random.csv,results/longtrain_baseline/eval/attention_full_s0_step750000_random.csv
attention_full,0,750000,eval_random_switch_hard,0.94,0.06,0.844206919670105,0.84,6.376,0.009117599136498001,0.11928371276706454,0.11605811372399327,,,,1.0,,50.0,checkpoints/longtrain_baseline/attention_full_s0_step750000.zip,results/p1_three_seed/eval/attention_full_s0_step750000_hard.csv,results/longtrain_baseline/eval/attention_full_s0_step750000_hard.csv
