method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,scenario_valid_rate,planned_threat_valid_rate,threat_valid_rate,realized_near_miss_rate,predicted_cpa_to_nominal_path_mean,obstacle_motion_modes,source_csv,checkpoint_path
attention_full,0,250000,eval_accel_decel,1.0,50,1.0,0.0,,,1.0,1.5948924827575683,0.02,7.400000000000001,22.323012268399975,0.02,8.617065032012e-06,0.0,3.0487657058984e-05,0.0099985743077155,0.00861627926307957,0.008615427895037405,1.0,1.0,1.0,0.44,,"[""accel_decel"",""accel_decel"",""accel_decel""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step250000_accel.csv,checkpoints/p2_rich_motion/attention_full_s0_step250000.zip
attention_full,0,250000,eval_ar1,1.0,50,1.0,0.0,,,1.0,1.4877830183506011,0.1,7.3599999999999985,22.310928248998124,0.1,5.111063712319888e-05,5.780001447419636e-07,0.00030440744012594,0.0416251914177934,0.010127376583789068,0.010123096940458223,1.0,1.0,1.0,0.5,,"[""simple_ar1"",""simple_ar1"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step250000_ar1.csv,checkpoints/p2_rich_motion/attention_full_s0_step250000.zip
attention_full,0,250000,eval_mixed_v2,1.0,50,0.96,0.04,0.22400000000000006,0.22400000000000006,0.0,1.624800642132759,0.26,7.4079999999999995,21.432275412492523,0.26,0.0013836235002963671,0.0005105294854183728,0.007530981195959605,0.3318394205109598,0.023191346432046834,0.023191336426731993,1.0,1.0,1.0,0.5,3.6960710929179187e-07,"[""threat_validated_sudden"",""sinusoidal"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step250000_mixed_v2.csv,checkpoints/p2_rich_motion/attention_full_s0_step250000.zip
attention_full,0,250000,eval_random_switch,1.0,50,1.0,0.0,,,1.0,1.689065282344818,0.12,7.491999999999999,22.41988685700961,0.12,0.00017489209752966084,0.000445238724350928,0.0007119536321624723,0.1368390979327252,0.015491000379978614,0.014432601711440767,1.0,1.0,1.0,0.4,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step250000_random.csv,checkpoints/p2_rich_motion/attention_full_s0_step250000.zip
attention_full,0,250000,eval_random_switch_hard,1.0,50,1.0,0.0,,,1.0,1.079817887544632,0.34,7.412000000000001,22.081421531877204,0.34,0.0006461681130576718,0.001899874012901813,0.004193187296486932,0.0799341538368025,0.03192783930338915,0.030885262466035738,1.0,1.0,1.0,1.0,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step250000_hard.csv,checkpoints/p2_rich_motion/attention_full_s0_step250000.zip
attention_full,0,250000,eval_sinusoidal,1.0,50,1.0,0.0,,,1.0,1.525595315694809,0.12,7.4239999999999995,22.318528930422513,0.12,0.0002491193470996163,0.000328576317988334,0.0016958178367508458,0.0987105060048634,0.016934877841731533,0.01693153123388579,1.0,1.0,1.0,0.42,,"[""sinusoidal"",""sinusoidal"",""sinusoidal""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step250000_sinusoidal.csv,checkpoints/p2_rich_motion/attention_full_s0_step250000.zip
attention_full,0,250000,eval_sudden_turn,1.0,50,0.98,0.02,0.2320000000000001,0.2320000000000001,0.0,1.5163445889949798,0.02,7.399999999999999,21.79226705721667,0.02,0.000500901080667972,0.000181174557656048,0.0016764172911643979,0.4305621334133924,0.014814249279266351,0.014626657235298766,1.0,1.0,1.0,0.54,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step250000_sudden.csv,checkpoints/p2_rich_motion/attention_full_s0_step250000.zip
attention_full,0,250000,eval_threat_validated_sudden,1.0,50,0.98,0.02,0.26400000000000007,0.26400000000000007,0.0,1.7403287613391876,0.16,7.5360000000000005,21.837635670614336,0.16,0.0004850076653019607,3.7196821067482e-05,0.002325114310951898,0.2332406180301838,0.014471333161464732,0.01446762118300686,1.0,1.0,1.0,0.44,3.6960710929179187e-07,"[""threat_validated_sudden"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step250000_threat_sudden.csv,checkpoints/p2_rich_motion/attention_full_s0_step250000.zip
attention_full,0,500000,eval_accel_decel,1.0,50,1.0,0.0,,,1.0,1.4914616668224334,0.06,7.287999999999999,22.29578747235428,0.06,1.228673436344252e-06,0.0,1.1708080296557455e-06,0.0014833709083781,0.010181089427656888,0.010179406718397694,1.0,1.0,1.0,0.54,,"[""accel_decel"",""accel_decel"",""accel_decel""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step500000_accel.csv,checkpoints/p2_rich_motion/attention_full_s0_step500000.zip
attention_full,0,500000,eval_ar1,1.0,50,1.0,0.0,,,1.0,1.4205086970329284,0.1,7.264000000000001,22.28351597631497,0.1,8.3441115657444e-06,0.0,0.0,0.009287184873731,0.010621004671445418,0.010616379158316204,1.0,1.0,1.0,0.58,,"[""simple_ar1"",""simple_ar1"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step500000_ar1.csv,checkpoints/p2_rich_motion/attention_full_s0_step500000.zip
attention_full,0,500000,eval_mixed_v2,1.0,50,0.98,0.02,0.21600000000000008,0.21600000000000008,0.0,1.4610321760177611,0.34,7.371999999999999,21.82851497118254,0.34,0.000722843527328204,4.0591426077292004e-05,0.0037291841789192266,0.2069290449728669,0.02835141564106801,0.028351392869376123,1.0,1.0,1.0,0.62,3.6960710929179187e-07,"[""threat_validated_sudden"",""sinusoidal"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step500000_mixed_v2.csv,checkpoints/p2_rich_motion/attention_full_s0_step500000.zip
attention_full,0,500000,eval_random_switch,1.0,50,0.98,0.02,,,1.0,1.4611510211229324,0.08,7.372000000000001,21.876590629898995,0.08,0.0011920803604880301,0.002578581180423496,0.00406817300514376,0.7453430742720437,0.024488180844480664,0.02435387365766293,1.0,1.0,1.0,0.62,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_s0_step500000_random.csv,checkpoints/p2_rich_motion/attention_full_s0_step500000.zip
