method,step,scenario,success_rate,collision_rate,reaction_time_eval_style,mean_min_distance,near_miss_rate,mean_time,distance_warning_cost_nonzero_rate,risk_sum_mean,threat_valid_rate
attention_full,750000,eval_accel_decel,1.0,0.0,,1.3276033866405488,0.1,6.932,0.1,0.021306877302722526,1.0
attention_full_distance_penalty_wide_d2,750000,eval_accel_decel,1.0,0.0,,2.1042668437957763,0.0,8.036,0.32,5.248635527385349e-05,1.0
attention_full_risk_penalty,750000,eval_accel_decel,1.0,0.0,,2.036267173290253,0.0,7.812,0.0,0.00010799218622895829,1.0
attention_full,750000,eval_ar1,1.0,0.0,,1.2217453789711,0.24,6.972,0.24,0.02791418053442608,1.0
attention_full_distance_penalty_wide_d2,750000,eval_ar1,1.0,0.0,,2.042363429069519,0.0,8.092,0.38,7.435749650403323e-05,1.0
attention_full_risk_penalty,750000,eval_ar1,1.0,0.0,,1.9256812453269958,0.0,7.792000000000001,0.0,0.0001960729466098083,1.0
attention_full,750000,eval_mixed_v2,1.0,0.0,0.6160000000000001,1.3278492164611817,0.44,7.004,0.44,0.03639075212931923,1.0
attention_full_distance_penalty_wide_d2,750000,eval_mixed_v2,1.0,0.0,0.21600000000000008,2.3506881272792817,0.04,8.124,0.26,0.004146445779967948,1.0
attention_full_risk_penalty,750000,eval_mixed_v2,1.0,0.0,0.20000000000000007,2.5761032700538635,0.0,8.184000000000001,0.0,0.000326119689993394,1.0
attention_full,750000,eval_random_switch,1.0,0.0,,1.3253543496131897,0.2,7.0360000000000005,0.2,0.041621871577644916,1.0
attention_full_distance_penalty_wide_d2,750000,eval_random_switch,1.0,0.0,,2.1978390216827393,0.0,8.240000000000002,0.28,0.00020801888856308043,1.0
attention_full_risk_penalty,750000,eval_random_switch,1.0,0.0,,2.1522718834877015,0.0,8.280000000000001,0.0,0.0002718564606262993,1.0
attention_full,750000,eval_random_switch_hard,0.9,0.1,,0.866417659521103,0.84,6.360000000000001,0.84,0.13971089466474948,1.0
attention_full_distance_penalty_wide_d2,750000,eval_random_switch_hard,0.98,0.02,,1.6747180956602097,0.04,8.700000000000001,0.88,0.00576182473898367,1.0
attention_full_risk_penalty,750000,eval_random_switch_hard,1.0,0.0,,1.3756509566307067,0.1,8.472,0.1,0.009019311299562061,1.0
attention_full,750000,eval_sinusoidal,1.0,0.0,,1.3147042357921601,0.18,6.980000000000001,0.18,0.03146154008630671,1.0
attention_full_distance_penalty_wide_d2,750000,eval_sinusoidal,0.98,0.02,,2.045600311756134,0.04,8.12,0.3,0.0031632408771414726,1.0
attention_full_risk_penalty,750000,eval_sinusoidal,0.98,0.02,,1.9491067481040956,0.04,7.832000000000001,0.04,0.00432134921875063,1.0
attention_full,750000,eval_sudden_turn,1.0,0.0,1.5680000000000005,1.2094256019592284,0.38,7.004000000000001,0.38,0.038684054338573276,1.0
attention_full_distance_penalty_wide_d2,750000,eval_sudden_turn,1.0,0.0,0.20400000000000007,2.0546186113357545,0.0,8.232000000000001,0.34,0.0008584666135989006,1.0
attention_full_risk_penalty,750000,eval_sudden_turn,1.0,0.0,0.20000000000000007,1.9341906690597535,0.0,8.100000000000001,0.0,0.0007011590797828631,1.0
attention_full,750000,eval_threat_validated_sudden,0.98,0.02,0.5280000000000001,1.228128386735916,0.46,6.992000000000002,0.46,0.03729740515435019,1.0
attention_full_distance_penalty_wide_d2,750000,eval_threat_validated_sudden,1.0,0.0,0.2480000000000001,2.450701916217804,0.0,8.171999999999999,0.2,0.0005245827338971347,1.0
attention_full_risk_penalty,750000,eval_threat_validated_sudden,1.0,0.0,0.20000000000000007,2.692291991710663,0.0,8.376,0.0,0.0001343064344868612,1.0
attention_full,1000000,eval_accel_decel,1.0,0.0,,1.118829826116562,0.26,6.7360000000000015,0.26,0.03563535614288407,1.0
