method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,scenario_valid_rate,planned_threat_valid_rate,threat_valid_rate,realized_near_miss_rate,predicted_cpa_to_nominal_path_mean,obstacle_motion_modes,source_csv,checkpoint_path
attention_full_distance_penalty_wide_d2,0,250000,eval_accel_decel,2.0,50,1.0,0.0,,,1.0,2.5411318588256835,0.0,8.612,22.26687714706322,0.16,0.0011825039149471138,0.001153460554778574,0.009198450753465289,0.276487066227574,3.696559218294095e-05,3.6965592136328756e-05,1.0,1.0,1.0,0.02,,"[""accel_decel"",""accel_decel"",""accel_decel""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step250000_accel.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step250000.zip
attention_full_distance_penalty_wide_d2,0,250000,eval_ar1,2.0,50,1.0,0.0,,,1.0,2.4692248582839964,0.0,8.572000000000001,22.26439330035363,0.18,0.0014004887641181018,0.000700287148356436,0.01260726508131483,0.2837495433132062,3.976397170755695e-05,3.976397170755695e-05,1.0,1.0,1.0,0.04,,"[""simple_ar1"",""simple_ar1"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step250000_ar1.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step250000.zip
attention_full_distance_penalty_wide_d2,0,250000,eval_mixed_v2,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,3.192511787414551,0.0,8.816,22.23318044010467,0.1,0.0017406328580545903,0.002622811524197456,0.01499301493167877,0.4890078898552588,0.0001649487813194943,0.0001649487813194943,1.0,1.0,1.0,0.04,3.6960710929179187e-07,"[""threat_validated_sudden"",""sinusoidal"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step250000_mixed_v2.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step250000.zip
attention_full_distance_penalty_wide_d2,0,250000,eval_random_switch,2.0,50,1.0,0.0,,,1.0,2.7165288805961607,0.0,8.916000000000002,22.343423621992052,0.06,0.0006375776236291109,0.0016247663722538152,0.006279330654069781,0.3432463431410184,0.00016277144668184053,0.0001627699347327245,1.0,1.0,1.0,0.02,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step250000_random.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step250000.zip
attention_full_distance_penalty_wide_d2,0,250000,eval_random_switch_hard,2.0,50,1.0,0.0,,,1.0,1.8510799837112426,0.0,9.008,22.001500291814065,0.66,0.01335631242841029,0.04452704228766363,0.09294526558471261,0.8980070002146476,0.002703866119307042,0.0026681540873651588,1.0,1.0,1.0,0.22,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step250000_hard.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step250000.zip
attention_full_distance_penalty_wide_d2,0,250000,eval_sinusoidal,2.0,50,1.0,0.0,,,1.0,2.410427054166794,0.02,8.604000000000001,22.241124399663633,0.16,0.0046299108269158675,0.013640688169398342,0.037223940740805116,1.82486090418141,0.002491300301232567,0.0024913003012064193,1.0,1.0,1.0,0.06,,"[""sinusoidal"",""sinusoidal"",""sinusoidal""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step250000_sinusoidal.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step250000.zip
attention_full_distance_penalty_wide_d2,0,250000,eval_sudden_turn,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,2.451584837436676,0.0,8.8,22.24776202320579,0.18,0.0013087418055738398,0.001390368342399596,0.009515627264045168,0.2479692382558482,0.00015570517377211393,0.00015570507205699553,1.0,1.0,1.0,0.0,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step250000_sudden.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step250000.zip
attention_full_distance_penalty_wide_d2,0,250000,eval_threat_validated_sudden,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,3.379638042449951,0.0,8.996000000000002,22.227716775189364,0.0,0.0,0.0,0.0,0.0,1.3911428324579009e-05,1.3911428324223738e-05,1.0,1.0,1.0,0.0,3.6960710929179187e-07,"[""threat_validated_sudden"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step250000_threat_sudden.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step250000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_accel_decel,2.0,50,1.0,0.0,,,1.0,2.1154569172859192,0.0,8.232000000000001,22.244226660146804,0.22,0.0006237778189188151,0.000136096361093218,0.0021966546354815295,0.2145406317367815,5.945057234049728e-05,5.945057215876166e-05,1.0,1.0,1.0,0.0,,"[""accel_decel"",""accel_decel"",""accel_decel""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_accel.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_ar1,2.0,50,1.0,0.0,,,1.0,2.02090283870697,0.0,8.192,22.233852598493883,0.38,0.002253391318226914,0.0020958380349293242,0.016179129736000303,0.6605199033009654,0.00022689128118058452,0.0002268876096649475,1.0,1.0,1.0,0.02,,"[""simple_ar1"",""simple_ar1"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_ar1.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
