step,scenario,risk_reference_method,wide_method,wide_beta,delta_mean_time_risk5_minus_wide,delta_near_miss_risk5_minus_wide,delta_min_distance_risk5_minus_wide,delta_collision_risk5_minus_wide,delta_success_risk5_minus_wide,delta_reaction_risk5_minus_wide,wide_covers_risk5,best_cover_method
250000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.3999999999999986,0.0,0.20049155473709135,0.0,0.0,,False,
250000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,0.023999999999999133,0.0,-0.04659288406372042,0.0,0.0,,True,
250000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-0.668000000000001,0.0,-0.2459239482879636,0.0,0.0,,False,
250000,eval_accel_decel,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,True,attention_full_distance_penalty_wide_d2_beta5_reference
250000,eval_ar1,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.4280000000000008,0.0,0.17606677293777473,0.0,0.0,,False,
250000,eval_ar1,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,0.07199999999999918,0.0,-0.055295503139495494,0.0,0.0,,True,
250000,eval_ar1,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-0.604000000000001,0.0,-0.2633814549446103,0.0,0.0,,False,
250000,eval_ar1,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,True,attention_full_distance_penalty_wide_d2_beta5_reference
250000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.3920000000000021,-0.06,0.6089360409975053,0.0,0.0,-0.02800000000000008,False,
250000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,-0.5359999999999978,0.02,-0.5619128578901291,0.02,-0.020000000000000018,0.0,False,
250000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.2959999999999976,0.02,-0.6459714621305466,0.02,-0.020000000000000018,-5.551115123125783e-17,False,
250000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
250000,eval_random_switch,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.4120000000000008,0.0,0.14100503206253023,0.0,0.0,,False,
250000,eval_random_switch,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,-0.1720000000000006,0.0,-0.2502018880844119,0.0,0.0,,False,
250000,eval_random_switch,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-0.9399999999999977,0.0,-0.44947765588760413,0.0,0.0,,False,
250000,eval_random_switch,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
